pp_no,condition,trial,muscle,bin,Zdiff
pp481,429,trial3,brow,diff_bin20,NA
pp481,429,trial3,cheek,diff_bin1,-0.158529665347834
pp481,429,trial3,cheek,diff_bin2,-0.44798185895916
pp481,429,trial3,cheek,diff_bin3,-0.246166702377222
pp481,429,trial3,cheek,diff_bin4,-0.0384514852066862
pp481,429,trial3,cheek,diff_bin5,-0.151545169947002
pp481,429,trial3,cheek,diff_bin6,-0.50814042066159
pp481,429,trial3,cheek,diff_bin7,-0.564273707383015
pp481,429,trial3,cheek,diff_bin8,-0.514224283760736
pp481,429,trial3,cheek,diff_bin9,-0.0826559889935315
pp481,429,trial3,cheek,diff_bin10,0.503949723421091
pp481,429,trial3,cheek,diff_bin11,0.713245642182341
pp481,429,trial3,cheek,diff_bin12,0.127761125082063
pp481,429,trial3,cheek,diff_bin13,0.298826121649285
pp481,429,trial3,cheek,diff_bin14,0.607908423387161
pp481,429,trial3,cheek,diff_bin15,0.416955995178622
pp481,429,trial3,cheek,diff_bin16,0.38881583081369
pp481,429,trial3,cheek,diff_bin17,0.0812039491602006
pp481,429,trial3,cheek,diff_bin18,0.0189684190885755
pp481,429,trial3,cheek,diff_bin19,0.402104752326326
pp481,429,trial3,cheek,diff_bin20,0.344574566524735
pp481,429,trial4,brow,diff_bin1,-0.209688925070868
pp481,429,trial4,brow,diff_bin2,-0.114520927207879
pp481,429,trial4,brow,diff_bin3,-0.0453113495440212
pp481,429,trial4,brow,diff_bin4,-0.126701812876717
pp481,429,trial4,brow,diff_bin5,-0.18158017938897
pp481,429,trial4,brow,diff_bin6,-0.180459949945853
pp481,429,trial4,brow,diff_bin7,-0.237205365529968
pp481,429,trial4,brow,diff_bin8,-0.212624698783865
pp481,429,trial4,brow,diff_bin9,-0.0559470911533879
pp481,429,trial4,brow,diff_bin10,0.12537556422567
pp481,429,trial4,brow,diff_bin11,-0.239844986631567
pp481,429,trial4,brow,diff_bin12,0.0686816534435377
pp481,429,trial4,brow,diff_bin13,0.0607885425397341
pp481,429,trial4,brow,diff_bin14,0.0892835742364998
pp481,429,trial4,brow,diff_bin15,0.286122051212758
pp481,429,trial4,brow,diff_bin16,0.276709548650473
pp481,429,trial4,brow,diff_bin17,0.22001563786834
pp481,429,trial4,brow,diff_bin18,0.22610608070276
pp481,429,trial4,brow,diff_bin19,0.133938237555245
pp481,429,trial4,brow,diff_bin20,0.0799225764761977
pp481,429,trial4,cheek,diff_bin1,-0.21958885935195
pp481,429,trial4,cheek,diff_bin2,-0.0882252050631425
pp481,429,trial4,cheek,diff_bin3,-0.0591660281454699
pp481,429,trial4,cheek,diff_bin4,0.00547731481433666
pp481,429,trial4,cheek,diff_bin5,-0.178692800754973
pp481,429,trial4,cheek,diff_bin6,-0.155037417647418
pp481,429,trial4,cheek,diff_bin7,-0.0723814286538865
pp481,429,trial4,cheek,diff_bin8,-0.138862796719175
pp481,429,trial4,cheek,diff_bin9,-0.083446339788888907
pp481,429,trial4,cheek,diff_bin10,-0.205325784533409
pp481,429,trial4,cheek,diff_bin11,-0.103903559212905
pp481,429,trial4,cheek,diff_bin12,-0.128772038890078
pp481,429,trial4,cheek,diff_bin13,-0.198653753400509
pp481,429,trial4,cheek,diff_bin14,-0.213045489976434
pp481,429,trial4,cheek,diff_bin15,-0.169208591210685
pp481,429,trial4,cheek,diff_bin16,-0.0915152700019554
pp481,429,trial4,cheek,diff_bin17,-0.113332628004028
pp481,429,trial4,cheek,diff_bin18,-0.215379781860396
pp481,429,trial4,cheek,diff_bin19,0.00450316150843111
pp481,429,trial4,cheek,diff_bin20,0.0285812903902471
pp481,429,trial5,brow,diff_bin1,0.201782937966569
pp481,429,trial5,brow,diff_bin2,-0.169862836937973
pp481,429,trial5,brow,diff_bin3,-0.333776869246979
pp481,429,trial5,brow,diff_bin4,-0.307277648627031
pp481,429,trial5,brow,diff_bin5,-0.221058610108484
pp481,429,trial5,brow,diff_bin6,0.0249283241594842
pp481,429,trial5,brow,diff_bin7,-0.216268663524121
pp481,429,trial5,brow,diff_bin8,-0.276284634034119
pp481,429,trial5,brow,diff_bin9,2.50601764525592
pp481,429,trial5,brow,diff_bin10,NA
pp481,429,trial5,brow,diff_bin11,6.99445511881463
pp481,429,trial5,brow,diff_bin12,3.76840034184468
pp481,429,trial5,brow,diff_bin13,4.62954775479
pp481,429,trial5,brow,diff_bin14,1.00865716582293
pp481,429,trial5,brow,diff_bin15,4.69168829838177
pp481,429,trial5,brow,diff_bin16,4.12065455880284
pp481,429,trial5,brow,diff_bin17,3.87553032996808
pp481,429,trial5,brow,diff_bin18,3.53701501893872
pp481,429,trial5,brow,diff_bin19,2.03781324283486
