pp_no,condition,bin,bin_no,trial,muscle,rms,outlier1.5SD
pp4811,673,bin_5,5,trial8,brow,15.8365,TRUE
pp4811,673,bin_6,6,trial8,brow,16.7288,TRUE
pp4811,673,bin_7,7,trial8,brow,16.1756,TRUE
pp4811,673,bin_8,8,trial8,brow,17.1813,TRUE
pp4811,673,bin_9,9,trial8,brow,15.9904,TRUE
pp4811,673,bin_10,10,trial8,brow,18.1825,TRUE
pp4811,673,bin_11,11,trial8,brow,14.4203,TRUE
pp4811,673,bin_12,12,trial8,brow,13.586,TRUE
pp4811,673,bin_13,13,trial8,brow,13.2457,TRUE
pp4811,673,bin_14,14,trial8,brow,10.9014,TRUE
pp4811,673,bin_15,15,trial8,brow,14.2455,TRUE
pp4811,673,bin_16,16,trial8,brow,12.2123,TRUE
pp4811,673,bin_17,17,trial8,brow,11.348,TRUE
pp4811,673,bin_18,18,trial8,brow,13.2495,TRUE
pp4811,673,bin_19,19,trial8,brow,12.3974,TRUE
pp4811,673,bin_20,20,trial8,brow,14.8396,TRUE
pp4811,673,bin_0,0,trial3,cheek,2.7114,TRUE
pp4811,673,bin_1,1,trial3,cheek,2.7673,TRUE
pp4811,673,bin_2,2,trial3,cheek,2.4907,TRUE
pp4811,673,bin_3,3,trial3,cheek,2.5204,TRUE
pp4811,673,bin_4,4,trial3,cheek,2.639,TRUE
pp4811,673,bin_5,5,trial3,cheek,2.2908,TRUE
pp4811,673,bin_6,6,trial3,cheek,2.4468,TRUE
pp4811,673,bin_7,7,trial3,cheek,2.3081,TRUE
pp4811,673,bin_8,8,trial3,cheek,2.5775,TRUE
pp4811,673,bin_9,9,trial3,cheek,2.4769,TRUE
pp4811,673,bin_10,10,trial3,cheek,2.6953,TRUE
pp4811,673,bin_11,11,trial3,cheek,2.4072,TRUE
pp4811,673,bin_12,12,trial3,cheek,2.3445,TRUE
pp4811,673,bin_13,13,trial3,cheek,3.3867,TRUE
pp4811,673,bin_14,14,trial3,cheek,2.4616,TRUE
pp4811,673,bin_15,15,trial3,cheek,2.5935,TRUE
pp4811,673,bin_16,16,trial3,cheek,2.5349,TRUE
pp4811,673,bin_17,17,trial3,cheek,2.0871,TRUE
pp4811,673,bin_18,18,trial3,cheek,3.4989,TRUE
pp4811,673,bin_19,19,trial3,cheek,2.4635,TRUE
pp4811,673,bin_20,20,trial3,cheek,3.2729,TRUE
pp4812,429,bin_0,0,trial2,cheek,3.2003,TRUE
pp4812,429,bin_1,1,trial2,cheek,3.3874,TRUE
pp4812,429,bin_2,2,trial2,cheek,3.1871,TRUE
pp4812,429,bin_3,3,trial2,cheek,2.826,TRUE
pp4812,429,bin_4,4,trial2,cheek,3.1656,TRUE
pp4812,429,bin_5,5,trial2,cheek,3.0738,TRUE
pp4812,429,bin_6,6,trial2,cheek,2.9053,TRUE
pp4812,429,bin_7,7,trial2,cheek,2.9706,TRUE
pp4812,429,bin_8,8,trial2,cheek,2.8811,TRUE
pp4812,429,bin_9,9,trial2,cheek,3.3726,TRUE
pp4812,429,bin_10,10,trial2,cheek,3.4862,TRUE
pp4812,429,bin_11,11,trial2,cheek,2.8706,TRUE
pp4812,429,bin_12,12,trial2,cheek,3.188,TRUE
pp4812,429,bin_13,13,trial2,cheek,3.194,TRUE
pp4812,429,bin_14,14,trial2,cheek,2.2533,TRUE
pp4812,429,bin_15,15,trial2,cheek,2.2037,TRUE
pp4812,429,bin_16,16,trial2,cheek,2.471,TRUE
pp4812,429,bin_17,17,trial2,cheek,2.8294,TRUE
pp4812,429,bin_18,18,trial2,cheek,2.5295,TRUE
pp4812,429,bin_19,19,trial2,cheek,3.3059,TRUE
pp4812,429,bin_20,20,trial2,cheek,2.5635,TRUE
pp4812,673,bin_0,0,trial2,brow,19.734,TRUE
pp4812,673,bin_1,1,trial2,brow,17.4493,TRUE
pp4812,673,bin_2,2,trial2,brow,17.6911,TRUE
pp4812,673,bin_3,3,trial2,brow,18.6382,TRUE
pp4812,673,bin_4,4,trial2,brow,22.1939,TRUE
pp4812,673,bin_5,5,trial2,brow,18.0589,TRUE
pp4812,673,bin_6,6,trial2,brow,20.0212,TRUE
pp4812,673,bin_7,7,trial2,brow,16.2411,TRUE
pp4812,673,bin_8,8,trial2,brow,15.2232,TRUE
pp4812,673,bin_9,9,trial2,brow,21.1865,TRUE
pp4812,673,bin_10,10,trial2,brow,18.4007,TRUE
pp4812,673,bin_11,11,trial2,brow,15.1345,TRUE
pp4812,673,bin_12,12,trial2,brow,15.6458,TRUE
pp4812,673,bin_13,13,trial2,brow,11.4814,TRUE
pp4812,673,bin_14,14,trial2,brow,12.1362,TRUE
pp4812,673,bin_15,15,trial2,brow,15.1252,TRUE
pp4812,673,bin_16,16,trial2,brow,18.0726,TRUE
pp4812,673,bin_17,17,trial2,brow,15.0883,TRUE
pp4812,673,bin_18,18,trial2,brow,12.9174,TRUE
pp4812,673,bin_19,19,trial2,brow,14.1023,TRUE
pp4812,673,bin_20,20,trial2,brow,14.0963,TRUE
pp4812,673,bin_0,0,trial3,cheek,6.9259,TRUE
pp4812,673,bin_1,1,trial3,cheek,5.2683,TRUE
pp4812,673,bin_2,2,trial3,cheek,6.5874,TRUE
pp4812,673,bin_3,3,trial3,cheek,7.8625,TRUE
pp4812,673,bin_4,4,trial3,cheek,5.5638,TRUE
pp4812,673,bin_5,5,trial3,cheek,6.5169,TRUE
pp4812,673,bin_6,6,trial3,cheek,6.0854,TRUE
pp4812,673,bin_7,7,trial3,cheek,7.3113,TRUE
pp4812,673,bin_8,8,trial3,cheek,5.0911,TRUE
pp4812,673,bin_9,9,trial3,cheek,3.969,TRUE
pp4812,673,bin_10,10,trial3,cheek,4.2321,TRUE
pp4812,673,bin_11,11,trial3,cheek,4.3143,TRUE
pp4812,673,bin_12,12,trial3,cheek,4.584,TRUE
pp4812,673,bin_13,13,trial3,cheek,4.3636,TRUE
pp4812,673,bin_14,14,trial3,cheek,4.4742,TRUE
pp4812,673,bin_15,15,trial3,cheek,3.4253,TRUE
pp4812,673,bin_16,16,trial3,cheek,4.9847,TRUE
pp4812,673,bin_17,17,trial3,cheek,5.3702,TRUE
pp4812,673,bin_18,18,trial3,cheek,5.1586,TRUE
pp4812,673,bin_19,19,trial3,cheek,3.4876,TRUE
pp4812,673,bin_20,20,trial3,cheek,5.5964,TRUE
pp482,429,bin_0,0,trial6,cheek,11.5282,TRUE
pp482,429,bin_1,1,trial6,cheek,12.6566,TRUE
pp482,429,bin_2,2,trial6,cheek,4.8929,TRUE
pp482,429,bin_3,3,trial6,cheek,2.502,TRUE
pp482,429,bin_4,4,trial6,cheek,4.4881,TRUE
pp482,429,bin_5,5,trial6,cheek,3.9377,TRUE
pp482,429,bin_6,6,trial6,cheek,3.8,TRUE
pp482,429,bin_7,7,trial6,cheek,3.5203,TRUE
pp482,429,bin_8,8,trial6,cheek,2.9628,TRUE
pp482,429,bin_9,9,trial6,cheek,3.4453,TRUE
pp482,429,bin_10,10,trial6,cheek,2.3733,TRUE
pp482,429,bin_11,11,trial6,cheek,1.93,TRUE
pp482,429,bin_12,12,trial6,cheek,2.1328,TRUE
pp482,429,bin_13,13,trial6,cheek,1.8943,TRUE
pp482,429,bin_14,14,trial6,cheek,2.1691,TRUE
pp482,429,bin_15,15,trial6,cheek,1.6262,TRUE
pp482,429,bin_16,16,trial6,cheek,1.7444,TRUE
pp482,429,bin_17,17,trial6,cheek,1.6995,TRUE
pp482,429,bin_18,18,trial6,cheek,1.6167,TRUE
pp482,429,bin_19,19,trial6,cheek,2.3386,TRUE
pp482,429,bin_20,20,trial6,cheek,2.4974,TRUE
pp482,673,bin_0,0,trial2,brow,23.3618,TRUE
pp482,673,bin_1,1,trial2,brow,18.8132,TRUE
pp482,673,bin_2,2,trial2,brow,26.2966,TRUE
pp482,673,bin_3,3,trial2,brow,27.5641,TRUE
pp482,673,bin_4,4,trial2,brow,17.4017,TRUE
pp482,673,bin_5,5,trial2,brow,17.1788,TRUE
pp482,673,bin_6,6,trial2,brow,18.2972,TRUE
pp482,673,bin_7,7,trial2,brow,14.9761,TRUE
pp482,673,bin_8,8,trial2,brow,15.8667,TRUE
pp482,673,bin_9,9,trial2,brow,9.2681,TRUE
pp482,673,bin_10,10,trial2,brow,8.8418,TRUE
pp482,673,bin_11,11,trial2,brow,9.5142,TRUE
pp482,673,bin_12,12,trial2,brow,5.0904,TRUE
pp482,673,bin_13,13,trial2,brow,7.1718,TRUE
pp482,673,bin_14,14,trial2,brow,8.826,TRUE
pp482,673,bin_15,15,trial2,brow,9.3735,TRUE
