pp_no,condition,bin,bin_no,trial,muscle,rms,outlier1.5SD
pp4810,285,bin_7,7,trial6,cheek,5.2794,TRUE
pp4810,285,bin_8,8,trial6,cheek,6.9655,TRUE
pp4810,285,bin_9,9,trial6,cheek,4.8246,TRUE
pp4810,285,bin_10,10,trial6,cheek,7.1153,TRUE
pp4810,285,bin_11,11,trial6,cheek,12.7454,TRUE
pp4810,285,bin_12,12,trial6,cheek,16.1913,TRUE
pp4810,285,bin_13,13,trial6,cheek,23.1047,TRUE
pp4810,285,bin_14,14,trial6,cheek,27.5138,TRUE
pp4810,285,bin_15,15,trial6,cheek,22.4229,TRUE
pp4810,285,bin_16,16,trial6,cheek,13.0448,TRUE
pp4810,285,bin_17,17,trial6,cheek,24.0004,TRUE
pp4810,285,bin_18,18,trial6,cheek,25.1442,TRUE
pp4810,285,bin_19,19,trial6,cheek,24.217,TRUE
pp4810,285,bin_20,20,trial6,cheek,21.4572,TRUE
pp4810,913,bin_0,0,trial5,brow,57.6115,TRUE
pp4810,913,bin_1,1,trial5,brow,58.518,TRUE
pp4810,913,bin_2,2,trial5,brow,44.9302,TRUE
pp4810,913,bin_3,3,trial5,brow,30.3062,TRUE
pp4810,913,bin_4,4,trial5,brow,23.6633,TRUE
pp4810,913,bin_5,5,trial5,brow,16.3496,TRUE
pp4810,913,bin_6,6,trial5,brow,11.9109,TRUE
pp4810,913,bin_7,7,trial5,brow,5.5657,TRUE
pp4810,913,bin_8,8,trial5,brow,4.8301,TRUE
pp4810,913,bin_9,9,trial5,brow,5.5672,TRUE
pp4810,913,bin_10,10,trial5,brow,5.6636,TRUE
pp4810,913,bin_11,11,trial5,brow,5.1896,TRUE
pp4810,913,bin_12,12,trial5,brow,6.5159,TRUE
pp4810,913,bin_13,13,trial5,brow,6.2384,TRUE
pp4810,913,bin_14,14,trial5,brow,6.6275,TRUE
pp4810,913,bin_15,15,trial5,brow,5.0391,TRUE
pp4810,913,bin_16,16,trial5,brow,4.3472,TRUE
pp4810,913,bin_17,17,trial5,brow,5.1595,TRUE
pp4810,913,bin_18,18,trial5,brow,5.2811,TRUE
pp4810,913,bin_19,19,trial5,brow,3.3192,TRUE
pp4810,913,bin_20,20,trial5,brow,3.8234,TRUE
pp4810,913,bin_0,0,trial5,cheek,51.6291,TRUE
pp4810,913,bin_1,1,trial5,cheek,28.8185,TRUE
pp4810,913,bin_2,2,trial5,cheek,59.9021,TRUE
pp4810,913,bin_3,3,trial5,cheek,87.1256,TRUE
pp4810,913,bin_4,4,trial5,cheek,36.5812,TRUE
pp4810,913,bin_5,5,trial5,cheek,16.3194,TRUE
pp4810,913,bin_6,6,trial5,cheek,16.6692,TRUE
pp4810,913,bin_7,7,trial5,cheek,9.1164,TRUE
pp4810,913,bin_8,8,trial5,cheek,8.2666,TRUE
pp4810,913,bin_9,9,trial5,cheek,8.1035,TRUE
pp4810,913,bin_10,10,trial5,cheek,4.8257,TRUE
pp4810,913,bin_11,11,trial5,cheek,5.5153,TRUE
pp4810,913,bin_12,12,trial5,cheek,13.6163,TRUE
pp4810,913,bin_13,13,trial5,cheek,10.3952,TRUE
pp4810,913,bin_14,14,trial5,cheek,16.8896,TRUE
pp4810,913,bin_15,15,trial5,cheek,10.6647,TRUE
pp4810,913,bin_16,16,trial5,cheek,6.8109,TRUE
pp4810,913,bin_17,17,trial5,cheek,9.3191,TRUE
pp4810,913,bin_18,18,trial5,cheek,8.824,TRUE
pp4810,913,bin_19,19,trial5,cheek,10.6891,TRUE
pp4810,913,bin_20,20,trial5,cheek,7.5792,TRUE
pp4811,285,bin_0,0,trial4,cheek,3.3566,TRUE
pp4811,285,bin_1,1,trial4,cheek,2.5205,TRUE
pp4811,285,bin_2,2,trial4,cheek,2.6055,TRUE
pp4811,285,bin_3,3,trial4,cheek,4.973,TRUE
pp4811,285,bin_4,4,trial4,cheek,2.5636,TRUE
pp4811,285,bin_5,5,trial4,cheek,3.1294,TRUE
pp4811,285,bin_6,6,trial4,cheek,2.7274,TRUE
pp4811,285,bin_7,7,trial4,cheek,2.3577,TRUE
pp4811,285,bin_8,8,trial4,cheek,3.0722,TRUE
pp4811,285,bin_9,9,trial4,cheek,10.4807,TRUE
pp4811,285,bin_10,10,trial4,cheek,8.0135,TRUE
pp4811,285,bin_11,11,trial4,cheek,3.9625,TRUE
pp4811,285,bin_12,12,trial4,cheek,2.2508,TRUE
pp4811,285,bin_13,13,trial4,cheek,2.6633,TRUE
pp4811,285,bin_14,14,trial4,cheek,2.3727,TRUE
pp4811,285,bin_15,15,trial4,cheek,2.6792,TRUE
pp4811,285,bin_16,16,trial4,cheek,2.0125,TRUE
pp4811,285,bin_17,17,trial4,cheek,2.8951,TRUE
pp4811,285,bin_18,18,trial4,cheek,2.9292,TRUE
pp4811,285,bin_19,19,trial4,cheek,2.3676,TRUE
pp4811,285,bin_20,20,trial4,cheek,1.7691,TRUE
pp4811,285,bin_0,0,trial7,cheek,3.3557,TRUE
pp4811,285,bin_1,1,trial7,cheek,3.1685,TRUE
pp4811,285,bin_2,2,trial7,cheek,2.2879,TRUE
pp4811,285,bin_3,3,trial7,cheek,2.8205,TRUE
pp4811,285,bin_4,4,trial7,cheek,2.4678,TRUE
pp4811,285,bin_5,5,trial7,cheek,2.7437,TRUE
pp4811,285,bin_6,6,trial7,cheek,2.8405,TRUE
pp4811,285,bin_7,7,trial7,cheek,3.2442,TRUE
pp4811,285,bin_8,8,trial7,cheek,3.4013,TRUE
pp4811,285,bin_9,9,trial7,cheek,2.8521,TRUE
pp4811,285,bin_10,10,trial7,cheek,3.5974,TRUE
pp4811,285,bin_11,11,trial7,cheek,3.2617,TRUE
pp4811,285,bin_12,12,trial7,cheek,3.3718,TRUE
pp4811,285,bin_13,13,trial7,cheek,16.7295,TRUE
