"","pp_no","condition","trial","muscle","bin","Zdiff"
"88","pp481","429","trial5","brow","diff_bin8",-0.351894653883557
"89","pp481","429","trial5","brow","diff_bin9",3.1918322746625
"90","pp481","429","trial5","brow","diff_bin10",9.46374727038903
"91","pp481","429","trial5","cheek","diff_bin1",-0.323296953761243
"92","pp481","429","trial5","cheek","diff_bin2",1.09873524895244
"93","pp481","429","trial5","cheek","diff_bin3",1.15182334263791
"94","pp481","429","trial5","cheek","diff_bin4",0.856794392699979
"95","pp481","429","trial5","cheek","diff_bin5",0.195748590489278
"96","pp481","429","trial5","cheek","diff_bin6",-0.766732923771558
"97","pp481","429","trial5","cheek","diff_bin7",-0.672881194814924
"98","pp481","429","trial5","cheek","diff_bin8",-0.620600059716102
"99","pp481","429","trial5","cheek","diff_bin9",-0.151683760999999
"100","pp481","429","trial5","cheek","diff_bin10",0.05817437811043
"101","pp481","429","trial6","brow","diff_bin1",-0.134299544235096
"102","pp481","429","trial6","brow","diff_bin2",-0.382300241258311
"103","pp481","429","trial6","brow","diff_bin3",-0.0904787624307024
"104","pp481","429","trial6","brow","diff_bin4",-0.305499073148291
"105","pp481","429","trial6","brow","diff_bin5",-0.354879452644185
"106","pp481","429","trial6","brow","diff_bin6",-0.268369488565527
"107","pp481","429","trial6","brow","diff_bin7",-0.0606143748312264
"108","pp481","429","trial6","brow","diff_bin8",-0.281063083294794
"109","pp481","429","trial6","brow","diff_bin9",-0.356109452133455
"110","pp481","429","trial6","brow","diff_bin10",-0.703559707862449
"111","pp481","429","trial6","cheek","diff_bin1",0.0596660288312104
"112","pp481","429","trial6","cheek","diff_bin2",0.141633458602611
"113","pp481","429","trial6","cheek","diff_bin3",0.0168727704481701
"114","pp481","429","trial6","cheek","diff_bin4",0.180440830633402
"115","pp481","429","trial6","cheek","diff_bin5",-0.0501781521154278
"116","pp481","429","trial6","cheek","diff_bin6",0.00797177270449778
"117","pp481","429","trial6","cheek","diff_bin7",-0.1410465796305
"118","pp481","429","trial6","cheek","diff_bin8",-0.0677845212787357
"119","pp481","429","trial6","cheek","diff_bin9",0.091822105844752
"120","pp481","429","trial6","cheek","diff_bin10",0.541591478095757
"121","pp481","429","trial7","brow","diff_bin1",-0.281522283104122
"122","pp481","429","trial7","brow","diff_bin2",-0.0362439849504898
"123","pp481","429","trial7","brow","diff_bin3",0.219103909021965
"124","pp481","429","trial7","brow","diff_bin4",0.218234709382881
"125","pp481","429","trial7","brow","diff_bin5",0.0990067588896412
"126","pp481","429","trial7","brow","diff_bin6",0.197209918112959
"127","pp481","429","trial7","brow","diff_bin7",-0.46823620557531
"128","pp481","429","trial7","brow","diff_bin8",-0.0825739657129939
"129","pp481","429","trial7","brow","diff_bin9",-0.259989092045301
"130","pp481","429","trial7","brow","diff_bin10",-0.130379945862622
"131","pp481","429","trial7","cheek","diff_bin1",NA
"132","pp481","429","trial7","cheek","diff_bin2",NA
"133","pp481","429","trial7","cheek","diff_bin3",NA
"134","pp481","429","trial7","cheek","diff_bin4",NA
"135","pp481","429","trial7","cheek","diff_bin5",NA
"136","pp481","429","trial7","cheek","diff_bin6",NA
"137","pp481","429","trial7","cheek","diff_bin7",NA
"138","pp481","429","trial7","cheek","diff_bin8",NA
"139","pp481","429","trial7","cheek","diff_bin9",NA
"140","pp481","429","trial7","cheek","diff_bin10",NA
"141","pp481","429","trial8","brow","diff_bin1",0.218497109273926
"142","pp481","429","trial8","brow","diff_bin2",0.178546725862435
"143","pp481","429","trial8","brow","diff_bin3",-0.179875125310847
"144","pp481","429","trial8","brow","diff_bin4",-0.15117513722788
"145","pp481","429","trial8","brow","diff_bin5",0.12042514999613
"146","pp481","429","trial8","brow","diff_bin6",0.097645559454849
"147","pp481","429","trial8","brow","diff_bin7",0.025255989513011
"148","pp481","429","trial8","brow","diff_bin8",0.0763911682802631
"149","pp481","429","trial8","brow","diff_bin9",0.197915117820141
"150","pp481","429","trial8","brow","diff_bin10",0.154586335811455
"151","pp481","429","trial8","cheek","diff_bin1",-0.0268252596835401
"152","pp481","429","trial8","cheek","diff_bin2",-0.300433127139447
"153","pp481","429","trial8","cheek","diff_bin3",-0.162663288436562
"154","pp481","429","trial8","cheek","diff_bin4",-0.739467504858935
"155","pp481","429","trial8","cheek","diff_bin5",-0.555236414197321
"156","pp481","429","trial8","cheek","diff_bin6",-0.846352837654517
