pp_no,condition,trial,muscle,bin,Zdiff
pp481,285,trial5,cheek,diff_bin10,1.03413466890555
pp481,285,trial6,brow,diff_bin1,NA
pp481,285,trial6,brow,diff_bin2,-0.236512662863873
pp481,285,trial6,brow,diff_bin3,-0.303923714406845
pp481,285,trial6,brow,diff_bin4,0.101403568546193
pp481,285,trial6,brow,diff_bin5,-0.244133874462156
pp481,285,trial6,brow,diff_bin6,-0.279114916819129
pp481,285,trial6,brow,diff_bin7,-0.322259265323216
pp481,285,trial6,brow,diff_bin8,-0.298789760150261
pp481,285,trial6,brow,diff_bin9,-0.471654145398347
pp481,285,trial6,brow,diff_bin10,-0.514415838926789
pp481,285,trial6,cheek,diff_bin1,0.0798524421380389
pp481,285,trial6,cheek,diff_bin2,0.250829272856606
pp481,285,trial6,cheek,diff_bin3,0.552477186408476
pp481,285,trial6,cheek,diff_bin4,-0.149229944147704
pp481,285,trial6,cheek,diff_bin5,NA
pp481,285,trial6,cheek,diff_bin6,-0.301002717964252
pp481,285,trial6,cheek,diff_bin7,0.537941309346275
pp481,285,trial6,cheek,diff_bin8,-0.0889610857279292
pp481,285,trial6,cheek,diff_bin9,-0.141601455141171
pp481,285,trial6,cheek,diff_bin10,0.0939328870207443
pp481,285,trial7,brow,diff_bin1,0.698377218468609
pp481,285,trial7,brow,diff_bin2,0.142060659708582
pp481,285,trial7,brow,diff_bin3,-0.387948369475782
pp481,285,trial7,brow,diff_bin4,0.0626916401766717
pp481,285,trial7,brow,diff_bin5,-0.322610032384225
pp481,285,trial7,brow,diff_bin6,-0.422291653540011
pp481,285,trial7,brow,diff_bin7,-0.730265133105776
pp481,285,trial7,brow,diff_bin8,-0.642828471170663
pp481,285,trial7,brow,diff_bin9,-0.885846268620517
pp481,285,trial7,brow,diff_bin10,0.469198775971285
pp481,285,trial7,cheek,diff_bin1,-0.258040282365269
pp481,285,trial7,cheek,diff_bin2,-0.0302103345731364
pp481,285,trial7,cheek,diff_bin3,0.0662653821164524
pp481,285,trial7,cheek,diff_bin4,-0.0740836345311083
pp481,285,trial7,cheek,diff_bin5,-0.0776891392854399
pp481,285,trial7,cheek,diff_bin6,-0.145320817940376
pp481,285,trial7,cheek,diff_bin7,-0.0553729624902086
pp481,285,trial7,cheek,diff_bin8,-0.0962100479182169
pp481,285,trial7,cheek,diff_bin9,0.442262598970802
pp481,285,trial7,cheek,diff_bin10,NA
pp481,285,trial8,brow,diff_bin1,-1.15287566579216
pp481,285,trial8,brow,diff_bin2,-0.863747943776961
pp481,285,trial8,brow,diff_bin3,-1.01601273616944
pp481,285,trial8,brow,diff_bin4,-1.87730531051933
pp481,285,trial8,brow,diff_bin5,-0.975578860409507
pp481,285,trial8,brow,diff_bin6,-1.80004089335348
pp481,285,trial8,brow,diff_bin7,-1.36339967822674
pp481,285,trial8,brow,diff_bin8,-1.67558236252461
pp481,285,trial8,brow,diff_bin9,-2.65964340822761
pp481,285,trial8,brow,diff_bin10,-1.76142462872787
pp481,285,trial8,cheek,diff_bin1,-0.429093018447085
pp481,285,trial8,cheek,diff_bin2,-0.0344230822334607
pp481,285,trial8,cheek,diff_bin3,-0.323356847441108
pp481,285,trial8,cheek,diff_bin4,0.117843076444207
pp481,285,trial8,cheek,diff_bin5,-0.152987259628534
pp481,285,trial8,cheek,diff_bin6,-0.118412366668575
pp481,285,trial8,cheek,diff_bin7,0.156516859019616
pp481,285,trial8,cheek,diff_bin8,NA
pp481,285,trial8,cheek,diff_bin9,0.519875832892993
pp481,285,trial8,cheek,diff_bin10,0.488564870552745
pp481,913,trial1,brow,diff_bin1,0.0459504849921588
pp481,913,trial1,brow,diff_bin2,0.221334015496581
pp481,913,trial1,brow,diff_bin3,0.514957933475621
pp481,913,trial1,brow,diff_bin4,1.10230143317761
pp481,913,trial1,brow,diff_bin5,0.363617890607623
pp481,913,trial1,brow,diff_bin6,-0.378254443426083
pp481,913,trial1,brow,diff_bin7,0.886101371937615
pp481,913,trial1,brow,diff_bin8,0.10121224105837
pp481,913,trial1,brow,diff_bin9,0.508676014292099
pp481,913,trial1,brow,diff_bin10,0.21403168304467
