pp_no,condition,trial,muscle,bin,Zdiff
pp481,429,trial5,cheek,diff_bin8,-0.620600059716102
pp481,429,trial5,cheek,diff_bin9,-0.151683760999999
pp481,429,trial5,cheek,diff_bin10,0.05817437811043
pp481,429,trial6,brow,diff_bin1,-0.134299544235096
pp481,429,trial6,brow,diff_bin2,-0.382300241258311
pp481,429,trial6,brow,diff_bin3,-0.0904787624307024
pp481,429,trial6,brow,diff_bin4,-0.305499073148291
pp481,429,trial6,brow,diff_bin5,-0.354879452644185
pp481,429,trial6,brow,diff_bin6,-0.268369488565527
pp481,429,trial6,brow,diff_bin7,-0.0606143748312264
pp481,429,trial6,brow,diff_bin8,-0.281063083294794
pp481,429,trial6,brow,diff_bin9,-0.356109452133455
pp481,429,trial6,brow,diff_bin10,-0.703559707862449
pp481,429,trial6,cheek,diff_bin1,0.0596660288312104
pp481,429,trial6,cheek,diff_bin2,0.141633458602611
pp481,429,trial6,cheek,diff_bin3,0.0168727704481701
pp481,429,trial6,cheek,diff_bin4,0.180440830633402
pp481,429,trial6,cheek,diff_bin5,-0.0501781521154278
pp481,429,trial6,cheek,diff_bin6,0.00797177270449778
pp481,429,trial6,cheek,diff_bin7,-0.1410465796305
pp481,429,trial6,cheek,diff_bin8,-0.0677845212787357
pp481,429,trial6,cheek,diff_bin9,0.091822105844752
pp481,429,trial6,cheek,diff_bin10,NA
pp481,429,trial7,brow,diff_bin1,-0.281522283104122
pp481,429,trial7,brow,diff_bin2,-0.0362439849504898
pp481,429,trial7,brow,diff_bin3,0.219103909021965
pp481,429,trial7,brow,diff_bin4,0.218234709382881
pp481,429,trial7,brow,diff_bin5,0.0990067588896412
pp481,429,trial7,brow,diff_bin6,0.197209918112959
pp481,429,trial7,brow,diff_bin7,-0.46823620557531
pp481,429,trial7,brow,diff_bin8,-0.0825739657129939
pp481,429,trial7,brow,diff_bin9,-0.259989092045301
pp481,429,trial7,brow,diff_bin10,-0.130379945862622
pp481,429,trial7,cheek,diff_bin1,NA
pp481,429,trial7,cheek,diff_bin2,NA
pp481,429,trial7,cheek,diff_bin3,NA
pp481,429,trial7,cheek,diff_bin4,NA
pp481,429,trial7,cheek,diff_bin5,NA
pp481,429,trial7,cheek,diff_bin6,NA
pp481,429,trial7,cheek,diff_bin7,NA
pp481,429,trial7,cheek,diff_bin8,NA
pp481,429,trial7,cheek,diff_bin9,NA
pp481,429,trial7,cheek,diff_bin10,NA
pp481,429,trial8,brow,diff_bin1,0.218497109273926
pp481,429,trial8,brow,diff_bin2,0.178546725862435
pp481,429,trial8,brow,diff_bin3,-0.179875125310847
pp481,429,trial8,brow,diff_bin4,-0.15117513722788
pp481,429,trial8,brow,diff_bin5,0.12042514999613
pp481,429,trial8,brow,diff_bin6,0.097645559454849
pp481,429,trial8,brow,diff_bin7,0.025255989513011
pp481,429,trial8,brow,diff_bin8,0.0763911682802631
pp481,429,trial8,brow,diff_bin9,0.197915117820141
pp481,429,trial8,brow,diff_bin10,0.154586335811455
pp481,429,trial8,cheek,diff_bin1,-0.0268252596835401
pp481,429,trial8,cheek,diff_bin2,-0.300433127139447
pp481,429,trial8,cheek,diff_bin3,-0.162663288436562
pp481,429,trial8,cheek,diff_bin4,-0.739467504858935
pp481,429,trial8,cheek,diff_bin5,-0.555236414197321
pp481,429,trial8,cheek,diff_bin6,-0.846352837654517
pp481,429,trial8,cheek,diff_bin7,-0.43319004128889
pp481,429,trial8,cheek,diff_bin8,-0.550590289001448
pp481,429,trial8,cheek,diff_bin9,-0.448057641915683
pp481,429,trial8,cheek,diff_bin10,0.00559980352555206
pp481,673,trial1,brow,diff_bin1,0.300939875041397
pp481,673,trial1,brow,diff_bin2,-0.0841155650728789
pp481,673,trial1,brow,diff_bin3,0.246081897819954
pp481,673,trial1,brow,diff_bin4,-0.199473117173216
pp481,673,trial1,brow,diff_bin5,-0.438355417982644
pp481,673,trial1,brow,diff_bin6,-0.106583555743545
pp481,673,trial1,brow,diff_bin7,-0.263793890465443
pp481,673,trial1,brow,diff_bin8,0.0981047592641766
pp481,673,trial1,brow,diff_bin9,-0.182269524316626
pp481,673,trial1,brow,diff_bin10,0.199276317254933
pp481,673,trial1,cheek,diff_bin1,-0.0314958381699176
pp481,673,trial1,cheek,diff_bin2,-0.0924334381073669
pp481,673,trial1,cheek,diff_bin3,-0.109379568427051
pp481,673,trial1,cheek,diff_bin4,-0.191420358069965
pp481,673,trial1,cheek,diff_bin5,-0.030077547320651
pp481,673,trial1,cheek,diff_bin6,-0.128917747540222
pp481,673,trial1,cheek,diff_bin7,-0.167749572861518
pp481,673,trial1,cheek,diff_bin8,-0.0579053919148796
pp481,673,trial1,cheek,diff_bin9,-0.0706944628487824
pp481,673,trial1,cheek,diff_bin10,-0.170243808492986
pp481,673,trial2,brow,diff_bin1,0.171871928633997
pp481,673,trial2,brow,diff_bin2,0.127083547231378
pp481,673,trial2,brow,diff_bin3,0.0507251789374956
pp481,673,trial2,brow,diff_bin4,-0.235717102123706
pp481,673,trial2,brow,diff_bin5,-0.35638825201769
pp481,673,trial2,brow,diff_bin6,-0.331460262368484
pp481,673,trial2,brow,diff_bin7,-0.655097727985211
pp481,673,trial2,brow,diff_bin8,-0.41418182802019
pp481,673,trial2,brow,diff_bin9,-0.223171107333152
pp481,673,trial2,brow,diff_bin10,-0.408294230464884
pp481,673,trial2,cheek,diff_bin1,-0.224579019994195
pp481,673,trial2,cheek,diff_bin2,-0.279060951238431
pp481,673,trial2,cheek,diff_bin3,-0.208464301551667
pp481,673,trial2,cheek,diff_bin4,-0.162467662112525
pp481,673,trial2,cheek,diff_bin5,-0.0482218888750603
pp481,673,trial2,cheek,diff_bin6,-0.194623739126067
pp481,673,trial2,cheek,diff_bin7,-0.0808670316986938
pp481,673,trial2,cheek,diff_bin8,-0.134346378032242
pp481,673,trial2,cheek,diff_bin9,NA
pp481,673,trial2,cheek,diff_bin10,0.388489426246491
pp481,673,trial3,brow,diff_bin1,-0.168099930200236
pp481,673,trial3,brow,diff_bin2,-0.436797418629568
pp481,673,trial3,brow,diff_bin3,-0.514992586160761
pp481,673,trial3,brow,diff_bin4,-0.810946863272317
pp481,673,trial3,brow,diff_bin5,-0.506120189844826
pp481,673,trial3,brow,diff_bin6,-0.319619467285111
pp481,673,trial3,brow,diff_bin7,-0.647816131008732
pp481,673,trial3,brow,diff_bin8,-0.471598204179314
pp481,673,trial3,brow,diff_bin9,-0.194602319195707
pp481,673,trial3,brow,diff_bin10,-0.437420618370798
pp481,673,trial3,cheek,diff_bin1,NA
pp481,673,trial3,cheek,diff_bin2,NA
pp481,673,trial3,cheek,diff_bin3,NA
pp481,673,trial3,cheek,diff_bin4,NA
pp481,673,trial3,cheek,diff_bin5,NA
pp481,673,trial3,cheek,diff_bin6,NA
pp481,673,trial3,cheek,diff_bin7,NA
pp481,673,trial3,cheek,diff_bin8,NA
pp481,673,trial3,cheek,diff_bin9,NA
pp481,673,trial3,cheek,diff_bin10,NA
pp481,673,trial4,brow,diff_bin1,-0.492327795571812
pp481,673,trial4,brow,diff_bin2,-0.483110999398882
pp481,673,trial4,brow,diff_bin3,-0.413673428231292
pp481,673,trial4,brow,diff_bin4,-0.650784529776171
pp481,673,trial4,brow,diff_bin5,NA
pp481,673,trial4,brow,diff_bin6,-1.03336357091872
pp481,673,trial4,brow,diff_bin7,-0.834284053582067
pp481,673,trial4,brow,diff_bin8,-0.613048145445366
pp481,673,trial4,brow,diff_bin9,0.0255511893904357
pp481,673,trial4,brow,diff_bin10,-0.652654128999861
pp481,673,trial4,cheek,diff_bin1,-0.377778885005479
pp481,673,trial4,cheek,diff_bin2,-0.496059451176202
pp481,673,trial4,cheek,diff_bin3,-0.574603420276959
pp481,673,trial4,cheek,diff_bin4,-0.280479242087698
pp481,673,trial4,cheek,diff_bin5,2.00238214625922
pp481,673,trial4,cheek,diff_bin6,3.20680451677251
pp481,673,trial4,cheek,diff_bin7,4.25499481425195
pp481,673,trial4,cheek,diff_bin8,3.74150016694597
pp481,673,trial4,cheek,diff_bin9,2.16670825845009
pp481,673,trial4,cheek,diff_bin10,2.22698561954392
pp481,673,trial5,brow,diff_bin1,0.0482651799589554
pp481,673,trial5,brow,diff_bin2,-0.584069357478165
pp481,673,trial5,brow,diff_bin3,-0.568997763736309
pp481,673,trial5,brow,diff_bin4,-0.400159833842512
pp481,673,trial5,brow,diff_bin5,0.412919028544539
pp481,673,trial5,brow,diff_bin6,-0.182941924037427
pp481,673,trial5,brow,diff_bin7,0.30049707522526
pp481,673,trial5,brow,diff_bin8,-0.0937423610755655
pp481,673,trial5,brow,diff_bin9,0.215856710370293
pp481,673,trial5,brow,diff_bin10,-0.114324352529351
pp481,673,trial5,cheek,diff_bin1,-0.38976099735273
pp481,673,trial5,cheek,diff_bin2,0.0712324352398837
pp481,673,trial5,cheek,diff_bin3,-0.473709143655003
pp481,673,trial5,cheek,diff_bin4,-0.0585900840490081
pp481,673,trial5,cheek,diff_bin5,-0.396852451599063
pp481,673,trial5,cheek,diff_bin6,-0.578711573081731
pp481,673,trial5,cheek,diff_bin7,-0.693788758196353
pp481,673,trial5,cheek,diff_bin8,-0.508603989205059
pp481,673,trial5,cheek,diff_bin9,-0.648281184567302
pp481,673,trial5,cheek,diff_bin10,-0.508530629333545
pp481,673,trial6,brow,diff_bin1,0.0614671744771203
pp481,673,trial6,brow,diff_bin2,3.11345670720622
pp481,673,trial6,brow,diff_bin3,4.02700192787684
pp481,673,trial6,brow,diff_bin4,1.24149588449639
pp481,673,trial6,brow,diff_bin5,-0.409589829926915
pp481,673,trial6,brow,diff_bin6,0.0130215945930719
pp481,673,trial6,brow,diff_bin7,0.320078667094439
pp481,673,trial6,brow,diff_bin8,-0.366769447707129
pp481,673,trial6,brow,diff_bin9,1.10768834005701
pp481,673,trial6,brow,diff_bin10,2.95650877237536
pp481,673,trial6,cheek,diff_bin1,-0.0439670163272608
pp481,673,trial6,cheek,diff_bin2,0.0550443569258419
pp481,673,trial6,cheek,diff_bin3,-0.197876026763178
pp481,673,trial6,cheek,diff_bin4,-0.371054230116716
pp481,673,trial6,cheek,diff_bin5,0.00474393835789111
pp481,673,trial6,cheek,diff_bin6,-0.142146977703207
pp481,673,trial6,cheek,diff_bin7,-0.242870081291632
pp481,673,trial6,cheek,diff_bin8,-0.407098380320488
pp481,673,trial6,cheek,diff_bin9,0.631946386510233
pp481,673,trial6,cheek,diff_bin10,0.577415548684988
pp481,673,trial7,brow,diff_bin1,0.280636683471847
pp481,673,trial7,brow,diff_bin2,0.00685519715353158
pp481,673,trial7,brow,diff_bin3,0.147124338909884
pp481,673,trial7,brow,diff_bin4,-0.47377940327362
pp481,673,trial7,brow,diff_bin5,0.209001513216761
pp481,673,trial7,brow,diff_bin6,-0.423480624159071
pp481,673,trial7,brow,diff_bin7,-0.485685798329754
pp481,673,trial7,brow,diff_bin8,-0.192421120101401
pp481,673,trial7,brow,diff_bin9,-0.160769133244186
pp481,673,trial7,brow,diff_bin10,-0.40926183006311
pp481,673,trial7,cheek,diff_bin1,0.285663339674672
pp481,673,trial7,cheek,diff_bin2,-0.166942614274866
pp481,673,trial7,cheek,diff_bin3,0.193474434472351
pp481,673,trial7,cheek,diff_bin4,0.830140306049971
pp481,673,trial7,cheek,diff_bin5,0.974536986479601
pp481,673,trial7,cheek,diff_bin6,1.35273157742366
pp481,673,trial7,cheek,diff_bin7,NA
pp481,673,trial7,cheek,diff_bin8,2.77823614738899
pp481,673,trial7,cheek,diff_bin9,2.34074232697129
pp481,673,trial7,cheek,diff_bin10,3.01824519369158
pp481,673,trial8,brow,diff_bin1,0.0129231946339302
pp481,673,trial8,brow,diff_bin2,-0.372804645201147
pp481,673,trial8,brow,diff_bin3,-0.393583436573215
