pp_no,condition,bin,bin_no,trial,muscle,rms,outlier1.5SD
pp4812,673,bin_0,0,trial3,cheek,6.9259,TRUE
pp4812,673,bin_1,1,trial3,cheek,5.2683,TRUE
pp4812,673,bin_2,2,trial3,cheek,6.5874,TRUE
pp4812,673,bin_3,3,trial3,cheek,7.8625,TRUE
pp4812,673,bin_4,4,trial3,cheek,5.5638,TRUE
pp4812,673,bin_5,5,trial3,cheek,6.5169,TRUE
pp4812,673,bin_6,6,trial3,cheek,6.0854,TRUE
pp4812,673,bin_7,7,trial3,cheek,7.3113,TRUE
pp4812,673,bin_8,8,trial3,cheek,5.0911,TRUE
pp4812,673,bin_9,9,trial3,cheek,3.969,TRUE
pp4812,673,bin_10,10,trial3,cheek,4.2321,TRUE
pp482,429,bin_0,0,trial6,cheek,11.5282,TRUE
pp482,429,bin_1,1,trial6,cheek,12.6566,TRUE
pp482,429,bin_2,2,trial6,cheek,4.8929,TRUE
pp482,429,bin_3,3,trial6,cheek,2.502,TRUE
pp482,429,bin_4,4,trial6,cheek,4.4881,TRUE
pp482,429,bin_5,5,trial6,cheek,3.9377,TRUE
pp482,429,bin_6,6,trial6,cheek,3.8,TRUE
pp482,429,bin_7,7,trial6,cheek,3.5203,TRUE
pp482,429,bin_8,8,trial6,cheek,2.9628,TRUE
pp482,429,bin_9,9,trial6,cheek,3.4453,TRUE
pp482,429,bin_10,10,trial6,cheek,2.3733,TRUE
pp482,673,bin_0,0,trial2,brow,23.3618,TRUE
pp482,673,bin_1,1,trial2,brow,18.8132,TRUE
pp482,673,bin_2,2,trial2,brow,26.2966,TRUE
pp482,673,bin_3,3,trial2,brow,27.5641,TRUE
pp482,673,bin_4,4,trial2,brow,17.4017,TRUE
pp482,673,bin_5,5,trial2,brow,17.1788,TRUE
pp482,673,bin_6,6,trial2,brow,18.2972,TRUE
pp482,673,bin_7,7,trial2,brow,14.9761,TRUE
pp482,673,bin_8,8,trial2,brow,15.8667,TRUE
pp482,673,bin_9,9,trial2,brow,9.2681,TRUE
pp482,673,bin_10,10,trial2,brow,8.8418,TRUE
pp483,429,bin_0,0,trial2,brow,23.0993,TRUE
pp483,429,bin_1,1,trial2,brow,22.3026,TRUE
pp483,429,bin_2,2,trial2,brow,18.0821,TRUE
pp483,429,bin_3,3,trial2,brow,24.9585,TRUE
pp483,429,bin_4,4,trial2,brow,33.1221,TRUE
pp483,429,bin_5,5,trial2,brow,25.4715,TRUE
pp483,429,bin_6,6,trial2,brow,21.6037,TRUE
pp483,429,bin_7,7,trial2,brow,24.9068,TRUE
pp483,429,bin_8,8,trial2,brow,21.9318,TRUE
pp483,429,bin_9,9,trial2,brow,20.3034,TRUE
pp483,429,bin_10,10,trial2,brow,23.1329,TRUE
pp483,673,bin_0,0,trial3,brow,19.7083,TRUE
pp483,673,bin_1,1,trial3,brow,9.4052,TRUE
pp483,673,bin_2,2,trial3,brow,10.4641,TRUE
pp483,673,bin_3,3,trial3,brow,12.3942,TRUE
pp483,673,bin_4,4,trial3,brow,9.8137,TRUE
pp483,673,bin_5,5,trial3,brow,9.4934,TRUE
pp483,673,bin_6,6,trial3,brow,11.5453,TRUE
pp483,673,bin_7,7,trial3,brow,12.341,TRUE
