"","pp_no","condition","trial","muscle","bin","Zdiff"
"91","pp481","285","trial5","cheek","diff_bin1",0.950449005923436
"92","pp481","285","trial5","cheek","diff_bin2",-0.473307892539678
"93","pp481","285","trial5","cheek","diff_bin3",-0.253068481072454
"94","pp481","285","trial5","cheek","diff_bin4",-0.416682491555859
"95","pp481","285","trial5","cheek","diff_bin5",0.188435064265857
"96","pp481","285","trial5","cheek","diff_bin6",0.509514750809493
"97","pp481","285","trial5","cheek","diff_bin7",0.978837611778594
"98","pp481","285","trial5","cheek","diff_bin8",2.24471135468361
"99","pp481","285","trial5","cheek","diff_bin9",2.81350819419064
"100","pp481","285","trial5","cheek","diff_bin10",1.03413466890555
"101","pp481","285","trial6","brow","diff_bin1",0.702139992395795
"102","pp481","285","trial6","brow","diff_bin2",-0.236512662863873
"103","pp481","285","trial6","brow","diff_bin3",-0.303923714406845
"104","pp481","285","trial6","brow","diff_bin4",0.101403568546193
"105","pp481","285","trial6","brow","diff_bin5",-0.244133874462156
"106","pp481","285","trial6","brow","diff_bin6",-0.279114916819129
"107","pp481","285","trial6","brow","diff_bin7",-0.322259265323216
"108","pp481","285","trial6","brow","diff_bin8",-0.298789760150261
"109","pp481","285","trial6","brow","diff_bin9",-0.471654145398347
"110","pp481","285","trial6","brow","diff_bin10",-0.514415838926789
"111","pp481","285","trial6","cheek","diff_bin1",0.0798524421380389
"112","pp481","285","trial6","cheek","diff_bin2",0.250829272856606
"113","pp481","285","trial6","cheek","diff_bin3",0.552477186408476
"114","pp481","285","trial6","cheek","diff_bin4",-0.149229944147704
"115","pp481","285","trial6","cheek","diff_bin5",1.02164823665108
"116","pp481","285","trial6","cheek","diff_bin6",-0.301002717964252
"117","pp481","285","trial6","cheek","diff_bin7",0.537941309346275
"118","pp481","285","trial6","cheek","diff_bin8",-0.0889610857279292
"119","pp481","285","trial6","cheek","diff_bin9",-0.141601455141171
"120","pp481","285","trial6","cheek","diff_bin10",0.0939328870207443
"121","pp481","285","trial7","brow","diff_bin1",0.698377218468609
"122","pp481","285","trial7","brow","diff_bin2",0.142060659708582
"123","pp481","285","trial7","brow","diff_bin3",-0.387948369475782
"124","pp481","285","trial7","brow","diff_bin4",0.0626916401766717
"125","pp481","285","trial7","brow","diff_bin5",-0.322610032384225
"126","pp481","285","trial7","brow","diff_bin6",-0.422291653540011
"127","pp481","285","trial7","brow","diff_bin7",-0.730265133105776
"128","pp481","285","trial7","brow","diff_bin8",-0.642828471170663
"129","pp481","285","trial7","brow","diff_bin9",-0.885846268620517
"130","pp481","285","trial7","brow","diff_bin10",0.469198775971285
"131","pp481","285","trial7","cheek","diff_bin1",-0.258040282365269
"132","pp481","285","trial7","cheek","diff_bin2",-0.0302103345731364
"133","pp481","285","trial7","cheek","diff_bin3",0.0662653821164524
"134","pp481","285","trial7","cheek","diff_bin4",-0.0740836345311083
"135","pp481","285","trial7","cheek","diff_bin5",-0.0776891392854399
"136","pp481","285","trial7","cheek","diff_bin6",-0.145320817940376
"137","pp481","285","trial7","cheek","diff_bin7",-0.0553729624902086
"138","pp481","285","trial7","cheek","diff_bin8",-0.0962100479182169
"139","pp481","285","trial7","cheek","diff_bin9",0.442262598970802
"140","pp481","285","trial7","cheek","diff_bin10",1.95365223930499
"141","pp481","285","trial8","brow","diff_bin1",-1.15287566579216
"142","pp481","285","trial8","brow","diff_bin2",-0.863747943776961
"143","pp481","285","trial8","brow","diff_bin3",-1.01601273616944
"144","pp481","285","trial8","brow","diff_bin4",-1.87730531051933
"145","pp481","285","trial8","brow","diff_bin5",-0.975578860409507
"146","pp481","285","trial8","brow","diff_bin6",-1.80004089335348
"147","pp481","285","trial8","brow","diff_bin7",-1.36339967822674
"148","pp481","285","trial8","brow","diff_bin8",-1.67558236252461
"149","pp481","285","trial8","brow","diff_bin9",-2.65964340822761
"150","pp481","285","trial8","brow","diff_bin10",-1.76142462872787
"151","pp481","285","trial8","cheek","diff_bin1",-0.429093018447085
"152","pp481","285","trial8","cheek","diff_bin2",-0.0344230822334607
"153","pp481","285","trial8","cheek","diff_bin3",-0.323356847441108
"154","pp481","285","trial8","cheek","diff_bin4",0.117843076444207
"155","pp481","285","trial8","cheek","diff_bin5",-0.152987259628534
"156","pp481","285","trial8","cheek","diff_bin6",-0.118412366668575
"157","pp481","285","trial8","cheek","diff_bin7",0.156516859019616
"158","pp481","285","trial8","cheek","diff_bin8",1.3048131942518
"159","pp481","285","trial8","cheek","diff_bin9",0.519875832892993
"160","pp481","285","trial8","cheek","diff_bin10",0.488564870552745
"161","pp481","913","trial1","brow","diff_bin1",0.0459504849921588
"162","pp481","913","trial1","brow","diff_bin2",0.221334015496581
"163","pp481","913","trial1","brow","diff_bin3",0.514957933475621
"164","pp481","913","trial1","brow","diff_bin4",1.10230143317761
"165","pp481","913","trial1","brow","diff_bin5",0.363617890607623
"166","pp481","913","trial1","brow","diff_bin6",-0.378254443426083
"167","pp481","913","trial1","brow","diff_bin7",0.886101371937615
"168","pp481","913","trial1","brow","diff_bin8",0.10121224105837
"169","pp481","913","trial1","brow","diff_bin9",0.508676014292099
"170","pp481","913","trial1","brow","diff_bin10",0.21403168304467
"171","pp481","913","trial1","cheek","diff_bin1",-0.299712326789018
"172","pp481","913","trial1","cheek","diff_bin2",-0.135642884126117
"173","pp481","913","trial1","cheek","diff_bin3",-0.261531929074727
"174","pp481","913","trial1","cheek","diff_bin4",-0.634265215309366
"175","pp481","913","trial1","cheek","diff_bin5",0.131430136465793
"176","pp481","913","trial1","cheek","diff_bin6",-0.452471870327804
"177","pp481","913","trial1","cheek","diff_bin7",-0.359146226213052
"178","pp481","913","trial1","cheek","diff_bin8",0.272993638925339
"179","pp481","913","trial1","cheek","diff_bin9",-0.00315007257483682
"180","pp481","913","trial1","cheek","diff_bin10",-0.0576501233876809
"181","pp481","913","trial2","brow","diff_bin1",-1.55667232884261
"182","pp481","913","trial2","brow","diff_bin2",-1.93454411729305
"183","pp481","913","trial2","brow","diff_bin3",-1.83113161012472
"184","pp481","913","trial2","brow","diff_bin4",-1.92041777110879
"185","pp481","913","trial2","brow","diff_bin5",-1.64825441968056
"186","pp481","913","trial2","brow","diff_bin6",-2.05514421045082
"187","pp481","913","trial2","brow","diff_bin7",-1.69181331107493
"188","pp481","913","trial2","brow","diff_bin8",0.514192623524328
"189","pp481","913","trial2","brow","diff_bin9",-0.708517575323229
"190","pp481","913","trial2","brow","diff_bin10",-1.5349566589747
"191","pp481","913","trial2","cheek","diff_bin1",-0.180806575259324
"192","pp481","913","trial2","cheek","diff_bin2",-0.06106586473389
"193","pp481","913","trial2","cheek","diff_bin3",-0.174013045248531
"194","pp481","913","trial2","cheek","diff_bin4",-0.0468715618063108
"195","pp481","913","trial2","cheek","diff_bin5",-0.18653743018463
"196","pp481","913","trial2","cheek","diff_bin6",-0.0842929058881103
"197","pp481","913","trial2","cheek","diff_bin7",0.212307301007695
"198","pp481","913","trial2","cheek","diff_bin8",0.224945543988668
"199","pp481","913","trial2","cheek","diff_bin9",0.982632879941048
"200","pp481","913","trial2","cheek","diff_bin10",0.234357809031554
"201","pp481","913","trial3","brow","diff_bin1",0.0544645582002823
