pp_no,condition,emotion,trial,muscle,bin,Zdiff
pp401,dyn,626,trial7,cheek,diff_bin4,-0.04377062234492757
pp401,dyn,626,trial7,cheek,diff_bin5,3.8275631913590624
pp401,dyn,626,trial7,cheek,diff_bin6,1.3013399348777868
pp401,dyn,626,trial8,brow,diff_bin1,0.4984965450764331
pp401,dyn,626,trial8,brow,diff_bin2,0.4513426531077799
pp401,dyn,626,trial8,brow,diff_bin3,0.015931216493798805
pp401,dyn,626,trial8,brow,diff_bin4,0.03887467709786019
pp401,dyn,626,trial8,brow,diff_bin5,0.2957185020667816
pp401,dyn,626,trial8,brow,diff_bin6,0.3293998534729624
pp401,dyn,626,trial8,cheek,diff_bin1,-0.7557320811404377
pp401,dyn,626,trial8,cheek,diff_bin2,-0.9053009881537872
pp401,dyn,626,trial8,cheek,diff_bin3,-0.9236000950447469
pp401,dyn,626,trial8,cheek,diff_bin4,-0.813721319874203
pp401,dyn,626,trial8,cheek,diff_bin5,-0.8666835625770034
pp401,dyn,626,trial8,cheek,diff_bin6,-0.8724677630310426
pp401,dyn,727,trial1,brow,diff_bin1,NA
pp401,dyn,727,trial1,brow,diff_bin2,NA
pp401,dyn,727,trial1,brow,diff_bin3,NA
pp401,dyn,727,trial1,brow,diff_bin4,NA
pp401,dyn,727,trial1,brow,diff_bin5,NA
pp401,dyn,727,trial1,brow,diff_bin6,NA
pp401,dyn,727,trial1,cheek,diff_bin1,-0.40811215058079364
pp401,dyn,727,trial1,cheek,diff_bin2,-0.5111760859436699
pp401,dyn,727,trial1,cheek,diff_bin3,-0.533240181493804
pp401,dyn,727,trial1,cheek,diff_bin4,-0.2997057173440049
pp401,dyn,727,trial1,cheek,diff_bin5,-0.5183695279628746
pp401,dyn,727,trial1,cheek,diff_bin6,-0.5108605841007223
pp401,dyn,727,trial2,brow,diff_bin1,-0.07338394999112029
pp401,dyn,727,trial2,brow,diff_bin2,0.19160110293408084
pp401,dyn,727,trial2,brow,diff_bin3,-0.04153406126847849
pp401,dyn,727,trial2,brow,diff_bin4,-0.11222099429411318
pp401,dyn,727,trial2,brow,diff_bin5,0.07416169441837678
pp401,dyn,727,trial2,brow,diff_bin6,-0.07708450815306574
pp401,dyn,727,trial2,cheek,diff_bin1,0.26840793452360495
pp401,dyn,727,trial2,cheek,diff_bin2,2.2084498002644732
pp401,dyn,727,trial2,cheek,diff_bin3,0.08028470230206086
pp401,dyn,727,trial2,cheek,diff_bin4,0.060155684722005276
pp401,dyn,727,trial2,cheek,diff_bin5,1.2722296315018231
pp401,dyn,727,trial2,cheek,diff_bin6,0.07555217465784725
pp401,dyn,727,trial3,brow,diff_bin1,0.04300174026830103
pp401,dyn,727,trial3,brow,diff_bin2,-0.005130604366900604
pp401,dyn,727,trial3,brow,diff_bin3,-0.09187419653589163
pp401,dyn,727,trial3,brow,diff_bin4,0.11639823452437703
pp401,dyn,727,trial3,brow,diff_bin5,0.07847692156315375
pp401,dyn,727,trial3,brow,diff_bin6,0.17506776172240618
pp401,dyn,727,trial3,cheek,diff_bin1,-0.11267622484467915
pp401,dyn,727,trial3,cheek,diff_bin2,-0.03573584207786262
pp401,dyn,727,trial3,cheek,diff_bin3,-0.1609059399032659
pp401,dyn,727,trial3,cheek,diff_bin4,-0.09357784661825225
pp401,dyn,727,trial3,cheek,diff_bin5,-0.12803064786812807
pp401,dyn,727,trial3,cheek,diff_bin6,-0.13665436490869526
pp401,dyn,727,trial4,brow,diff_bin1,0.15561160677604247
pp401,dyn,727,trial4,brow,diff_bin2,0.09105881931376802
pp401,dyn,727,trial4,brow,diff_bin3,-0.0627965903684699
pp401,dyn,727,trial4,brow,diff_bin4,0.04711625917378598
pp401,dyn,727,trial4,brow,diff_bin5,0.20677966353053473
pp401,dyn,727,trial4,brow,diff_bin6,0.891608720259635
pp401,dyn,727,trial4,cheek,diff_bin1,NA
pp401,dyn,727,trial4,cheek,diff_bin2,NA
pp401,dyn,727,trial4,cheek,diff_bin3,NA
pp401,dyn,727,trial4,cheek,diff_bin4,NA
pp401,dyn,727,trial4,cheek,diff_bin5,NA
pp401,dyn,727,trial4,cheek,diff_bin6,NA
pp401,dyn,727,trial5,brow,diff_bin1,-1.150848499835104
pp401,dyn,727,trial5,brow,diff_bin2,-0.9987241987167592
pp401,dyn,727,trial5,brow,diff_bin3,-0.9303328661780261
pp401,dyn,727,trial5,brow,diff_bin4,-0.9002768073440564
pp401,dyn,727,trial5,brow,diff_bin5,-0.9540791597392553
pp401,dyn,727,trial5,brow,diff_bin6,-0.9690821006263288
pp401,dyn,727,trial5,cheek,diff_bin1,-0.1032322030124484
pp401,dyn,727,trial5,cheek,diff_bin2,-0.5210407768998307
pp401,dyn,727,trial5,cheek,diff_bin3,-0.7594970697996123
pp401,dyn,727,trial5,cheek,diff_bin4,-0.6340325035874577
pp401,dyn,727,trial5,cheek,diff_bin5,-0.4798362362108768
pp401,dyn,727,trial5,cheek,diff_bin6,-0.8181593791316657
pp401,dyn,727,trial6,brow,diff_bin1,-0.03550026982476412
pp401,dyn,727,trial6,brow,diff_bin2,-0.09334187553571394
pp401,dyn,727,trial6,brow,diff_bin3,-0.1156832114218993
pp401,dyn,727,trial6,brow,diff_bin4,0.27469431400094946
pp401,dyn,727,trial6,brow,diff_bin5,0.16355212649303047
pp401,dyn,727,trial6,brow,diff_bin6,0.3610992110161354
pp401,dyn,727,trial6,cheek,diff_bin1,0.3667603756984641
pp401,dyn,727,trial6,cheek,diff_bin2,0.0977635044013568
pp401,dyn,727,trial6,cheek,diff_bin3,-0.05662206408099254
pp401,dyn,727,trial6,cheek,diff_bin4,-0.10899537001029082
pp401,dyn,727,trial6,cheek,diff_bin5,-0.08741504395267635
pp401,dyn,727,trial6,cheek,diff_bin6,-0.2799553019754864
pp401,dyn,727,trial7,brow,diff_bin1,0.10507076326933754
pp401,dyn,727,trial7,brow,diff_bin2,0.2561915231912224
pp401,dyn,727,trial7,brow,diff_bin3,0.17163063312453147
pp401,dyn,727,trial7,brow,diff_bin4,0.1772379195597505
pp401,dyn,727,trial7,brow,diff_bin5,0.16652511728754252
pp401,dyn,727,trial7,brow,diff_bin6,0.2454661766540587
pp401,dyn,727,trial7,cheek,diff_bin1,-0.027701061810797636
pp401,dyn,727,trial7,cheek,diff_bin2,0.019729381912322
pp401,dyn,727,trial7,cheek,diff_bin3,0.2761692798601155
pp401,dyn,727,trial7,cheek,diff_bin4,-0.12710517579548195
pp401,dyn,727,trial7,cheek,diff_bin5,-0.22038855402698326
pp401,dyn,727,trial7,cheek,diff_bin6,-0.03573584207786264
pp401,dyn,727,trial8,brow,diff_bin1,0.025678110364414135
pp401,dyn,727,trial8,brow,diff_bin2,0.18711025607992338
pp401,dyn,727,trial8,brow,diff_bin3,0.03302904962848195
pp401,dyn,727,trial8,brow,diff_bin4,-0.19358309679708893
pp401,dyn,727,trial8,brow,diff_bin5,0.7009358929322793
pp401,dyn,727,trial8,brow,diff_bin6,-0.06900600152156472
pp401,dyn,727,trial8,cheek,diff_bin1,0.06124942444422357
pp401,dyn,727,trial8,cheek,diff_bin2,-0.20896738731228076
pp401,dyn,727,trial8,cheek,diff_bin3,-0.26235029913901137
pp401,dyn,727,trial8,cheek,diff_bin4,-0.37132463569310575
pp401,dyn,727,trial8,cheek,diff_bin5,9.658941687646799
pp401,dyn,727,trial8,cheek,diff_bin6,-0.32803778284069773
pp401,dyn,828,trial1,brow,diff_bin1,0.07402370750386345
pp401,dyn,828,trial1,brow,diff_bin2,0.02480001181751188
pp401,dyn,828,trial1,brow,diff_bin3,0.07655764902492447
pp401,dyn,828,trial1,brow,diff_bin4,0.14138641031622534
pp401,dyn,828,trial1,brow,diff_bin5,0.16446785783479986
pp401,dyn,828,trial1,brow,diff_bin6,0.39518197890090007
pp401,dyn,828,trial1,cheek,diff_bin1,-0.27036404594987995
pp401,dyn,828,trial1,cheek,diff_bin2,-0.10175986107869285
pp401,dyn,828,trial1,cheek,diff_bin3,-0.41370704992906393
pp401,dyn,828,trial1,cheek,diff_bin4,-0.6606818925884298
pp401,dyn,828,trial1,cheek,diff_bin5,-0.7118773249707239
pp401,dyn,828,trial1,cheek,diff_bin6,-0.33213930679901604
pp401,dyn,828,trial2,brow,diff_bin1,0.2608454454898049
pp401,dyn,828,trial2,brow,diff_bin2,0.2391313228514067
pp401,dyn,828,trial2,brow,diff_bin3,0.33158255557526245
pp401,dyn,828,trial2,brow,diff_bin4,0.4608512059442363
pp401,dyn,828,trial2,brow,diff_bin5,0.30357121192907943
pp401,dyn,828,trial2,brow,diff_bin6,0.2719596642405967
pp401,dyn,828,trial2,cheek,diff_bin1,-0.008182014460440645
pp401,dyn,828,trial2,cheek,diff_bin2,0.029720273605662095
pp401,dyn,828,trial2,cheek,diff_bin3,-0.04337098667719397
pp401,dyn,828,trial2,cheek,diff_bin4,0.046021202157953855
pp401,dyn,828,trial2,cheek,diff_bin5,0.0046063269070347745
pp401,dyn,828,trial2,cheek,diff_bin6,-0.016427129289470765
pp401,dyn,828,trial3,brow,diff_bin1,-0.02883926513326257
pp401,dyn,828,trial3,brow,diff_bin2,-0.2412011265691048
pp401,dyn,828,trial3,brow,diff_bin3,-0.5590602562827798
pp401,dyn,828,trial3,brow,diff_bin4,-0.5778390209215332
pp401,dyn,828,trial3,brow,diff_bin5,-0.1439078075723304
pp401,dyn,828,trial3,brow,diff_bin6,-0.12934391595870812
pp401,dyn,828,trial3,cheek,diff_bin1,-0.43962026796315845
pp401,dyn,828,trial3,cheek,diff_bin2,-0.6022719847307344
pp401,dyn,828,trial3,cheek,diff_bin3,-0.8311790885173023
pp401,dyn,828,trial3,cheek,diff_bin4,-0.7641664970752362
pp401,dyn,828,trial3,cheek,diff_bin5,-0.8532852509798294
pp401,dyn,828,trial3,cheek,diff_bin6,-0.8398869393826556
pp401,dyn,828,trial4,brow,diff_bin1,-0.021965007937513215
pp401,dyn,828,trial4,brow,diff_bin2,-0.0945837577663329
pp401,dyn,828,trial4,brow,diff_bin3,-0.41793727553062526
pp401,dyn,828,trial4,brow,diff_bin4,-0.07186609393147508
pp401,dyn,828,trial4,brow,diff_bin5,0.033317567722464136
pp401,dyn,828,trial4,brow,diff_bin6,-0.026731828620697118
pp401,dyn,828,trial4,cheek,diff_bin1,-0.3303514630223131
pp401,dyn,828,trial4,cheek,diff_bin2,-0.2443456606348027
pp401,dyn,828,trial4,cheek,diff_bin3,-0.18288590162861398
pp401,dyn,828,trial4,cheek,diff_bin4,-0.3735752155061316
pp401,dyn,828,trial4,cheek,diff_bin5,-0.3436866742508975
pp401,dyn,828,trial4,cheek,diff_bin6,-0.24703794302795526
pp401,dyn,828,trial5,brow,diff_bin1,-0.06608318778687555
pp401,dyn,828,trial5,brow,diff_bin2,-0.12368645246366601
pp401,dyn,828,trial5,brow,diff_bin3,-0.16130670306595163
pp401,dyn,828,trial5,brow,diff_bin4,-0.056863153044401316
pp401,dyn,828,trial5,brow,diff_bin5,-0.08663069378438928
pp401,dyn,828,trial5,brow,diff_bin6,-0.08348208328049675
pp401,dyn,828,trial5,cheek,diff_bin1,-0.08343972073153683
pp401,dyn,828,trial5,cheek,diff_bin2,-0.17144370145771526
pp401,dyn,828,trial5,cheek,diff_bin3,-0.1675735455175582
pp401,dyn,828,trial5,cheek,diff_bin4,-0.16290411824193407
pp401,dyn,828,trial5,cheek,diff_bin5,-0.1047466118585968
pp401,dyn,828,trial5,cheek,diff_bin6,-0.1579822894919518
pp401,dyn,828,trial6,brow,diff_bin1,-0.16727777318488737
pp401,dyn,828,trial6,brow,diff_bin2,-0.4173476950777052
pp401,dyn,828,trial6,brow,diff_bin3,-0.4435526645702608
pp401,dyn,828,trial6,brow,diff_bin4,-0.329625650242166
pp401,dyn,828,trial6,brow,diff_bin5,-0.4445687500316764
pp401,dyn,828,trial6,brow,diff_bin6,-0.38059299875736635
pp401,dyn,828,trial6,cheek,diff_bin1,NA
pp401,dyn,828,trial6,cheek,diff_bin2,NA
pp401,dyn,828,trial6,cheek,diff_bin3,NA
pp401,dyn,828,trial6,cheek,diff_bin4,NA
pp401,dyn,828,trial6,cheek,diff_bin5,NA
pp401,dyn,828,trial6,cheek,diff_bin6,NA
pp401,dyn,828,trial7,brow,diff_bin1,0.059484904420152585
pp401,dyn,828,trial7,brow,diff_bin2,-0.12638346942915182
pp401,dyn,828,trial7,brow,diff_bin3,0.07816331493926015
pp401,dyn,828,trial7,brow,diff_bin4,0.12520430852331166
pp401,dyn,828,trial7,brow,diff_bin5,0.3051768778434147
pp401,dyn,828,trial7,brow,diff_bin6,13.299918932416325
pp401,dyn,828,trial7,cheek,diff_bin1,0.09719560108405123
pp401,dyn,828,trial7,cheek,diff_bin2,0.15501657216824455
pp401,dyn,828,trial7,cheek,diff_bin3,-0.01861460873390719
pp401,dyn,828,trial7,cheek,diff_bin4,-0.009149553445479741
pp401,dyn,828,trial7,cheek,diff_bin5,0.39183225548469836
pp401,dyn,828,trial7,cheek,diff_bin6,6.6300398615252405
pp401,dyn,828,trial8,brow,diff_bin1,0.20940141490628592
pp401,dyn,828,trial8,brow,diff_bin2,0.2821456073846632
pp401,dyn,828,trial8,brow,diff_bin3,-0.029516655440872924
pp401,dyn,828,trial8,brow,diff_bin4,0.026593841706183785
pp401,dyn,828,trial8,brow,diff_bin5,0.3621278407425065
pp401,dyn,828,trial8,brow,diff_bin6,0.4189784495219523
pp401,dyn,828,trial8,cheek,diff_bin1,-0.052436406297887816
pp401,dyn,828,trial8,cheek,diff_bin2,-0.043160652115228904
pp401,dyn,828,trial8,cheek,diff_bin3,-0.09635426283619097
pp401,dyn,828,trial8,cheek,diff_bin4,-0.09603876099324338
pp401,dyn,828,trial8,cheek,diff_bin5,-0.11566297562458283
pp401,dyn,828,trial8,cheek,diff_bin6,-0.04091007230220284
pp401,dyn,929,trial1,brow,diff_bin1,0.24216703497069733
pp401,dyn,929,trial1,brow,diff_bin2,0.14679298851215244
pp401,dyn,929,trial1,brow,diff_bin3,0.28875643501634213
pp401,dyn,929,trial1,brow,diff_bin4,0.12743718768543455
pp401,dyn,929,trial1,brow,diff_bin5,0.2164262032815044
pp401,dyn,929,trial1,brow,diff_bin6,0.7550769404812839
pp401,dyn,929,trial1,cheek,diff_bin1,-0.11536850723783204
pp401,dyn,929,trial1,cheek,diff_bin2,-0.20225771478559562
pp401,dyn,929,trial1,cheek,diff_bin3,-0.18231799831130857
pp401,dyn,929,trial1,cheek,diff_bin4,-0.017941538135619106
pp401,dyn,929,trial1,cheek,diff_bin5,-0.09511328892059734
pp401,dyn,929,trial1,cheek,diff_bin6,0.017289500993527274
pp401,dyn,929,trial2,brow,diff_bin1,-0.0051180601019446825
pp401,dyn,929,trial2,brow,diff_bin2,0.06433953495802677
pp401,dyn,929,trial2,brow,diff_bin3,-0.04628833768670669
pp401,dyn,929,trial2,brow,diff_bin4,-0.040354900362638335
pp401,dyn,929,trial2,brow,diff_bin5,0.1882016071310735
pp401,dyn,929,trial2,brow,diff_bin6,0.10499549767960298
pp401,dyn,929,trial2,cheek,diff_bin1,0.021075523108898375
pp401,dyn,929,trial2,cheek,diff_bin2,0.05506558832245112
pp401,dyn,929,trial2,cheek,diff_bin3,0.018530474909121297
pp401,dyn,929,trial2,cheek,diff_bin4,-0.004332891976480124
pp401,dyn,929,trial2,cheek,diff_bin5,0.05477111993569994
pp401,dyn,929,trial2,cheek,diff_bin6,-0.021201723846077436
pp401,dyn,929,trial3,brow,diff_bin1,NA
pp401,dyn,929,trial3,brow,diff_bin2,NA
pp401,dyn,929,trial3,brow,diff_bin3,NA
pp401,dyn,929,trial3,brow,diff_bin4,NA
pp401,dyn,929,trial3,brow,diff_bin5,NA
pp401,dyn,929,trial3,brow,diff_bin6,NA
pp401,dyn,929,trial3,cheek,diff_bin1,-0.1333731457420405
pp401,dyn,929,trial3,cheek,diff_bin2,-0.09767937057657083
pp401,dyn,929,trial3,cheek,diff_bin3,-0.09557602495692041
pp401,dyn,929,trial3,cheek,diff_bin4,-0.06455167706707488
pp401,dyn,929,trial3,cheek,diff_bin5,-0.00717240856300827
pp401,dyn,929,trial3,cheek,diff_bin6,-0.08459656082234457
pp401,dyn,929,trial4,brow,diff_bin1,0.18559240002027794
pp401,dyn,929,trial4,brow,diff_bin2,0.06840387680368892
pp401,dyn,929,trial4,brow,diff_bin3,0.2260852872974296
pp401,dyn,929,trial4,brow,diff_bin4,0.4620554553799878
pp401,dyn,929,trial4,brow,diff_bin5,0.1938088935662923
pp401,dyn,929,trial4,brow,diff_bin6,0.3172820935257109
pp401,dyn,929,trial4,cheek,diff_bin1,NA
pp401,dyn,929,trial4,cheek,diff_bin2,NA
pp401,dyn,929,trial4,cheek,diff_bin3,NA
pp401,dyn,929,trial4,cheek,diff_bin4,NA
pp401,dyn,929,trial4,cheek,diff_bin5,NA
pp401,dyn,929,trial4,cheek,diff_bin6,NA
pp401,dyn,929,trial5,brow,diff_bin1,0.017599603732913124
pp401,dyn,929,trial5,brow,diff_bin2,0.2829233518119195
pp401,dyn,929,trial5,brow,diff_bin3,0.2809413579489114
pp401,dyn,929,trial5,brow,diff_bin4,0.055884700377853105
pp401,dyn,929,trial5,brow,diff_bin5,-0.1561760986990512
pp401,dyn,929,trial5,brow,diff_bin6,-0.1540812064514414
pp401,dyn,929,trial5,cheek,diff_bin1,-0.02685972356293731
pp401,dyn,929,trial5,cheek,diff_bin2,-0.09856277573682404
pp401,dyn,929,trial5,cheek,diff_bin3,0.09244203998364103
pp401,dyn,929,trial5,cheek,diff_bin4,-0.057379268504066605
pp401,dyn,929,trial5,cheek,diff_bin5,-0.06453064361087835
pp401,dyn,929,trial5,cheek,diff_bin6,-0.07982196626573779
pp401,dyn,929,trial6,brow,diff_bin1,0.031950242842287764
pp401,dyn,929,trial6,brow,diff_bin2,-0.035989496158038266
pp401,dyn,929,trial6,brow,diff_bin3,0.08793529733978706
pp401,dyn,929,trial6,brow,diff_bin4,0.09822159460349954
pp401,dyn,929,trial6,brow,diff_bin5,0.21063075287194916
pp401,dyn,929,trial6,brow,diff_bin6,0.0445572291228136
pp401,dyn,929,trial6,cheek,diff_bin1,-0.6471994471664697
pp401,dyn,929,trial6,cheek,diff_bin2,-0.7665222441692447
pp401,dyn,929,trial6,cheek,diff_bin3,-0.7058407230423267
pp401,dyn,929,trial6,cheek,diff_bin4,-0.6895187610338385
pp401,dyn,929,trial6,cheek,diff_bin5,-0.7903110831274923
pp401,dyn,929,trial6,cheek,diff_bin6,-0.7044735483895539
pp401,dyn,929,trial7,brow,diff_bin1,-0.16367756914258785
pp401,dyn,929,trial7,brow,diff_bin2,-0.013485084827428079
pp401,dyn,929,trial7,brow,diff_bin3,-0.42272918474372057
pp401,dyn,929,trial7,brow,diff_bin4,0.022680031039990667
pp401,dyn,929,trial7,brow,diff_bin5,-0.10400450074809905
pp401,dyn,929,trial7,brow,diff_bin6,0.02395954606547701
