pp_no,condition,emotion,bin,bin_no,trial,muscle,rms,bl_outlier
pp403,dyn,828,bin_3,3,trial1,brow,84.2208,TRUE
pp403,dyn,828,bin_4,4,trial1,brow,55.0342,TRUE
pp403,dyn,828,bin_5,5,trial1,brow,96.242,TRUE
pp403,dyn,828,bin_6,6,trial1,brow,102.9261,TRUE
pp403,dyn,828,bin_0,0,trial1,cheek,83.6792,TRUE
pp403,dyn,828,bin_1,1,trial1,cheek,107.9586,TRUE
pp403,dyn,828,bin_2,2,trial1,cheek,214.3525,TRUE
pp403,dyn,828,bin_3,3,trial1,cheek,162.7223,TRUE
pp403,dyn,828,bin_4,4,trial1,cheek,88.2908,TRUE
pp403,dyn,828,bin_5,5,trial1,cheek,160.0373,TRUE
pp403,dyn,828,bin_6,6,trial1,cheek,113.1495,TRUE
pp403,dyn,929,bin_0,0,trial8,brow,21.2963,TRUE
pp403,dyn,929,bin_1,1,trial8,brow,31.3343,TRUE
pp403,dyn,929,bin_2,2,trial8,brow,22.5046,TRUE
pp403,dyn,929,bin_3,3,trial8,brow,20.9541,TRUE
pp403,dyn,929,bin_4,4,trial8,brow,82.7415,TRUE
pp403,dyn,929,bin_5,5,trial8,brow,81.7322,TRUE
pp403,dyn,929,bin_6,6,trial8,brow,16.545,TRUE
pp403,dyn,929,bin_0,0,trial8,cheek,35.1496,TRUE
pp403,dyn,929,bin_1,1,trial8,cheek,161.1889,TRUE
pp403,dyn,929,bin_2,2,trial8,cheek,36.4471,TRUE
pp403,dyn,929,bin_3,3,trial8,cheek,30.104,TRUE
pp403,dyn,929,bin_4,4,trial8,cheek,91.7231,TRUE
pp403,dyn,929,bin_5,5,trial8,cheek,99.5629,TRUE
pp403,dyn,929,bin_6,6,trial8,cheek,34.6418,TRUE
pp404,dyn,626,bin_0,0,trial2,brow,3.8827,TRUE
pp404,dyn,626,bin_1,1,trial2,brow,1.217,TRUE
pp404,dyn,626,bin_2,2,trial2,brow,2.2249,TRUE
pp404,dyn,626,bin_3,3,trial2,brow,1.7264,TRUE
pp404,dyn,626,bin_4,4,trial2,brow,1.4506,TRUE
pp404,dyn,626,bin_5,5,trial2,brow,1.0753,TRUE
pp404,dyn,626,bin_6,6,trial2,brow,1.9794,TRUE
pp404,dyn,626,bin_0,0,trial3,cheek,33.2014,TRUE
pp404,dyn,626,bin_1,1,trial3,cheek,20.6347,TRUE
pp404,dyn,626,bin_2,2,trial3,cheek,19.8266,TRUE
pp404,dyn,626,bin_3,3,trial3,cheek,16.0602,TRUE
pp404,dyn,626,bin_4,4,trial3,cheek,40.8281,TRUE
pp404,dyn,626,bin_5,5,trial3,cheek,41.1281,TRUE
pp404,dyn,626,bin_6,6,trial3,cheek,32.1503,TRUE
pp404,dyn,727,bin_0,0,trial7,cheek,44.5689,TRUE
pp404,dyn,727,bin_1,1,trial7,cheek,34.4997,TRUE
pp404,dyn,727,bin_2,2,trial7,cheek,18.4915,TRUE
pp404,dyn,727,bin_3,3,trial7,cheek,11.9591,TRUE
pp404,dyn,727,bin_4,4,trial7,cheek,34.655,TRUE
pp404,dyn,727,bin_5,5,trial7,cheek,67.1066,TRUE
pp404,dyn,727,bin_6,6,trial7,cheek,145.0117,TRUE
pp404,dyn,828,bin_0,0,trial4,brow,2.6535,TRUE
pp404,dyn,828,bin_1,1,trial4,brow,1.355,TRUE
pp404,dyn,828,bin_2,2,trial4,brow,1.9166,TRUE
pp404,dyn,828,bin_3,3,trial4,brow,1.31,TRUE
pp404,dyn,828,bin_4,4,trial4,brow,0.9349,TRUE
pp404,dyn,828,bin_5,5,trial4,brow,1.4372,TRUE
pp404,dyn,828,bin_6,6,trial4,brow,1.7866,TRUE
pp404,dyn,828,bin_0,0,trial4,cheek,39.865,TRUE
pp404,dyn,828,bin_1,1,trial4,cheek,19.3377,TRUE
pp404,dyn,828,bin_2,2,trial4,cheek,15.0864,TRUE
pp404,dyn,828,bin_3,3,trial4,cheek,14.4526,TRUE
pp404,dyn,828,bin_4,4,trial4,cheek,13.3633,TRUE
pp404,dyn,828,bin_5,5,trial4,cheek,16.4695,TRUE
pp404,dyn,828,bin_6,6,trial4,cheek,12.2952,TRUE
pp404,dyn,929,bin_0,0,trial5,brow,1.9571,TRUE
pp404,dyn,929,bin_1,1,trial5,brow,5.6823,TRUE
pp404,dyn,929,bin_2,2,trial5,brow,1.3954,TRUE
pp404,dyn,929,bin_3,3,trial5,brow,1.2315,TRUE
pp404,dyn,929,bin_4,4,trial5,brow,1.1564,TRUE
pp404,dyn,929,bin_5,5,trial5,brow,1.11,TRUE
pp404,dyn,929,bin_6,6,trial5,brow,1.1051,TRUE
pp404,dyn,929,bin_0,0,trial8,cheek,13.3085,TRUE
pp404,dyn,929,bin_1,1,trial8,cheek,12.0337,TRUE
pp404,dyn,929,bin_2,2,trial8,cheek,7.1546,TRUE
pp404,dyn,929,bin_3,3,trial8,cheek,7.7463,TRUE
pp404,dyn,929,bin_4,4,trial8,cheek,7.1309,TRUE
pp404,dyn,929,bin_5,5,trial8,cheek,6.4649,TRUE
pp404,dyn,929,bin_6,6,trial8,cheek,12.4205,TRUE
pp405,dyn,626,bin_0,0,trial1,brow,5.2183,TRUE
pp405,dyn,626,bin_1,1,trial1,brow,3.7852,TRUE
pp405,dyn,626,bin_2,2,trial1,brow,3.9522,TRUE
pp405,dyn,626,bin_3,3,trial1,brow,3.3526,TRUE
pp405,dyn,626,bin_4,4,trial1,brow,3.4361,TRUE
pp405,dyn,626,bin_5,5,trial1,brow,3.431,TRUE
pp405,dyn,626,bin_6,6,trial1,brow,3.4878,TRUE
pp405,dyn,626,bin_0,0,trial3,cheek,5.6754,TRUE
pp405,dyn,626,bin_1,1,trial3,cheek,9.8405,TRUE
pp405,dyn,626,bin_2,2,trial3,cheek,5.7475,TRUE
pp405,dyn,626,bin_3,3,trial3,cheek,8.7457,TRUE
pp405,dyn,626,bin_4,4,trial3,cheek,10.7333,TRUE
pp405,dyn,626,bin_5,5,trial3,cheek,5.0983,TRUE
pp405,dyn,626,bin_6,6,trial3,cheek,6.0926,TRUE
pp405,dyn,727,bin_0,0,trial2,brow,5.194,TRUE
pp405,dyn,727,bin_1,1,trial2,brow,3.0869,TRUE
pp405,dyn,727,bin_2,2,trial2,brow,3.2208,TRUE
pp405,dyn,727,bin_3,3,trial2,brow,2.9537,TRUE
pp405,dyn,727,bin_4,4,trial2,brow,3.739,TRUE
pp405,dyn,727,bin_5,5,trial2,brow,4.699,TRUE
pp405,dyn,727,bin_6,6,trial2,brow,4.2336,TRUE
pp405,dyn,727,bin_0,0,trial2,cheek,6.1104,TRUE
pp405,dyn,727,bin_1,1,trial2,cheek,4.1847,TRUE
pp405,dyn,727,bin_2,2,trial2,cheek,4.4727,TRUE
pp405,dyn,727,bin_3,3,trial2,cheek,4.6185,TRUE
pp405,dyn,727,bin_4,4,trial2,cheek,4.4079,TRUE
pp405,dyn,727,bin_5,5,trial2,cheek,4.8793,TRUE
pp405,dyn,727,bin_6,6,trial2,cheek,5.6025,TRUE
pp405,dyn,828,bin_0,0,trial1,brow,4.8401,TRUE
pp405,dyn,828,bin_1,1,trial1,brow,3.3244,TRUE
pp405,dyn,828,bin_2,2,trial1,brow,2.9246,TRUE
pp405,dyn,828,bin_3,3,trial1,brow,3.3245,TRUE
pp405,dyn,828,bin_4,4,trial1,brow,3.2366,TRUE
pp405,dyn,828,bin_5,5,trial1,brow,3.1579,TRUE
pp405,dyn,828,bin_6,6,trial1,brow,2.7837,TRUE
pp405,dyn,929,bin_0,0,trial2,cheek,7.3786,TRUE
pp405,dyn,929,bin_1,1,trial2,cheek,9.855,TRUE
pp405,dyn,929,bin_2,2,trial2,cheek,8.897,TRUE
pp405,dyn,929,bin_3,3,trial2,cheek,6.5792,TRUE
pp405,dyn,929,bin_4,4,trial2,cheek,12.4492,TRUE
pp405,dyn,929,bin_5,5,trial2,cheek,11.4222,TRUE
pp405,dyn,929,bin_6,6,trial2,cheek,8.5286,TRUE
pp406,dyn,626,bin_0,0,trial6,brow,9.9276,TRUE
pp406,dyn,626,bin_1,1,trial6,brow,6.1195,TRUE
pp406,dyn,626,bin_2,2,trial6,brow,5.0098,TRUE
pp406,dyn,626,bin_3,3,trial6,brow,4.7692,TRUE
pp406,dyn,626,bin_4,4,trial6,brow,4.932,TRUE
pp406,dyn,626,bin_5,5,trial6,brow,4.4061,TRUE
pp406,dyn,626,bin_6,6,trial6,brow,5.5499,TRUE
pp406,dyn,727,bin_0,0,trial7,cheek,6.4972,TRUE
pp406,dyn,727,bin_1,1,trial7,cheek,5.3385,TRUE
pp406,dyn,727,bin_2,2,trial7,cheek,6.642,TRUE
pp406,dyn,727,bin_3,3,trial7,cheek,5.129,TRUE
pp406,dyn,727,bin_4,4,trial7,cheek,4.9645,TRUE
pp406,dyn,727,bin_5,5,trial7,cheek,4.7073,TRUE
pp406,dyn,727,bin_6,6,trial7,cheek,3.8854,TRUE
pp406,dyn,828,bin_0,0,trial2,cheek,13.0338,TRUE
pp406,dyn,828,bin_1,1,trial2,cheek,10.9124,TRUE
pp406,dyn,828,bin_2,2,trial2,cheek,6.9932,TRUE
pp406,dyn,828,bin_3,3,trial2,cheek,6.9703,TRUE
pp406,dyn,828,bin_4,4,trial2,cheek,12.1748,TRUE
pp406,dyn,828,bin_5,5,trial2,cheek,11.9586,TRUE
pp406,dyn,828,bin_6,6,trial2,cheek,14.4923,TRUE
pp406,dyn,929,bin_0,0,trial2,cheek,5.5211,TRUE
pp406,dyn,929,bin_1,1,trial2,cheek,6.5437,TRUE
pp406,dyn,929,bin_2,2,trial2,cheek,5.6447,TRUE
pp406,dyn,929,bin_3,3,trial2,cheek,6.7929,TRUE
pp406,dyn,929,bin_4,4,trial2,cheek,5.3759,TRUE
pp406,dyn,929,bin_5,5,trial2,cheek,5.3491,TRUE
pp406,dyn,929,bin_6,6,trial2,cheek,5.19,TRUE
pp406,dyn,929,bin_0,0,trial8,brow,8.5715,TRUE
pp406,dyn,929,bin_1,1,trial8,brow,7.8739,TRUE
pp406,dyn,929,bin_2,2,trial8,brow,7.9458,TRUE
pp406,dyn,929,bin_3,3,trial8,brow,8.3159,TRUE
pp406,dyn,929,bin_4,4,trial8,brow,8.2712,TRUE
