pp_no,condition,emotion,bin,bin_no,trial,muscle,rms,bl_outlier
pp411,dyn,727,bin_2,2,trial1,brow,114.8825,TRUE
pp411,dyn,727,bin_3,3,trial1,brow,63.8177,TRUE
pp411,dyn,727,bin_4,4,trial1,brow,6.5624,TRUE
pp411,dyn,727,bin_5,5,trial1,brow,15.3169,TRUE
pp411,dyn,727,bin_6,6,trial1,brow,4.1253,TRUE
pp411,dyn,727,bin_0,0,trial1,cheek,69.6727,TRUE
pp411,dyn,727,bin_1,1,trial1,cheek,209.775,TRUE
pp411,dyn,727,bin_2,2,trial1,cheek,242.2465,TRUE
pp411,dyn,727,bin_3,3,trial1,cheek,216.4742,TRUE
pp411,dyn,727,bin_4,4,trial1,cheek,20.3509,TRUE
pp411,dyn,727,bin_5,5,trial1,cheek,76.6314,TRUE
pp411,dyn,727,bin_6,6,trial1,cheek,31.202,TRUE
pp411,dyn,828,bin_0,0,trial2,cheek,15.1044,TRUE
pp411,dyn,828,bin_1,1,trial2,cheek,13.1832,TRUE
pp411,dyn,828,bin_2,2,trial2,cheek,8.3675,TRUE
pp411,dyn,828,bin_3,3,trial2,cheek,8.1087,TRUE
pp411,dyn,828,bin_4,4,trial2,cheek,6.1086,TRUE
pp411,dyn,828,bin_5,5,trial2,cheek,20.0213,TRUE
pp411,dyn,828,bin_6,6,trial2,cheek,28.1229,TRUE
pp411,dyn,828,bin_0,0,trial5,brow,6.6322,TRUE
pp411,dyn,828,bin_1,1,trial5,brow,4.1166,TRUE
pp411,dyn,828,bin_2,2,trial5,brow,4.0467,TRUE
pp411,dyn,828,bin_3,3,trial5,brow,3.2244,TRUE
pp411,dyn,828,bin_4,4,trial5,brow,2.8115,TRUE
pp411,dyn,828,bin_5,5,trial5,brow,3.2806,TRUE
pp411,dyn,828,bin_6,6,trial5,brow,4.5279,TRUE
pp411,dyn,929,bin_0,0,trial7,brow,15.4726,TRUE
pp411,dyn,929,bin_1,1,trial7,brow,33.5855,TRUE
pp411,dyn,929,bin_2,2,trial7,brow,8.6917,TRUE
pp411,dyn,929,bin_3,3,trial7,brow,5.8366,TRUE
pp411,dyn,929,bin_4,4,trial7,brow,4.0837,TRUE
pp411,dyn,929,bin_5,5,trial7,brow,4.0068,TRUE
pp411,dyn,929,bin_6,6,trial7,brow,2.8912,TRUE
pp411,dyn,929,bin_0,0,trial7,cheek,93.9924,TRUE
pp411,dyn,929,bin_1,1,trial7,cheek,124.9185,TRUE
pp411,dyn,929,bin_2,2,trial7,cheek,61.3415,TRUE
pp411,dyn,929,bin_3,3,trial7,cheek,32.9186,TRUE
pp411,dyn,929,bin_4,4,trial7,cheek,41.1552,TRUE
pp411,dyn,929,bin_5,5,trial7,cheek,24.5918,TRUE
pp411,dyn,929,bin_6,6,trial7,cheek,18.0885,TRUE
pp412,dyn,626,bin_0,0,trial1,brow,12.3927,TRUE
pp412,dyn,626,bin_1,1,trial1,brow,10.648,TRUE
pp412,dyn,626,bin_2,2,trial1,brow,9.971,TRUE
pp412,dyn,626,bin_3,3,trial1,brow,10.1008,TRUE
pp412,dyn,626,bin_4,4,trial1,brow,8.2219,TRUE
pp412,dyn,626,bin_5,5,trial1,brow,8.6833,TRUE
pp412,dyn,626,bin_6,6,trial1,brow,9.1552,TRUE
pp412,dyn,626,bin_0,0,trial1,cheek,19.6419,TRUE
pp412,dyn,626,bin_1,1,trial1,cheek,3.7804,TRUE
pp412,dyn,626,bin_2,2,trial1,cheek,3.6435,TRUE
pp412,dyn,626,bin_3,3,trial1,cheek,3.4291,TRUE
pp412,dyn,626,bin_4,4,trial1,cheek,10.5749,TRUE
pp412,dyn,626,bin_5,5,trial1,cheek,6.8341,TRUE
pp412,dyn,626,bin_6,6,trial1,cheek,4.61,TRUE
pp412,dyn,727,bin_0,0,trial6,brow,40.427,TRUE
pp412,dyn,727,bin_1,1,trial6,brow,41.7695,TRUE
pp412,dyn,727,bin_2,2,trial6,brow,25.3901,TRUE
pp412,dyn,727,bin_3,3,trial6,brow,16.0636,TRUE
pp412,dyn,727,bin_4,4,trial6,brow,23.1049,TRUE
pp412,dyn,727,bin_5,5,trial6,brow,47.8979,TRUE
pp412,dyn,727,bin_6,6,trial6,brow,21.3177,TRUE
pp412,dyn,727,bin_0,0,trial6,cheek,16.5641,TRUE
pp412,dyn,727,bin_1,1,trial6,cheek,25.4102,TRUE
pp412,dyn,727,bin_2,2,trial6,cheek,14.4788,TRUE
pp412,dyn,727,bin_3,3,trial6,cheek,5.7288,TRUE
pp412,dyn,727,bin_4,4,trial6,cheek,12.9425,TRUE
pp412,dyn,727,bin_5,5,trial6,cheek,19.1885,TRUE
pp412,dyn,727,bin_6,6,trial6,cheek,20.3209,TRUE
pp412,dyn,828,bin_0,0,trial1,cheek,13.3934,TRUE
pp412,dyn,828,bin_1,1,trial1,cheek,12.0508,TRUE
pp412,dyn,828,bin_2,2,trial1,cheek,9.1606,TRUE
pp412,dyn,828,bin_3,3,trial1,cheek,20.6087,TRUE
pp412,dyn,828,bin_4,4,trial1,cheek,4.0578,TRUE
pp412,dyn,828,bin_5,5,trial1,cheek,4.4867,TRUE
pp412,dyn,828,bin_6,6,trial1,cheek,3.9484,TRUE
pp412,dyn,828,bin_0,0,trial8,brow,23.6369,TRUE
pp412,dyn,828,bin_1,1,trial8,brow,15.0878,TRUE
pp412,dyn,828,bin_2,2,trial8,brow,8.7777,TRUE
pp412,dyn,828,bin_3,3,trial8,brow,14.1707,TRUE
pp412,dyn,828,bin_4,4,trial8,brow,18.6224,TRUE
pp412,dyn,828,bin_5,5,trial8,brow,32.4775,TRUE
pp412,dyn,828,bin_6,6,trial8,brow,16.3587,TRUE
pp412,dyn,929,bin_0,0,trial4,cheek,7.0525,TRUE
pp412,dyn,929,bin_1,1,trial4,cheek,5.8099,TRUE
pp412,dyn,929,bin_2,2,trial4,cheek,4.3831,TRUE
pp412,dyn,929,bin_3,3,trial4,cheek,6.9287,TRUE
pp412,dyn,929,bin_4,4,trial4,cheek,6.4567,TRUE
pp412,dyn,929,bin_5,5,trial4,cheek,18.0779,TRUE
pp412,dyn,929,bin_6,6,trial4,cheek,16.0212,TRUE
pp412,dyn,929,bin_0,0,trial6,brow,14.7559,TRUE
pp412,dyn,929,bin_1,1,trial6,brow,23.7667,TRUE
pp412,dyn,929,bin_2,2,trial6,brow,10.8464,TRUE
pp412,dyn,929,bin_3,3,trial6,brow,10.014,TRUE
pp412,dyn,929,bin_4,4,trial6,brow,9.0561,TRUE
pp412,dyn,929,bin_5,5,trial6,brow,8.9018,TRUE
pp412,dyn,929,bin_6,6,trial6,brow,10.2261,TRUE
pp414,dyn,626,bin_0,0,trial1,cheek,18.1494,TRUE
pp414,dyn,626,bin_1,1,trial1,cheek,8.4418,TRUE
pp414,dyn,626,bin_2,2,trial1,cheek,24.3697,TRUE
pp414,dyn,626,bin_3,3,trial1,cheek,8.0514,TRUE
pp414,dyn,626,bin_4,4,trial1,cheek,5.8293,TRUE
pp414,dyn,626,bin_5,5,trial1,cheek,14.2791,TRUE
pp414,dyn,626,bin_6,6,trial1,cheek,10.1592,TRUE
pp414,dyn,626,bin_0,0,trial2,brow,10.1239,TRUE
pp414,dyn,626,bin_1,1,trial2,brow,10.3196,TRUE
pp414,dyn,626,bin_2,2,trial2,brow,9.7638,TRUE
pp414,dyn,626,bin_3,3,trial2,brow,6.7647,TRUE
pp414,dyn,626,bin_4,4,trial2,brow,6.3156,TRUE
pp414,dyn,626,bin_5,5,trial2,brow,6.4328,TRUE
pp414,dyn,626,bin_6,6,trial2,brow,6.4938,TRUE
pp414,dyn,727,bin_0,0,trial8,brow,21.5202,TRUE
pp414,dyn,727,bin_1,1,trial8,brow,22.4848,TRUE
pp414,dyn,727,bin_2,2,trial8,brow,22.1554,TRUE
pp414,dyn,727,bin_3,3,trial8,brow,23.6344,TRUE
pp414,dyn,727,bin_4,4,trial8,brow,23.2006,TRUE
pp414,dyn,727,bin_5,5,trial8,brow,23.5767,TRUE
pp414,dyn,727,bin_6,6,trial8,brow,22.8305,TRUE
pp414,dyn,828,bin_0,0,trial6,brow,21.9944,TRUE
pp414,dyn,828,bin_1,1,trial6,brow,17.9361,TRUE
pp414,dyn,828,bin_2,2,trial6,brow,15.8554,TRUE
pp414,dyn,828,bin_3,3,trial6,brow,15.4314,TRUE
pp414,dyn,828,bin_4,4,trial6,brow,14.3991,TRUE
pp414,dyn,828,bin_5,5,trial6,brow,15.8274,TRUE
pp414,dyn,828,bin_6,6,trial6,brow,17.3031,TRUE
pp414,dyn,828,bin_0,0,trial6,cheek,38.6859,TRUE
pp414,dyn,828,bin_1,1,trial6,cheek,29.746,TRUE
pp414,dyn,828,bin_2,2,trial6,cheek,12.3914,TRUE
pp414,dyn,828,bin_3,3,trial6,cheek,22.22,TRUE
pp414,dyn,828,bin_4,4,trial6,cheek,8.0476,TRUE
pp414,dyn,828,bin_5,5,trial6,cheek,7.28,TRUE
pp414,dyn,828,bin_6,6,trial6,cheek,7.3788,TRUE
pp414,dyn,929,bin_0,0,trial7,cheek,10.3673,TRUE
pp414,dyn,929,bin_1,1,trial7,cheek,4.7277,TRUE
pp414,dyn,929,bin_2,2,trial7,cheek,5.4865,TRUE
pp414,dyn,929,bin_3,3,trial7,cheek,9.55,TRUE
pp414,dyn,929,bin_4,4,trial7,cheek,11.7643,TRUE
pp414,dyn,929,bin_5,5,trial7,cheek,7.0454,TRUE
pp414,dyn,929,bin_6,6,trial7,cheek,6.1583,TRUE
pp415,dyn,626,bin_0,0,trial1,brow,9.9102,TRUE
pp415,dyn,626,bin_1,1,trial1,brow,9.8315,TRUE
pp415,dyn,626,bin_2,2,trial1,brow,7.6911,TRUE
pp415,dyn,626,bin_3,3,trial1,brow,6.2037,TRUE
pp415,dyn,626,bin_4,4,trial1,brow,10.7002,TRUE
pp415,dyn,626,bin_5,5,trial1,brow,22.6397,TRUE
pp415,dyn,626,bin_6,6,trial1,brow,52.3977,TRUE
pp415,dyn,727,bin_0,0,trial1,brow,10.4018,TRUE
pp415,dyn,727,bin_1,1,trial1,brow,9.9373,TRUE
pp415,dyn,727,bin_2,2,trial1,brow,8.8445,TRUE
pp415,dyn,727,bin_3,3,trial1,brow,8.5546,TRUE
pp415,dyn,727,bin_4,4,trial1,brow,11.5062,TRUE
pp415,dyn,727,bin_5,5,trial1,brow,7.1009,TRUE
pp415,dyn,727,bin_6,6,trial1,brow,8.4354,TRUE
pp415,dyn,727,bin_0,0,trial1,cheek,13.5589,TRUE
pp415,dyn,727,bin_1,1,trial1,cheek,9.1013,TRUE
pp415,dyn,727,bin_2,2,trial1,cheek,8.446,TRUE
pp415,dyn,727,bin_3,3,trial1,cheek,6.5115,TRUE
pp415,dyn,727,bin_4,4,trial1,cheek,11.6664,TRUE
pp415,dyn,727,bin_5,5,trial1,cheek,4.3255,TRUE
pp415,dyn,727,bin_6,6,trial1,cheek,5.9009,TRUE
pp415,dyn,828,bin_0,0,trial5,brow,11.6078,TRUE
pp415,dyn,828,bin_1,1,trial5,brow,15.149,TRUE
pp415,dyn,828,bin_2,2,trial5,brow,9.347,TRUE
pp415,dyn,828,bin_3,3,trial5,brow,9.4638,TRUE
pp415,dyn,828,bin_4,4,trial5,brow,9.762,TRUE
pp415,dyn,828,bin_5,5,trial5,brow,9.7405,TRUE
pp415,dyn,828,bin_6,6,trial5,brow,9.0502,TRUE
pp415,dyn,828,bin_0,0,trial6,cheek,6.817,TRUE
pp415,dyn,828,bin_1,1,trial6,cheek,10.6563,TRUE
pp415,dyn,828,bin_2,2,trial6,cheek,26.2053,TRUE
pp415,dyn,828,bin_3,3,trial6,cheek,13.7842,TRUE
pp415,dyn,828,bin_4,4,trial6,cheek,3.9529,TRUE
pp415,dyn,828,bin_5,5,trial6,cheek,5.1846,TRUE
pp415,dyn,828,bin_6,6,trial6,cheek,4.4474,TRUE
pp415,dyn,929,bin_0,0,trial5,brow,10.5034,TRUE
pp415,dyn,929,bin_1,1,trial5,brow,7.387,TRUE
pp415,dyn,929,bin_2,2,trial5,brow,8.1222,TRUE
pp415,dyn,929,bin_3,3,trial5,brow,7.8113,TRUE
pp415,dyn,929,bin_4,4,trial5,brow,7.4011,TRUE
pp415,dyn,929,bin_5,5,trial5,brow,8.0131,TRUE
pp415,dyn,929,bin_6,6,trial5,brow,8.4603,TRUE
pp416,dyn,626,bin_0,0,trial1,cheek,17.2801,TRUE
pp416,dyn,626,bin_1,1,trial1,cheek,12.8981,TRUE
pp416,dyn,626,bin_2,2,trial1,cheek,9.0083,TRUE
pp416,dyn,626,bin_3,3,trial1,cheek,10.589,TRUE
pp416,dyn,626,bin_4,4,trial1,cheek,10.9073,TRUE
pp416,dyn,626,bin_5,5,trial1,cheek,12.432,TRUE
pp416,dyn,626,bin_6,6,trial1,cheek,14.9048,TRUE
pp416,dyn,626,bin_0,0,trial3,brow,25.3833,TRUE
pp416,dyn,626,bin_1,1,trial3,brow,6.0685,TRUE
pp416,dyn,626,bin_2,2,trial3,brow,8.7526,TRUE
pp416,dyn,626,bin_3,3,trial3,brow,11.9138,TRUE
pp416,dyn,626,bin_4,4,trial3,brow,9.268,TRUE
pp416,dyn,626,bin_5,5,trial3,brow,15.7526,TRUE
pp416,dyn,626,bin_6,6,trial3,brow,8.9902,TRUE
pp416,dyn,727,bin_0,0,trial3,cheek,25.8961,TRUE
pp416,dyn,727,bin_1,1,trial3,cheek,20.2281,TRUE
pp416,dyn,727,bin_2,2,trial3,cheek,19.5482,TRUE
pp416,dyn,727,bin_3,3,trial3,cheek,16.0451,TRUE
pp416,dyn,727,bin_4,4,trial3,cheek,17.9935,TRUE
pp416,dyn,727,bin_5,5,trial3,cheek,15.360900000000001,TRUE
pp416,dyn,727,bin_6,6,trial3,cheek,16.3811,TRUE
pp416,dyn,727,bin_0,0,trial5,brow,15.326,TRUE
pp416,dyn,727,bin_1,1,trial5,brow,11.0103,TRUE
pp416,dyn,727,bin_2,2,trial5,brow,8.7745,TRUE
pp416,dyn,727,bin_3,3,trial5,brow,7.424,TRUE
pp416,dyn,727,bin_4,4,trial5,brow,7.9555,TRUE
pp416,dyn,727,bin_5,5,trial5,brow,11.7615,TRUE
pp416,dyn,727,bin_6,6,trial5,brow,8.8562,TRUE
pp416,dyn,828,bin_0,0,trial8,brow,89.0986,TRUE
pp416,dyn,828,bin_1,1,trial8,brow,29.7605,TRUE
pp416,dyn,828,bin_2,2,trial8,brow,112.0079,TRUE
pp416,dyn,828,bin_3,3,trial8,brow,97.8853,TRUE
pp416,dyn,828,bin_4,4,trial8,brow,57.06,TRUE
pp416,dyn,828,bin_5,5,trial8,brow,58.4466,TRUE
pp416,dyn,828,bin_6,6,trial8,brow,128.3657,TRUE
pp416,dyn,828,bin_0,0,trial8,cheek,60.4939,TRUE
pp416,dyn,828,bin_1,1,trial8,cheek,40.8107,TRUE
pp416,dyn,828,bin_2,2,trial8,cheek,99.1166,TRUE
pp416,dyn,828,bin_3,3,trial8,cheek,17.0014,TRUE
pp416,dyn,828,bin_4,4,trial8,cheek,6.277,TRUE
pp416,dyn,828,bin_5,5,trial8,cheek,18.3979,TRUE
pp416,dyn,828,bin_6,6,trial8,cheek,48.6615,TRUE
pp416,dyn,929,bin_0,0,trial4,brow,48.8396,TRUE
pp416,dyn,929,bin_1,1,trial4,brow,75.8707,TRUE
pp416,dyn,929,bin_2,2,trial4,brow,14.3103,TRUE
pp416,dyn,929,bin_3,3,trial4,brow,7.0865,TRUE
pp416,dyn,929,bin_4,4,trial4,brow,10.0831,TRUE
pp416,dyn,929,bin_5,5,trial4,brow,8.5852,TRUE
pp416,dyn,929,bin_6,6,trial4,brow,20.6702,TRUE
pp416,dyn,929,bin_0,0,trial4,cheek,46.3018,TRUE
pp416,dyn,929,bin_1,1,trial4,cheek,43.808,TRUE
pp416,dyn,929,bin_2,2,trial4,cheek,18.5534,TRUE
pp416,dyn,929,bin_3,3,trial4,cheek,9.7484,TRUE
pp416,dyn,929,bin_4,4,trial4,cheek,31.8817,TRUE
pp416,dyn,929,bin_5,5,trial4,cheek,34.4367,TRUE
pp416,dyn,929,bin_6,6,trial4,cheek,36.3172,TRUE
pp417,dyn,626,bin_0,0,trial5,brow,28.9007,TRUE
pp417,dyn,626,bin_1,1,trial5,brow,21.9963,TRUE
pp417,dyn,626,bin_2,2,trial5,brow,7.0808,TRUE
pp417,dyn,626,bin_3,3,trial5,brow,6.1737,TRUE
pp417,dyn,626,bin_4,4,trial5,brow,9.1946,TRUE
pp417,dyn,626,bin_5,5,trial5,brow,10.5833,TRUE
pp417,dyn,626,bin_6,6,trial5,brow,13.1829,TRUE
pp417,dyn,727,bin_0,0,trial3,brow,38.1539,TRUE
pp417,dyn,727,bin_1,1,trial3,brow,19.1323,TRUE
pp417,dyn,727,bin_2,2,trial3,brow,7.121,TRUE
pp417,dyn,727,bin_3,3,trial3,brow,5.5207,TRUE
pp417,dyn,727,bin_4,4,trial3,brow,6.7458,TRUE
pp417,dyn,727,bin_5,5,trial3,brow,6.6905,TRUE
pp417,dyn,727,bin_6,6,trial3,brow,10.0535,TRUE
pp417,dyn,727,bin_0,0,trial4,cheek,4.5564,TRUE
pp417,dyn,727,bin_1,1,trial4,cheek,3.1865,TRUE
pp417,dyn,727,bin_2,2,trial4,cheek,3.357,TRUE
pp417,dyn,727,bin_3,3,trial4,cheek,3.109,TRUE
pp417,dyn,727,bin_4,4,trial4,cheek,2.558,TRUE
pp417,dyn,727,bin_5,5,trial4,cheek,2.7979,TRUE
pp417,dyn,727,bin_6,6,trial4,cheek,2.581,TRUE
pp417,dyn,828,bin_0,0,trial4,cheek,3.1304,TRUE
pp417,dyn,828,bin_1,1,trial4,cheek,3.0867,TRUE
pp417,dyn,828,bin_2,2,trial4,cheek,2.7033,TRUE
pp417,dyn,828,bin_3,3,trial4,cheek,2.6008,TRUE
pp417,dyn,828,bin_4,4,trial4,cheek,2.5896,TRUE
pp417,dyn,828,bin_5,5,trial4,cheek,2.5439,TRUE
pp417,dyn,828,bin_6,6,trial4,cheek,2.4989,TRUE
pp417,dyn,828,bin_0,0,trial7,brow,18.1998,TRUE
pp417,dyn,828,bin_1,1,trial7,brow,16.685,TRUE
pp417,dyn,828,bin_2,2,trial7,brow,10.9215,TRUE
pp417,dyn,828,bin_3,3,trial7,brow,9.3517,TRUE
pp417,dyn,828,bin_4,4,trial7,brow,10.2124,TRUE
pp417,dyn,828,bin_5,5,trial7,brow,14.5475,TRUE
pp417,dyn,828,bin_6,6,trial7,brow,23.1362,TRUE
pp417,dyn,929,bin_0,0,trial3,brow,23.391,TRUE
pp417,dyn,929,bin_1,1,trial3,brow,19.0307,TRUE
pp417,dyn,929,bin_2,2,trial3,brow,26.2013,TRUE
pp417,dyn,929,bin_3,3,trial3,brow,14.5505,TRUE
pp417,dyn,929,bin_4,4,trial3,brow,17.6947,TRUE
pp417,dyn,929,bin_5,5,trial3,brow,15.9838,TRUE
pp417,dyn,929,bin_6,6,trial3,brow,12.4654,TRUE
pp417,dyn,929,bin_0,0,trial4,cheek,4.5846,TRUE
pp417,dyn,929,bin_1,1,trial4,cheek,4.0616,TRUE
pp417,dyn,929,bin_2,2,trial4,cheek,4.683,TRUE
pp417,dyn,929,bin_3,3,trial4,cheek,4.0445,TRUE
pp417,dyn,929,bin_4,4,trial4,cheek,3.5135,TRUE
pp417,dyn,929,bin_5,5,trial4,cheek,3.1431,TRUE
pp417,dyn,929,bin_6,6,trial4,cheek,3.2052,TRUE
pp420,dyn,626,bin_0,0,trial8,brow,4.9872,TRUE
pp420,dyn,626,bin_1,1,trial8,brow,27.2763,TRUE
pp420,dyn,626,bin_2,2,trial8,brow,5.6361,TRUE
pp420,dyn,626,bin_3,3,trial8,brow,3.6789,TRUE
pp420,dyn,626,bin_4,4,trial8,brow,4.5037,TRUE
pp420,dyn,626,bin_5,5,trial8,brow,4.2712,TRUE
pp420,dyn,626,bin_6,6,trial8,brow,4.3601,TRUE
pp420,dyn,626,bin_0,0,trial8,cheek,13.3777,TRUE
pp420,dyn,626,bin_1,1,trial8,cheek,27.4315,TRUE
pp420,dyn,626,bin_2,2,trial8,cheek,16.0842,TRUE
pp420,dyn,626,bin_3,3,trial8,cheek,46.6211,TRUE
pp420,dyn,626,bin_4,4,trial8,cheek,45.0115,TRUE
pp420,dyn,626,bin_5,5,trial8,cheek,39.4561,TRUE
pp420,dyn,626,bin_6,6,trial8,cheek,34.9991,TRUE
pp420,dyn,727,bin_0,0,trial1,cheek,8.0652,TRUE
pp420,dyn,727,bin_1,1,trial1,cheek,7.1245,TRUE
pp420,dyn,727,bin_2,2,trial1,cheek,7.808,TRUE
pp420,dyn,727,bin_3,3,trial1,cheek,4.2446,TRUE
pp420,dyn,727,bin_4,4,trial1,cheek,7.2501,TRUE
pp420,dyn,727,bin_5,5,trial1,cheek,5.1691,TRUE
pp420,dyn,727,bin_6,6,trial1,cheek,4.7058,TRUE
pp420,dyn,727,bin_0,0,trial7,brow,22.3566,TRUE
pp420,dyn,727,bin_1,1,trial7,brow,19.6913,TRUE
pp420,dyn,727,bin_2,2,trial7,brow,21.7079,TRUE
pp420,dyn,727,bin_3,3,trial7,brow,70.0754,TRUE
pp420,dyn,727,bin_4,4,trial7,brow,167.2235,TRUE
pp420,dyn,727,bin_5,5,trial7,brow,165.6378,TRUE
pp420,dyn,727,bin_6,6,trial7,brow,151.1424,TRUE
pp420,dyn,828,bin_0,0,trial1,brow,3.7833,TRUE
pp420,dyn,828,bin_1,1,trial1,brow,4.8072,TRUE
pp420,dyn,828,bin_2,2,trial1,brow,4.0494,TRUE
pp420,dyn,828,bin_3,3,trial1,brow,3.1009,TRUE
pp420,dyn,828,bin_4,4,trial1,brow,2.0158,TRUE
pp420,dyn,828,bin_5,5,trial1,brow,2.3924,TRUE
pp420,dyn,828,bin_6,6,trial1,brow,2.361,TRUE
pp420,dyn,828,bin_0,0,trial3,cheek,33.0328,TRUE
pp420,dyn,828,bin_1,1,trial3,cheek,35.9311,TRUE
pp420,dyn,828,bin_2,2,trial3,cheek,23.3559,TRUE
pp420,dyn,828,bin_3,3,trial3,cheek,13.7291,TRUE
pp420,dyn,828,bin_4,4,trial3,cheek,10.8322,TRUE
pp420,dyn,828,bin_5,5,trial3,cheek,18.0176,TRUE
pp420,dyn,828,bin_6,6,trial3,cheek,20.2921,TRUE
pp420,dyn,929,bin_0,0,trial2,cheek,15.7753,TRUE
pp420,dyn,929,bin_1,1,trial2,cheek,15.3094,TRUE
pp420,dyn,929,bin_2,2,trial2,cheek,4.8994,TRUE
pp420,dyn,929,bin_3,3,trial2,cheek,5.2877,TRUE
pp420,dyn,929,bin_4,4,trial2,cheek,4.9205,TRUE
pp420,dyn,929,bin_5,5,trial2,cheek,4.216,TRUE
pp420,dyn,929,bin_6,6,trial2,cheek,3.9195,TRUE
pp420,dyn,929,bin_0,0,trial7,brow,6.8769,TRUE
pp420,dyn,929,bin_1,1,trial7,brow,4.9796,TRUE
pp420,dyn,929,bin_2,2,trial7,brow,5.9119,TRUE
pp420,dyn,929,bin_3,3,trial7,brow,5.7702,TRUE
pp420,dyn,929,bin_4,4,trial7,brow,3.2073,TRUE
pp420,dyn,929,bin_5,5,trial7,brow,6.2084,TRUE
pp420,dyn,929,bin_6,6,trial7,brow,27.4676,TRUE
pp421,dyn,626,bin_0,0,trial1,brow,7.7856,TRUE
pp421,dyn,626,bin_1,1,trial1,brow,10.2202,TRUE
pp421,dyn,626,bin_2,2,trial1,brow,7.2873,TRUE
pp421,dyn,626,bin_3,3,trial1,brow,7.4439,TRUE
pp421,dyn,626,bin_4,4,trial1,brow,6.679,TRUE
pp421,dyn,626,bin_5,5,trial1,brow,7.2178,TRUE
pp421,dyn,626,bin_6,6,trial1,brow,6.4382,TRUE
pp421,dyn,626,bin_0,0,trial3,cheek,4.6666,TRUE
pp421,dyn,626,bin_1,1,trial3,cheek,2.739,TRUE
pp421,dyn,626,bin_2,2,trial3,cheek,2.6451,TRUE
pp421,dyn,626,bin_3,3,trial3,cheek,2.6117,TRUE
pp421,dyn,626,bin_4,4,trial3,cheek,2.6342,TRUE
pp421,dyn,626,bin_5,5,trial3,cheek,2.6786,TRUE
pp421,dyn,626,bin_6,6,trial3,cheek,2.8301,TRUE
pp421,dyn,727,bin_0,0,trial2,brow,12.0892,TRUE
pp421,dyn,727,bin_1,1,trial2,brow,6.7768,TRUE
pp421,dyn,727,bin_2,2,trial2,brow,6.3311,TRUE
pp421,dyn,727,bin_3,3,trial2,brow,6.1109,TRUE
pp421,dyn,727,bin_4,4,trial2,brow,4.2751,TRUE
pp421,dyn,727,bin_5,5,trial2,brow,4.2822,TRUE
pp421,dyn,727,bin_6,6,trial2,brow,8.292,TRUE
pp421,dyn,727,bin_0,0,trial4,cheek,4.105,TRUE
pp421,dyn,727,bin_1,1,trial4,cheek,23.7868,TRUE
pp421,dyn,727,bin_2,2,trial4,cheek,2.7319,TRUE
pp421,dyn,727,bin_3,3,trial4,cheek,2.8144,TRUE
pp421,dyn,727,bin_4,4,trial4,cheek,7.4325,TRUE
pp421,dyn,727,bin_5,5,trial4,cheek,7.5661,TRUE
pp421,dyn,727,bin_6,6,trial4,cheek,3.8512,TRUE
pp421,dyn,727,bin_0,0,trial5,brow,11.8751,TRUE
pp421,dyn,727,bin_1,1,trial5,brow,18.9212,TRUE
pp421,dyn,727,bin_2,2,trial5,brow,46.5757,TRUE
pp421,dyn,727,bin_3,3,trial5,brow,8.3059,TRUE
pp421,dyn,727,bin_4,4,trial5,brow,7.8677,TRUE
pp421,dyn,727,bin_5,5,trial5,brow,7.017,TRUE
pp421,dyn,727,bin_6,6,trial5,brow,6.0009,TRUE
pp421,dyn,828,bin_0,0,trial3,cheek,3.0157,TRUE
pp421,dyn,828,bin_1,1,trial3,cheek,3.5363,TRUE
pp421,dyn,828,bin_2,2,trial3,cheek,2.8534,TRUE
pp421,dyn,828,bin_3,3,trial3,cheek,2.6516,TRUE
pp421,dyn,828,bin_4,4,trial3,cheek,2.5794,TRUE
pp421,dyn,828,bin_5,5,trial3,cheek,2.6791,TRUE
pp421,dyn,828,bin_6,6,trial3,cheek,2.5393,TRUE
pp421,dyn,929,bin_0,0,trial5,cheek,5.4863,TRUE
pp421,dyn,929,bin_1,1,trial5,cheek,5.8603,TRUE
pp421,dyn,929,bin_2,2,trial5,cheek,10.2656,TRUE
pp421,dyn,929,bin_3,3,trial5,cheek,25.7831,TRUE
pp421,dyn,929,bin_4,4,trial5,cheek,43.7432,TRUE
pp421,dyn,929,bin_5,5,trial5,cheek,43.1708,TRUE
pp421,dyn,929,bin_6,6,trial5,cheek,61.0857,TRUE
pp422,dyn,626,bin_0,0,trial5,cheek,11.661,TRUE
pp422,dyn,626,bin_1,1,trial5,cheek,13.1983,TRUE
pp422,dyn,626,bin_2,2,trial5,cheek,30.6132,TRUE
pp422,dyn,626,bin_3,3,trial5,cheek,21.1848,TRUE
pp422,dyn,626,bin_4,4,trial5,cheek,39.261,TRUE
pp422,dyn,626,bin_5,5,trial5,cheek,50.8043,TRUE
pp422,dyn,626,bin_6,6,trial5,cheek,33.6099,TRUE
pp422,dyn,727,bin_0,0,trial7,cheek,37.4625,TRUE
pp422,dyn,727,bin_1,1,trial7,cheek,7.8167,TRUE
pp422,dyn,727,bin_2,2,trial7,cheek,4.0518,TRUE
pp422,dyn,727,bin_3,3,trial7,cheek,4.2277,TRUE
pp422,dyn,727,bin_4,4,trial7,cheek,3.6345,TRUE
pp422,dyn,727,bin_5,5,trial7,cheek,4.2345,TRUE
pp422,dyn,727,bin_6,6,trial7,cheek,6.192,TRUE
pp422,dyn,828,bin_0,0,trial4,cheek,31.8907,TRUE
