pp_no,model,emotion,trial,muscle,bin,zdiff
pp401,adult,131,trial5,brow,diff_bin6,0.16425297000730496
pp401,adult,131,trial5,brow,diff_bin7,-0.4207972255961349
pp401,adult,131,trial5,brow,diff_bin8,-0.14847413731110848
pp401,adult,131,trial5,brow,diff_bin9,-0.7546832797241374
pp401,adult,131,trial5,cheek,diff_bin1,0.05991739622307632
pp401,adult,131,trial5,cheek,diff_bin10,-0.05096329763761437
pp401,adult,131,trial5,cheek,diff_bin2,-0.05619098992553373
pp401,adult,131,trial5,cheek,diff_bin3,-0.02064268236768174
pp401,adult,131,trial5,cheek,diff_bin4,-0.047759660568863715
pp401,adult,131,trial5,cheek,diff_bin5,0.0061659960319048746
pp401,adult,131,trial5,cheek,diff_bin6,-0.054367999794361854
pp401,adult,131,trial5,cheek,diff_bin7,0.04548092290489883
pp401,adult,131,trial5,cheek,diff_bin8,-0.12078650052933793
pp401,adult,131,trial5,cheek,diff_bin9,-0.029382311525947058
pp401,adult,131,trial6,brow,diff_bin1,NA
pp401,adult,131,trial6,brow,diff_bin10,NA
pp401,adult,131,trial6,brow,diff_bin2,NA
pp401,adult,131,trial6,brow,diff_bin3,NA
pp401,adult,131,trial6,brow,diff_bin4,NA
pp401,adult,131,trial6,brow,diff_bin5,NA
pp401,adult,131,trial6,brow,diff_bin6,NA
pp401,adult,131,trial6,brow,diff_bin7,NA
pp401,adult,131,trial6,brow,diff_bin8,NA
pp401,adult,131,trial6,brow,diff_bin9,NA
pp401,adult,131,trial6,cheek,diff_bin1,-1.742564095973953e-4
pp401,adult,131,trial6,cheek,diff_bin10,0.3030855136465275
pp401,adult,131,trial6,cheek,diff_bin2,-0.11634966425420631
pp401,adult,131,trial6,cheek,diff_bin3,-0.08980907263861546
pp401,adult,131,trial6,cheek,diff_bin4,0.0321167967227049
pp401,adult,131,trial6,cheek,diff_bin5,0.19573016099538249
pp401,adult,131,trial6,cheek,diff_bin6,NA
pp401,adult,131,trial6,cheek,diff_bin7,-0.01570988554215788
pp401,adult,131,trial6,cheek,diff_bin8,0.4308958879165572
pp401,adult,131,trial6,cheek,diff_bin9,0.21862477234862965
pp401,adult,131,trial7,brow,diff_bin1,0.2916532216015259
pp401,adult,131,trial7,brow,diff_bin10,-0.010738962953610584
pp401,adult,131,trial7,brow,diff_bin2,-0.1745666274974061
pp401,adult,131,trial7,brow,diff_bin3,NA
pp401,adult,131,trial7,brow,diff_bin4,-0.1521317642972885
pp401,adult,131,trial7,brow,diff_bin5,-0.06728332432717658
pp401,adult,131,trial7,brow,diff_bin6,-0.1977883058050156
pp401,adult,131,trial7,brow,diff_bin7,-0.376374069932585
pp401,adult,131,trial7,brow,diff_bin8,0.12601800883781583
pp401,adult,131,trial7,brow,diff_bin9,-0.4700263329973404
pp401,adult,131,trial7,cheek,diff_bin1,NA
pp401,adult,131,trial7,cheek,diff_bin10,NA
pp401,adult,131,trial7,cheek,diff_bin2,NA
pp401,adult,131,trial7,cheek,diff_bin3,NA
pp401,adult,131,trial7,cheek,diff_bin4,NA
pp401,adult,131,trial7,cheek,diff_bin5,NA
pp401,adult,131,trial7,cheek,diff_bin6,NA
pp401,adult,131,trial7,cheek,diff_bin7,NA
pp401,adult,131,trial7,cheek,diff_bin8,NA
pp401,adult,131,trial7,cheek,diff_bin9,NA
pp401,adult,131,trial8,brow,diff_bin1,-0.1773736435565676
pp401,adult,131,trial8,brow,diff_bin10,-0.16308337998265404
pp401,adult,131,trial8,brow,diff_bin2,0.6599252224542581
pp401,adult,131,trial8,brow,diff_bin3,0.6215839349188914
pp401,adult,131,trial8,brow,diff_bin4,0.548792904839269
pp401,adult,131,trial8,brow,diff_bin5,0.27629969436883883
pp401,adult,131,trial8,brow,diff_bin6,0.3045825076922094
pp401,adult,131,trial8,brow,diff_bin7,0.3767143143033924
pp401,adult,131,trial8,brow,diff_bin8,0.4269216242706694
pp401,adult,131,trial8,brow,diff_bin9,0.07011160565951384
pp401,adult,131,trial8,cheek,diff_bin1,-0.03584320302024746
pp401,adult,131,trial8,cheek,diff_bin10,0.08429988922750037
pp401,adult,131,trial8,cheek,diff_bin2,0.11854797588297245
pp401,adult,131,trial8,cheek,diff_bin3,0.3145060106447515
pp401,adult,131,trial8,cheek,diff_bin4,0.14484728939296704
pp401,adult,131,trial8,cheek,diff_bin5,NA
pp401,adult,131,trial8,cheek,diff_bin6,-0.020937577830077214
pp401,adult,131,trial8,cheek,diff_bin7,-0.016313080806148517
pp401,adult,131,trial8,cheek,diff_bin8,-0.035347242469855045
pp401,adult,131,trial8,cheek,diff_bin9,-0.008364307660671033
pp401,adult,232,trial1,brow,diff_bin1,0.36199874526596976
pp401,adult,232,trial1,brow,diff_bin10,0.10381706364262858
pp401,adult,232,trial1,brow,diff_bin2,-0.3336946666694232
pp401,adult,232,trial1,brow,diff_bin3,0.5953851183667167
pp401,adult,232,trial1,brow,diff_bin4,0.5774372278066228
pp401,adult,232,trial1,brow,diff_bin5,-0.04880380193769601
pp401,adult,232,trial1,brow,diff_bin6,-0.10071233375901012
pp401,adult,232,trial1,brow,diff_bin7,0.11079207324418164
pp401,adult,232,trial1,brow,diff_bin8,-0.3481550524287405
pp401,adult,232,trial1,brow,diff_bin9,-0.36978183524819014
pp401,adult,232,trial1,cheek,diff_bin1,NA
pp401,adult,232,trial1,cheek,diff_bin10,-0.100411904945652
pp401,adult,232,trial1,cheek,diff_bin2,-0.05329565265837832
pp401,adult,232,trial1,cheek,diff_bin3,-0.04789370396086162
pp401,adult,232,trial1,cheek,diff_bin4,-0.04056153041857469
pp401,adult,232,trial1,cheek,diff_bin5,-0.07722239813000947
pp401,adult,232,trial1,cheek,diff_bin6,-0.08549287541628198
pp401,adult,232,trial1,cheek,diff_bin7,-0.06450168022940561
pp401,adult,232,trial1,cheek,diff_bin8,-0.11386986150224454
pp401,adult,232,trial1,cheek,diff_bin9,-0.07018512005011801
pp401,adult,232,trial3,brow,diff_bin1,0.05898986778874471
pp401,adult,232,trial3,brow,diff_bin10,-0.40797426587132846
pp401,adult,232,trial3,brow,diff_bin2,-0.05373734531440433
pp401,adult,232,trial3,brow,diff_bin3,-0.07308874390407905
pp401,adult,232,trial3,brow,diff_bin4,-0.16346615489981242
pp401,adult,232,trial3,brow,diff_bin5,-0.09597017784088135
pp401,adult,232,trial3,brow,diff_bin6,-0.49199336018759754
pp401,adult,232,trial3,brow,diff_bin7,0.14481651032492826
pp401,adult,232,trial3,brow,diff_bin8,-0.3309089158834374
pp401,adult,232,trial3,brow,diff_bin9,-0.3048376909703151
pp401,adult,232,trial3,cheek,diff_bin1,-0.04194217735615341
pp401,adult,232,trial3,cheek,diff_bin10,-0.18382710778596606
pp401,adult,232,trial3,cheek,diff_bin2,0.10006339212645735
pp401,adult,232,trial3,cheek,diff_bin3,-0.07936709240197642
pp401,adult,232,trial3,cheek,diff_bin4,-0.005040031539122303
pp401,adult,232,trial3,cheek,diff_bin5,0.126751431473246
pp401,adult,232,trial3,cheek,diff_bin6,0.09270440990577081
pp401,adult,232,trial3,cheek,diff_bin7,0.02662101765078967
