pp_no,model,emotion,trial,muscle,bin,zdiff,emo
pp401,adult,131,trial4,cheek,diff_bin7,-0.017680323404527465,Happy
pp401,adult,131,trial4,cheek,diff_bin8,0.45531859393858065,Happy
pp401,adult,131,trial4,cheek,diff_bin9,0.4784410790582242,Happy
pp401,adult,131,trial5,brow,diff_bin1,-0.19379043444802774,Happy
pp401,adult,131,trial5,brow,diff_bin10,-0.1695054924816451,Happy
pp401,adult,131,trial5,brow,diff_bin2,-0.37875578052823716,Happy
pp401,adult,131,trial5,brow,diff_bin3,0.4115680970379823,Happy
pp401,adult,131,trial5,brow,diff_bin4,0.12686861976483438,Happy
pp401,adult,131,trial5,brow,diff_bin5,0.17363095547768545,Happy
pp401,adult,131,trial5,brow,diff_bin6,0.16425297000730496,Happy
pp401,adult,131,trial5,brow,diff_bin7,-0.4207972255961349,Happy
pp401,adult,131,trial5,brow,diff_bin8,-0.14847413731110848,Happy
pp401,adult,131,trial5,brow,diff_bin9,-0.7546832797241374,Happy
pp401,adult,131,trial5,cheek,diff_bin1,0.05991739622307632,Happy
pp401,adult,131,trial5,cheek,diff_bin10,-0.05096329763761437,Happy
pp401,adult,131,trial5,cheek,diff_bin2,-0.05619098992553373,Happy
pp401,adult,131,trial5,cheek,diff_bin3,-0.02064268236768174,Happy
pp401,adult,131,trial5,cheek,diff_bin4,-0.047759660568863715,Happy
pp401,adult,131,trial5,cheek,diff_bin5,0.0061659960319048746,Happy
pp401,adult,131,trial5,cheek,diff_bin6,-0.054367999794361854,Happy
pp401,adult,131,trial5,cheek,diff_bin7,0.04548092290489883,Happy
pp401,adult,131,trial5,cheek,diff_bin8,-0.12078650052933793,Happy
pp401,adult,131,trial5,cheek,diff_bin9,-0.029382311525947058,Happy
pp401,adult,131,trial6,brow,diff_bin1,NA,Happy
pp401,adult,131,trial6,brow,diff_bin10,NA,Happy
pp401,adult,131,trial6,brow,diff_bin2,NA,Happy
pp401,adult,131,trial6,brow,diff_bin3,NA,Happy
pp401,adult,131,trial6,brow,diff_bin4,NA,Happy
pp401,adult,131,trial6,brow,diff_bin5,NA,Happy
pp401,adult,131,trial6,brow,diff_bin6,NA,Happy
pp401,adult,131,trial6,brow,diff_bin7,NA,Happy
pp401,adult,131,trial6,brow,diff_bin8,NA,Happy
pp401,adult,131,trial6,brow,diff_bin9,NA,Happy
pp401,adult,131,trial6,cheek,diff_bin1,-1.742564095973953e-4,Happy
pp401,adult,131,trial6,cheek,diff_bin10,0.3030855136465275,Happy
pp401,adult,131,trial6,cheek,diff_bin2,-0.11634966425420631,Happy
pp401,adult,131,trial6,cheek,diff_bin3,-0.08980907263861546,Happy
pp401,adult,131,trial6,cheek,diff_bin4,0.0321167967227049,Happy
pp401,adult,131,trial6,cheek,diff_bin5,0.19573016099538249,Happy
pp401,adult,131,trial6,cheek,diff_bin6,NA,Happy
pp401,adult,131,trial6,cheek,diff_bin7,-0.01570988554215788,Happy
pp401,adult,131,trial6,cheek,diff_bin8,0.4308958879165572,Happy
pp401,adult,131,trial6,cheek,diff_bin9,0.21862477234862965,Happy
pp401,adult,131,trial7,brow,diff_bin1,0.2916532216015259,Happy
pp401,adult,131,trial7,brow,diff_bin10,-0.010738962953610584,Happy
pp401,adult,131,trial7,brow,diff_bin2,-0.1745666274974061,Happy
pp401,adult,131,trial7,brow,diff_bin3,NA,Happy
pp401,adult,131,trial7,brow,diff_bin4,-0.1521317642972885,Happy
pp401,adult,131,trial7,brow,diff_bin5,-0.06728332432717658,Happy
pp401,adult,131,trial7,brow,diff_bin6,-0.1977883058050156,Happy
pp401,adult,131,trial7,brow,diff_bin7,-0.376374069932585,Happy
pp401,adult,131,trial7,brow,diff_bin8,0.12601800883781583,Happy
pp401,adult,131,trial7,brow,diff_bin9,-0.4700263329973404,Happy
pp401,adult,131,trial7,cheek,diff_bin1,NA,Happy
pp401,adult,131,trial7,cheek,diff_bin10,NA,Happy
pp401,adult,131,trial7,cheek,diff_bin2,NA,Happy
pp401,adult,131,trial7,cheek,diff_bin3,NA,Happy
pp401,adult,131,trial7,cheek,diff_bin4,NA,Happy
pp401,adult,131,trial7,cheek,diff_bin5,NA,Happy
pp401,adult,131,trial7,cheek,diff_bin6,NA,Happy
pp401,adult,131,trial7,cheek,diff_bin7,NA,Happy
pp401,adult,131,trial7,cheek,diff_bin8,NA,Happy
pp401,adult,131,trial7,cheek,diff_bin9,NA,Happy
pp401,adult,131,trial8,brow,diff_bin1,-0.1773736435565676,Happy
pp401,adult,131,trial8,brow,diff_bin10,-0.16308337998265404,Happy
pp401,adult,131,trial8,brow,diff_bin2,0.6599252224542581,Happy
pp401,adult,131,trial8,brow,diff_bin3,0.6215839349188914,Happy
pp401,adult,131,trial8,brow,diff_bin4,0.548792904839269,Happy
pp401,adult,131,trial8,brow,diff_bin5,0.27629969436883883,Happy
pp401,adult,131,trial8,brow,diff_bin6,0.3045825076922094,Happy
pp401,adult,131,trial8,brow,diff_bin7,0.3767143143033924,Happy
pp401,adult,131,trial8,brow,diff_bin8,0.4269216242706694,Happy
pp401,adult,131,trial8,brow,diff_bin9,0.07011160565951384,Happy
pp401,adult,131,trial8,cheek,diff_bin1,-0.03584320302024746,Happy
pp401,adult,131,trial8,cheek,diff_bin10,0.08429988922750037,Happy
pp401,adult,131,trial8,cheek,diff_bin2,0.11854797588297245,Happy
pp401,adult,131,trial8,cheek,diff_bin3,0.3145060106447515,Happy
pp401,adult,131,trial8,cheek,diff_bin4,0.14484728939296704,Happy
pp401,adult,131,trial8,cheek,diff_bin5,NA,Happy
pp401,adult,131,trial8,cheek,diff_bin6,-0.020937577830077214,Happy
pp401,adult,131,trial8,cheek,diff_bin7,-0.016313080806148517,Happy
pp401,adult,131,trial8,cheek,diff_bin8,-0.035347242469855045,Happy
pp401,adult,131,trial8,cheek,diff_bin9,-0.008364307660671033,Happy
pp401,adult,232,trial1,brow,diff_bin1,0.36199874526596976,Angry
pp401,adult,232,trial1,brow,diff_bin10,0.10381706364262858,Angry
pp401,adult,232,trial1,brow,diff_bin2,-0.3336946666694232,Angry
pp401,adult,232,trial1,brow,diff_bin3,0.5953851183667167,Angry
pp401,adult,232,trial1,brow,diff_bin4,0.5774372278066228,Angry
pp401,adult,232,trial1,brow,diff_bin5,-0.04880380193769601,Angry
pp401,adult,232,trial1,brow,diff_bin6,-0.10071233375901012,Angry
pp401,adult,232,trial1,brow,diff_bin7,0.11079207324418164,Angry
pp401,adult,232,trial1,brow,diff_bin8,-0.3481550524287405,Angry
pp401,adult,232,trial1,brow,diff_bin9,-0.36978183524819014,Angry
pp401,adult,232,trial1,cheek,diff_bin1,NA,Angry
pp401,adult,232,trial1,cheek,diff_bin10,-0.100411904945652,Angry
pp401,adult,232,trial1,cheek,diff_bin2,-0.05329565265837832,Angry
pp401,adult,232,trial1,cheek,diff_bin3,-0.04789370396086162,Angry
pp401,adult,232,trial1,cheek,diff_bin4,-0.04056153041857469,Angry
pp401,adult,232,trial1,cheek,diff_bin5,-0.07722239813000947,Angry
pp401,adult,232,trial1,cheek,diff_bin6,-0.08549287541628198,Angry
pp401,adult,232,trial1,cheek,diff_bin7,-0.06450168022940561,Angry
pp401,adult,232,trial1,cheek,diff_bin8,-0.11386986150224454,Angry
pp401,adult,232,trial1,cheek,diff_bin9,-0.07018512005011801,Angry
pp401,adult,232,trial3,brow,diff_bin1,0.05898986778874471,Angry
pp401,adult,232,trial3,brow,diff_bin10,-0.40797426587132846,Angry
pp401,adult,232,trial3,brow,diff_bin2,-0.05373734531440433,Angry
pp401,adult,232,trial3,brow,diff_bin3,-0.07308874390407905,Angry
pp401,adult,232,trial3,brow,diff_bin4,-0.16346615489981242,Angry
pp401,adult,232,trial3,brow,diff_bin5,-0.09597017784088135,Angry
pp401,adult,232,trial3,brow,diff_bin6,-0.49199336018759754,Angry
pp401,adult,232,trial3,brow,diff_bin7,0.14481651032492826,Angry
pp401,adult,232,trial3,brow,diff_bin8,-0.3309089158834374,Angry
pp401,adult,232,trial3,brow,diff_bin9,-0.3048376909703151,Angry
pp401,adult,232,trial3,cheek,diff_bin1,-0.04194217735615341,Angry
pp401,adult,232,trial3,cheek,diff_bin10,-0.18382710778596606,Angry
pp401,adult,232,trial3,cheek,diff_bin2,0.10006339212645735,Angry
pp401,adult,232,trial3,cheek,diff_bin3,-0.07936709240197642,Angry
pp401,adult,232,trial3,cheek,diff_bin4,-0.005040031539122303,Angry
pp401,adult,232,trial3,cheek,diff_bin5,0.126751431473246,Angry
pp401,adult,232,trial3,cheek,diff_bin6,0.09270440990577081,Angry
pp401,adult,232,trial3,cheek,diff_bin7,0.02662101765078967,Angry
pp401,adult,232,trial3,cheek,diff_bin8,0.02765315176917371,Angry
pp401,adult,232,trial3,cheek,diff_bin9,-0.08943375114102131,Angry
pp401,adult,232,trial4,brow,diff_bin1,0.022860168663626834,Angry
pp401,adult,232,trial4,brow,diff_bin10,0.3545558996545562,Angry
pp401,adult,232,trial4,brow,diff_bin2,-0.09171712320578773,Angry
pp401,adult,232,trial4,brow,diff_bin3,0.5664218163017308,Angry
pp401,adult,232,trial4,brow,diff_bin4,0.5176818101835614,Angry
pp401,adult,232,trial4,brow,diff_bin5,0.046251969156640094,Angry
pp401,adult,232,trial4,brow,diff_bin6,0.15959587518187768,Angry
pp401,adult,232,trial4,brow,diff_bin7,0.05405632441203634,Angry
pp401,adult,232,trial4,brow,diff_bin8,-0.1377351743574976,Angry
pp401,adult,232,trial4,brow,diff_bin9,-0.16859108573509984,Angry
pp401,adult,232,trial4,cheek,diff_bin1,0.04542730554809977,Angry
pp401,adult,232,trial4,cheek,diff_bin10,-0.254789679509672,Angry
pp401,adult,232,trial4,cheek,diff_bin2,-0.022143968358058565,Angry
pp401,adult,232,trial4,cheek,diff_bin3,-0.1861996758243295,Angry
pp401,adult,232,trial4,cheek,diff_bin4,0.167031470768625,Angry
pp401,adult,232,trial4,cheek,diff_bin5,-0.3444110913994904,Angry
pp401,adult,232,trial4,cheek,diff_bin6,-0.3283124800205386,Angry
