pp_no,model,emotion,bin,bin_no,trial,muscle,rms,bl_outlier
pp401,child,323,bin_6,6,trial4,brow,10.7518,TRUE
pp401,child,323,bin_7,7,trial4,brow,11.7488,TRUE
pp401,child,323,bin_8,8,trial4,brow,7.5802,TRUE
pp401,child,323,bin_9,9,trial4,brow,9.7045,TRUE
pp401,child,323,bin_10,10,trial4,brow,9.4125,TRUE
pp401,child,323,bin_0,0,trial4,cheek,30.1654,TRUE
pp401,child,323,bin_1,1,trial4,cheek,24.5995,TRUE
pp401,child,323,bin_2,2,trial4,cheek,20.1432,TRUE
pp401,child,323,bin_3,3,trial4,cheek,22.77,TRUE
pp401,child,323,bin_4,4,trial4,cheek,19.9491,TRUE
pp401,child,323,bin_5,5,trial4,cheek,17.812,TRUE
pp401,child,323,bin_6,6,trial4,cheek,21.2118,TRUE
pp401,child,323,bin_7,7,trial4,cheek,15.5498,TRUE
pp401,child,323,bin_8,8,trial4,cheek,14.4569,TRUE
pp401,child,323,bin_9,9,trial4,cheek,14.6483,TRUE
pp401,child,323,bin_10,10,trial4,cheek,16.2671,TRUE
pp401,child,424,bin_0,0,trial2,brow,32.2403,TRUE
pp401,child,424,bin_1,1,trial2,brow,35.7667,TRUE
pp401,child,424,bin_2,2,trial2,brow,9.3959,TRUE
pp401,child,424,bin_3,3,trial2,brow,10.5896,TRUE
pp401,child,424,bin_4,4,trial2,brow,33.8211,TRUE
pp401,child,424,bin_5,5,trial2,brow,45.5443,TRUE
pp401,child,424,bin_6,6,trial2,brow,10.7205,TRUE
pp401,child,424,bin_7,7,trial2,brow,5.2385,TRUE
pp401,child,424,bin_8,8,trial2,brow,5.7355,TRUE
pp401,child,424,bin_9,9,trial2,brow,9.1127,TRUE
pp401,child,424,bin_10,10,trial2,brow,7.2783,TRUE
pp401,child,424,bin_0,0,trial2,cheek,39.6199,TRUE
pp401,child,424,bin_1,1,trial2,cheek,47.753,TRUE
pp401,child,424,bin_2,2,trial2,cheek,39.3442,TRUE
pp401,child,424,bin_3,3,trial2,cheek,36.1091,TRUE
pp401,child,424,bin_4,4,trial2,cheek,37.1083,TRUE
pp401,child,424,bin_5,5,trial2,cheek,25.517,TRUE
pp401,child,424,bin_6,6,trial2,cheek,159.2936,TRUE
pp401,child,424,bin_7,7,trial2,cheek,62.962,TRUE
pp401,child,424,bin_8,8,trial2,cheek,108.2457,TRUE
pp401,child,424,bin_9,9,trial2,cheek,53.458,TRUE
pp401,child,424,bin_10,10,trial2,cheek,28.7316,TRUE
pp401,child,525,bin_0,0,trial1,brow,45.8539,TRUE
pp401,child,525,bin_1,1,trial1,brow,72.8239,TRUE
pp401,child,525,bin_2,2,trial1,brow,84.6202,TRUE
pp401,child,525,bin_3,3,trial1,brow,313.6679,TRUE
pp401,child,525,bin_4,4,trial1,brow,196.9407,TRUE
pp401,child,525,bin_5,5,trial1,brow,133.1435,TRUE
pp401,child,525,bin_6,6,trial1,brow,157.1427,TRUE
pp401,child,525,bin_7,7,trial1,brow,98.9083,TRUE
pp401,child,525,bin_8,8,trial1,brow,218.9199,TRUE
pp401,child,525,bin_9,9,trial1,brow,82.6488,TRUE
pp401,child,525,bin_10,10,trial1,brow,135.0367,TRUE
pp401,child,525,bin_0,0,trial1,cheek,31.8385,TRUE
pp401,child,525,bin_1,1,trial1,cheek,40.3063,TRUE
pp401,child,525,bin_2,2,trial1,cheek,116.9816,TRUE
pp401,child,525,bin_3,3,trial1,cheek,184.1822,TRUE
pp401,child,525,bin_4,4,trial1,cheek,268.4069,TRUE
pp401,child,525,bin_5,5,trial1,cheek,181.8661,TRUE
pp401,child,525,bin_6,6,trial1,cheek,294.7926,TRUE
pp401,child,525,bin_7,7,trial1,cheek,87.5832,TRUE
pp401,child,525,bin_8,8,trial1,cheek,31.0564,TRUE
pp401,child,525,bin_9,9,trial1,cheek,48.1899,TRUE
pp401,child,525,bin_10,10,trial1,cheek,71.7764,TRUE
pp401,adult,535,bin_0,0,trial1,cheek,6.2148,TRUE
pp401,adult,535,bin_1,1,trial1,cheek,6.3045,TRUE
pp401,adult,535,bin_2,2,trial1,cheek,6.4202,TRUE
pp401,adult,535,bin_3,3,trial1,cheek,4.5073,TRUE
pp401,adult,535,bin_4,4,trial1,cheek,3.6296,TRUE
pp401,adult,535,bin_5,5,trial1,cheek,4.0934,TRUE
pp401,adult,535,bin_6,6,trial1,cheek,4.2281,TRUE
pp401,adult,535,bin_7,7,trial1,cheek,5.0547,TRUE
pp401,adult,535,bin_8,8,trial1,cheek,4.4125,TRUE
pp401,adult,535,bin_9,9,trial1,cheek,5.0966,TRUE
pp401,adult,535,bin_10,10,trial1,cheek,4.7653,TRUE
pp402,child,121,bin_0,0,trial3,brow,18.3704,TRUE
pp402,child,121,bin_1,1,trial3,brow,17.8254,TRUE
pp402,child,121,bin_2,2,trial3,brow,14.2652,TRUE
pp402,child,121,bin_3,3,trial3,brow,18.7121,TRUE
pp402,child,121,bin_4,4,trial3,brow,13.1628,TRUE
pp402,child,121,bin_5,5,trial3,brow,13.4159,TRUE
pp402,child,121,bin_6,6,trial3,brow,13.2239,TRUE
pp402,child,121,bin_7,7,trial3,brow,15.2108,TRUE
pp402,child,121,bin_8,8,trial3,brow,15.2242,TRUE
pp402,child,121,bin_9,9,trial3,brow,15.7447,TRUE
pp402,child,121,bin_10,10,trial3,brow,13.0043,TRUE
pp402,child,121,bin_0,0,trial3,cheek,13.4256,TRUE
pp402,child,121,bin_1,1,trial3,cheek,9.0895,TRUE
pp402,child,121,bin_2,2,trial3,cheek,10.1246,TRUE
pp402,child,121,bin_3,3,trial3,cheek,8.6098,TRUE
pp402,child,121,bin_4,4,trial3,cheek,7.277,TRUE
pp402,child,121,bin_5,5,trial3,cheek,12.2039,TRUE
pp402,child,121,bin_6,6,trial3,cheek,10.177,TRUE
pp402,child,121,bin_7,7,trial3,cheek,9.6399,TRUE
pp402,child,121,bin_8,8,trial3,cheek,8.578,TRUE
pp402,child,121,bin_9,9,trial3,cheek,11.4515,TRUE
pp402,child,121,bin_10,10,trial3,cheek,12.7335,TRUE
pp402,adult,131,bin_0,0,trial1,brow,17.9969,TRUE
pp402,adult,131,bin_1,1,trial1,brow,16.4769,TRUE
pp402,adult,131,bin_2,2,trial1,brow,18.2208,TRUE
pp402,adult,131,bin_3,3,trial1,brow,13.8149,TRUE
pp402,adult,131,bin_4,4,trial1,brow,14.6195,TRUE
pp402,adult,131,bin_5,5,trial1,brow,14.7702,TRUE
pp402,adult,131,bin_6,6,trial1,brow,14.2444,TRUE
pp402,adult,131,bin_7,7,trial1,brow,10.5996,TRUE
pp402,adult,131,bin_8,8,trial1,brow,14.3518,TRUE
pp402,adult,131,bin_9,9,trial1,brow,17.9597,TRUE
pp402,adult,131,bin_10,10,trial1,brow,11.7107,TRUE
pp402,adult,131,bin_0,0,trial6,cheek,8.2103,TRUE
pp402,adult,131,bin_1,1,trial6,cheek,5.2007,TRUE
pp402,adult,131,bin_2,2,trial6,cheek,5.6055,TRUE
pp402,adult,131,bin_3,3,trial6,cheek,6.0561,TRUE
pp402,adult,131,bin_4,4,trial6,cheek,6.6171,TRUE
pp402,adult,131,bin_5,5,trial6,cheek,6.4632,TRUE
pp402,adult,131,bin_6,6,trial6,cheek,4.6315,TRUE
pp402,adult,131,bin_7,7,trial6,cheek,5.0017,TRUE
pp402,adult,131,bin_8,8,trial6,cheek,5.6026,TRUE
pp402,adult,131,bin_9,9,trial6,cheek,7.2021,TRUE
pp402,adult,131,bin_10,10,trial6,cheek,5.839,TRUE
pp402,adult,232,bin_0,0,trial7,cheek,10.6428,TRUE
pp402,adult,232,bin_1,1,trial7,cheek,4.8799,TRUE
pp402,adult,232,bin_2,2,trial7,cheek,4.9256,TRUE
pp402,adult,232,bin_3,3,trial7,cheek,4.4316,TRUE
pp402,adult,232,bin_4,4,trial7,cheek,3.9746,TRUE
pp402,adult,232,bin_5,5,trial7,cheek,4.5583,TRUE
pp402,adult,232,bin_6,6,trial7,cheek,3.9292,TRUE
pp402,adult,232,bin_7,7,trial7,cheek,4.2165,TRUE
pp402,adult,232,bin_8,8,trial7,cheek,7.0983,TRUE
pp402,adult,232,bin_9,9,trial7,cheek,8.9391,TRUE
pp402,adult,232,bin_10,10,trial7,cheek,7.0355,TRUE
pp402,child,323,bin_0,0,trial3,cheek,13.6064,TRUE
pp402,child,323,bin_1,1,trial3,cheek,18.527,TRUE
pp402,child,323,bin_2,2,trial3,cheek,20.034300000000002,TRUE
pp402,child,323,bin_3,3,trial3,cheek,19.1132,TRUE
pp402,child,323,bin_4,4,trial3,cheek,14.8858,TRUE
pp402,child,323,bin_5,5,trial3,cheek,19.964,TRUE
pp402,child,323,bin_6,6,trial3,cheek,13.6097,TRUE
pp402,child,323,bin_7,7,trial3,cheek,14.0137,TRUE
pp402,child,323,bin_8,8,trial3,cheek,13.6404,TRUE
pp402,child,323,bin_9,9,trial3,cheek,11.1,TRUE
pp402,child,323,bin_10,10,trial3,cheek,15.5066,TRUE
pp402,child,323,bin_0,0,trial5,brow,39.0512,TRUE
pp402,child,323,bin_1,1,trial5,brow,31.4483,TRUE
pp402,child,323,bin_2,2,trial5,brow,35.8082,TRUE
pp402,child,323,bin_3,3,trial5,brow,32.943,TRUE
pp402,child,323,bin_4,4,trial5,brow,42.7639,TRUE
pp402,child,323,bin_5,5,trial5,brow,32.0643,TRUE
pp402,child,323,bin_6,6,trial5,brow,48.3908,TRUE
pp402,child,323,bin_7,7,trial5,brow,47.3445,TRUE
pp402,child,323,bin_8,8,trial5,brow,41.5026,TRUE
pp402,child,323,bin_9,9,trial5,brow,39.2941,TRUE
pp402,child,323,bin_10,10,trial5,brow,37.9043,TRUE
pp402,child,424,bin_0,0,trial7,cheek,11.6616,TRUE
pp402,child,424,bin_1,1,trial7,cheek,5.638,TRUE
pp402,child,424,bin_2,2,trial7,cheek,5.0053,TRUE
pp402,child,424,bin_3,3,trial7,cheek,6.1478,TRUE
pp402,child,424,bin_4,4,trial7,cheek,6.5555,TRUE
pp402,child,424,bin_5,5,trial7,cheek,6.0937,TRUE
pp402,child,424,bin_6,6,trial7,cheek,4.321,TRUE
pp402,child,424,bin_7,7,trial7,cheek,4.9178,TRUE
pp402,child,424,bin_8,8,trial7,cheek,4.7196,TRUE
pp402,child,424,bin_9,9,trial7,cheek,5.4039,TRUE
pp402,child,424,bin_10,10,trial7,cheek,4.6623,TRUE
pp402,child,424,bin_0,0,trial8,brow,21.0179,TRUE
pp402,child,424,bin_1,1,trial8,brow,20.9116,TRUE
pp402,child,424,bin_2,2,trial8,brow,27.1834,TRUE
pp402,child,424,bin_3,3,trial8,brow,19.4248,TRUE
pp402,child,424,bin_4,4,trial8,brow,20.572,TRUE
pp402,child,424,bin_5,5,trial8,brow,22.9054,TRUE
