pp_no,model,emotion,bin,bin_no,trial,muscle,rms,bl_outlier
pp414,child,323,bin_5,5,trial7,cheek,7.7222,TRUE
pp414,child,323,bin_6,6,trial7,cheek,10.3569,TRUE
pp414,child,323,bin_7,7,trial7,cheek,12.4384,TRUE
pp414,child,323,bin_8,8,trial7,cheek,14.0335,TRUE
pp414,child,323,bin_9,9,trial7,cheek,12.0526,TRUE
pp414,child,323,bin_10,10,trial7,cheek,7.5188,TRUE
pp414,child,424,bin_0,0,trial5,cheek,36.3936,TRUE
pp414,child,424,bin_1,1,trial5,cheek,16.5459,TRUE
pp414,child,424,bin_2,2,trial5,cheek,27.0231,TRUE
pp414,child,424,bin_3,3,trial5,cheek,12.5878,TRUE
pp414,child,424,bin_4,4,trial5,cheek,26.1434,TRUE
pp414,child,424,bin_5,5,trial5,cheek,84.394,TRUE
pp414,child,424,bin_6,6,trial5,cheek,28.6406,TRUE
pp414,child,424,bin_7,7,trial5,cheek,23.0694,TRUE
pp414,child,424,bin_8,8,trial5,cheek,9.5761,TRUE
pp414,child,424,bin_9,9,trial5,cheek,8.5491,TRUE
pp414,child,424,bin_10,10,trial5,cheek,9.2182,TRUE
pp414,child,424,bin_0,0,trial8,brow,20.3321,TRUE
pp414,child,424,bin_1,1,trial8,brow,24.4967,TRUE
pp414,child,424,bin_2,2,trial8,brow,22.6979,TRUE
pp414,child,424,bin_3,3,trial8,brow,20.884,TRUE
pp414,child,424,bin_4,4,trial8,brow,16.8036,TRUE
pp414,child,424,bin_5,5,trial8,brow,18.5124,TRUE
pp414,child,424,bin_6,6,trial8,brow,14.9364,TRUE
pp414,child,424,bin_7,7,trial8,brow,16.5949,TRUE
pp414,child,424,bin_8,8,trial8,brow,17.0031,TRUE
pp414,child,424,bin_9,9,trial8,brow,20.3746,TRUE
pp414,child,424,bin_10,10,trial8,brow,19.5856,TRUE
pp414,adult,434,bin_0,0,trial2,brow,13.2726,TRUE
pp414,adult,434,bin_1,1,trial2,brow,13.0055,TRUE
pp414,adult,434,bin_2,2,trial2,brow,12.6269,TRUE
pp414,adult,434,bin_3,3,trial2,brow,13.8432,TRUE
pp414,adult,434,bin_4,4,trial2,brow,14.1592,TRUE
pp414,adult,434,bin_5,5,trial2,brow,16.5101,TRUE
pp414,adult,434,bin_6,6,trial2,brow,11.9204,TRUE
pp414,adult,434,bin_7,7,trial2,brow,13.9651,TRUE
pp414,adult,434,bin_8,8,trial2,brow,13.7594,TRUE
pp414,adult,434,bin_9,9,trial2,brow,11.9836,TRUE
pp414,adult,434,bin_10,10,trial2,brow,11.5402,TRUE
pp414,adult,434,bin_0,0,trial3,cheek,20.7247,TRUE
pp414,adult,434,bin_1,1,trial3,cheek,16.7084,TRUE
pp414,adult,434,bin_2,2,trial3,cheek,13.09,TRUE
pp414,adult,434,bin_3,3,trial3,cheek,14.8025,TRUE
pp414,adult,434,bin_4,4,trial3,cheek,9.3448,TRUE
pp414,adult,434,bin_5,5,trial3,cheek,10.0792,TRUE
pp414,adult,434,bin_6,6,trial3,cheek,8.3978,TRUE
pp414,adult,434,bin_7,7,trial3,cheek,10.0262,TRUE
pp414,adult,434,bin_8,8,trial3,cheek,9.9926,TRUE
pp414,adult,434,bin_9,9,trial3,cheek,11.2046,TRUE
pp414,adult,434,bin_10,10,trial3,cheek,8.2933,TRUE
pp414,child,525,bin_0,0,trial3,cheek,48.0059,TRUE
pp414,child,525,bin_1,1,trial3,cheek,56.163,TRUE
pp414,child,525,bin_2,2,trial3,cheek,42.1556,TRUE
pp414,child,525,bin_3,3,trial3,cheek,56.0414,TRUE
pp414,child,525,bin_4,4,trial3,cheek,34.5775,TRUE
pp414,child,525,bin_5,5,trial3,cheek,28.2559,TRUE
pp414,child,525,bin_6,6,trial3,cheek,22.2036,TRUE
pp414,child,525,bin_7,7,trial3,cheek,36.0072,TRUE
pp414,child,525,bin_8,8,trial3,cheek,51.8702,TRUE
pp414,child,525,bin_9,9,trial3,cheek,48.3255,TRUE
pp414,child,525,bin_10,10,trial3,cheek,131.5374,TRUE
pp414,adult,535,bin_0,0,trial4,cheek,14.2639,TRUE
pp414,adult,535,bin_1,1,trial4,cheek,12.8176,TRUE
pp414,adult,535,bin_2,2,trial4,cheek,14.3283,TRUE
pp414,adult,535,bin_3,3,trial4,cheek,10.0372,TRUE
pp414,adult,535,bin_4,4,trial4,cheek,10.3584,TRUE
pp414,adult,535,bin_5,5,trial4,cheek,6.692,TRUE
pp414,adult,535,bin_6,6,trial4,cheek,5.7539,TRUE
pp414,adult,535,bin_7,7,trial4,cheek,5.1569,TRUE
pp414,adult,535,bin_8,8,trial4,cheek,5.3906,TRUE
pp414,adult,535,bin_9,9,trial4,cheek,4.0509,TRUE
pp414,adult,535,bin_10,10,trial4,cheek,4.6688,TRUE
pp415,child,121,bin_0,0,trial5,brow,17.3925,TRUE
pp415,child,121,bin_1,1,trial5,brow,9.0037,TRUE
pp415,child,121,bin_2,2,trial5,brow,8.8239,TRUE
pp415,child,121,bin_3,3,trial5,brow,6.8822,TRUE
pp415,child,121,bin_4,4,trial5,brow,9.6951,TRUE
pp415,child,121,bin_5,5,trial5,brow,8.1334,TRUE
pp415,child,121,bin_6,6,trial5,brow,7.5108,TRUE
pp415,child,121,bin_7,7,trial5,brow,7.3059,TRUE
pp415,child,121,bin_8,8,trial5,brow,6.14,TRUE
pp415,child,121,bin_9,9,trial5,brow,7.541,TRUE
pp415,child,121,bin_10,10,trial5,brow,8.0174,TRUE
pp415,child,121,bin_0,0,trial5,cheek,24.2804,TRUE
pp415,child,121,bin_1,1,trial5,cheek,18.9965,TRUE
pp415,child,121,bin_2,2,trial5,cheek,14.273,TRUE
pp415,child,121,bin_3,3,trial5,cheek,8.7529,TRUE
pp415,child,121,bin_4,4,trial5,cheek,12.8158,TRUE
pp415,child,121,bin_5,5,trial5,cheek,10.7732,TRUE
pp415,child,121,bin_6,6,trial5,cheek,5.6481,TRUE
pp415,child,121,bin_7,7,trial5,cheek,8.2309,TRUE
pp415,child,121,bin_8,8,trial5,cheek,4.1342,TRUE
pp415,child,121,bin_9,9,trial5,cheek,4.3216,TRUE
pp415,child,121,bin_10,10,trial5,cheek,5.8448,TRUE
pp415,adult,131,bin_0,0,trial2,cheek,3.8264,TRUE
pp415,adult,131,bin_1,1,trial2,cheek,4.1854,TRUE
pp415,adult,131,bin_2,2,trial2,cheek,2.7905,TRUE
pp415,adult,131,bin_3,3,trial2,cheek,2.875,TRUE
pp415,adult,131,bin_4,4,trial2,cheek,2.9729,TRUE
pp415,adult,131,bin_5,5,trial2,cheek,18.0713,TRUE
pp415,adult,131,bin_6,6,trial2,cheek,9.7301,TRUE
pp415,adult,131,bin_7,7,trial2,cheek,3.0403,TRUE
pp415,adult,131,bin_8,8,trial2,cheek,2.7255,TRUE
pp415,adult,131,bin_9,9,trial2,cheek,8.4999,TRUE
pp415,adult,131,bin_10,10,trial2,cheek,3.7955,TRUE
pp415,adult,232,bin_0,0,trial3,cheek,18.8421,TRUE
pp415,adult,232,bin_1,1,trial3,cheek,25.5904,TRUE
pp415,adult,232,bin_2,2,trial3,cheek,18.0126,TRUE
pp415,adult,232,bin_3,3,trial3,cheek,13.7121,TRUE
pp415,adult,232,bin_4,4,trial3,cheek,13.4187,TRUE
pp415,adult,232,bin_5,5,trial3,cheek,12.0279,TRUE
pp415,adult,232,bin_6,6,trial3,cheek,8.0248,TRUE
pp415,adult,232,bin_7,7,trial3,cheek,5.8459,TRUE
pp415,adult,232,bin_8,8,trial3,cheek,4.4886,TRUE
pp415,adult,232,bin_9,9,trial3,cheek,3.6755,TRUE
pp415,adult,232,bin_10,10,trial3,cheek,3.5049,TRUE
pp415,adult,232,bin_0,0,trial8,brow,18.9001,TRUE
pp415,adult,232,bin_1,1,trial8,brow,19.0044,TRUE
pp415,adult,232,bin_2,2,trial8,brow,13.8241,TRUE
pp415,adult,232,bin_3,3,trial8,brow,16.0104,TRUE
pp415,adult,232,bin_4,4,trial8,brow,18.8397,TRUE
pp415,adult,232,bin_5,5,trial8,brow,16.836,TRUE
pp415,adult,232,bin_6,6,trial8,brow,15.4702,TRUE
pp415,adult,232,bin_7,7,trial8,brow,9.2198,TRUE
pp415,adult,232,bin_8,8,trial8,brow,9.3674,TRUE
pp415,adult,232,bin_9,9,trial8,brow,11.4963,TRUE
pp415,adult,232,bin_10,10,trial8,brow,13.5318,TRUE
pp415,child,323,bin_0,0,trial4,cheek,5.8502,TRUE
pp415,child,323,bin_1,1,trial4,cheek,4.9682,TRUE
pp415,child,323,bin_2,2,trial4,cheek,5.1726,TRUE
pp415,child,323,bin_3,3,trial4,cheek,6.2256,TRUE
pp415,child,323,bin_4,4,trial4,cheek,5.6798,TRUE
pp415,child,323,bin_5,5,trial4,cheek,17.4407,TRUE
pp415,child,323,bin_6,6,trial4,cheek,12.5189,TRUE
pp415,child,323,bin_7,7,trial4,cheek,3.7102,TRUE
pp415,child,323,bin_8,8,trial4,cheek,3.681,TRUE
pp415,child,323,bin_9,9,trial4,cheek,4.3398,TRUE
pp415,child,323,bin_10,10,trial4,cheek,3.0281,TRUE
pp415,child,424,bin_0,0,trial4,brow,12.2456,TRUE
pp415,child,424,bin_1,1,trial4,brow,8.1917,TRUE
pp415,child,424,bin_2,2,trial4,brow,7.593,TRUE
pp415,child,424,bin_3,3,trial4,brow,9.2274,TRUE
pp415,child,424,bin_4,4,trial4,brow,10.0078,TRUE
pp415,child,424,bin_5,5,trial4,brow,10.2571,TRUE
pp415,child,424,bin_6,6,trial4,brow,9.3128,TRUE
pp415,child,424,bin_7,7,trial4,brow,7.7107,TRUE
pp415,child,424,bin_8,8,trial4,brow,10.775,TRUE
pp415,child,424,bin_9,9,trial4,brow,9.6778,TRUE
pp415,child,424,bin_10,10,trial4,brow,9.9567,TRUE
pp415,adult,434,bin_0,0,trial5,brow,21.3641,TRUE
pp415,adult,434,bin_1,1,trial5,brow,19.0855,TRUE
pp415,adult,434,bin_2,2,trial5,brow,22.7006,TRUE
pp415,adult,434,bin_3,3,trial5,brow,27.6331,TRUE
pp415,adult,434,bin_4,4,trial5,brow,27.9732,TRUE
pp415,adult,434,bin_5,5,trial5,brow,21.6637,TRUE
pp415,adult,434,bin_6,6,trial5,brow,32.5606,TRUE
pp415,adult,434,bin_7,7,trial5,brow,33.154,TRUE
pp415,adult,434,bin_8,8,trial5,brow,24.7207,TRUE
pp415,adult,434,bin_9,9,trial5,brow,27.108,TRUE
pp415,adult,434,bin_10,10,trial5,brow,43.5638,TRUE
pp415,adult,434,bin_0,0,trial6,cheek,3.9935,TRUE
pp415,adult,434,bin_1,1,trial6,cheek,3.5011,TRUE
pp415,adult,434,bin_2,2,trial6,cheek,5.6126,TRUE
pp415,adult,434,bin_3,3,trial6,cheek,5.0167,TRUE
pp415,adult,434,bin_4,4,trial6,cheek,3.5607,TRUE
pp415,adult,434,bin_5,5,trial6,cheek,3.2085,TRUE
pp415,adult,434,bin_6,6,trial6,cheek,2.7432,TRUE
pp415,adult,434,bin_7,7,trial6,cheek,3.2173,TRUE
pp415,adult,434,bin_8,8,trial6,cheek,4.4109,TRUE
pp415,adult,434,bin_9,9,trial6,cheek,4.4372,TRUE
pp415,adult,434,bin_10,10,trial6,cheek,2.7562,TRUE
pp415,child,525,bin_0,0,trial4,brow,9.4679,TRUE
pp415,child,525,bin_1,1,trial4,brow,7.4787,TRUE
pp415,child,525,bin_2,2,trial4,brow,8.7803,TRUE
pp415,child,525,bin_3,3,trial4,brow,8.0993,TRUE
pp415,child,525,bin_4,4,trial4,brow,10.7685,TRUE
pp415,child,525,bin_5,5,trial4,brow,8.6803,TRUE
pp415,child,525,bin_6,6,trial4,brow,8.3585,TRUE
pp415,child,525,bin_7,7,trial4,brow,16.5175,TRUE
pp415,child,525,bin_8,8,trial4,brow,10.8026,TRUE
pp415,child,525,bin_9,9,trial4,brow,7.8475,TRUE
pp415,child,525,bin_10,10,trial4,brow,6.7582,TRUE
pp415,child,525,bin_0,0,trial4,cheek,11.4365,TRUE
pp415,child,525,bin_1,1,trial4,cheek,9.7095,TRUE
pp415,child,525,bin_2,2,trial4,cheek,10.6034,TRUE
pp415,child,525,bin_3,3,trial4,cheek,10.1835,TRUE
pp415,child,525,bin_4,4,trial4,cheek,13.2098,TRUE
pp415,child,525,bin_5,5,trial4,cheek,8.4376,TRUE
pp415,child,525,bin_6,6,trial4,cheek,20.3118,TRUE
pp415,child,525,bin_7,7,trial4,cheek,63.9534,TRUE
pp415,child,525,bin_8,8,trial4,cheek,11.7665,TRUE
pp415,child,525,bin_9,9,trial4,cheek,12.0376,TRUE
pp415,child,525,bin_10,10,trial4,cheek,14.575,TRUE
pp415,adult,535,bin_0,0,trial8,cheek,5.797,TRUE
pp415,adult,535,bin_1,1,trial8,cheek,2.4262,TRUE
pp415,adult,535,bin_2,2,trial8,cheek,13.2199,TRUE
pp415,adult,535,bin_3,3,trial8,cheek,22.2363,TRUE
pp415,adult,535,bin_4,4,trial8,cheek,9.7584,TRUE
pp415,adult,535,bin_5,5,trial8,cheek,3.8869,TRUE
pp415,adult,535,bin_6,6,trial8,cheek,2.6884,TRUE
pp415,adult,535,bin_7,7,trial8,cheek,2.8192,TRUE
pp415,adult,535,bin_8,8,trial8,cheek,2.3644,TRUE
pp415,adult,535,bin_9,9,trial8,cheek,3.7427,TRUE
pp415,adult,535,bin_10,10,trial8,cheek,3.7427,TRUE
pp416,child,121,bin_0,0,trial8,brow,129.8473,TRUE
pp416,child,121,bin_1,1,trial8,brow,164.2822,TRUE
pp416,child,121,bin_2,2,trial8,brow,169.278,TRUE
pp416,child,121,bin_3,3,trial8,brow,190.5423,TRUE
pp416,child,121,bin_4,4,trial8,brow,78.9097,TRUE
pp416,child,121,bin_5,5,trial8,brow,44.2663,TRUE
pp416,child,121,bin_6,6,trial8,brow,29.9818,TRUE
pp416,child,121,bin_7,7,trial8,brow,17.6682,TRUE
pp416,child,121,bin_8,8,trial8,brow,18.1722,TRUE
pp416,child,121,bin_9,9,trial8,brow,29.7733,TRUE
pp416,child,121,bin_10,10,trial8,brow,27.7828,TRUE
pp416,child,121,bin_0,0,trial8,cheek,91.776,TRUE
pp416,child,121,bin_1,1,trial8,cheek,160.0313,TRUE
pp416,child,121,bin_2,2,trial8,cheek,57.5538,TRUE
pp416,child,121,bin_3,3,trial8,cheek,98.7896,TRUE
pp416,child,121,bin_4,4,trial8,cheek,43.4074,TRUE
pp416,child,121,bin_5,5,trial8,cheek,74.9933,TRUE
pp416,child,121,bin_6,6,trial8,cheek,16.6007,TRUE
pp416,child,121,bin_7,7,trial8,cheek,17.6288,TRUE
pp416,child,121,bin_8,8,trial8,cheek,14.2778,TRUE
pp416,child,121,bin_9,9,trial8,cheek,22.196,TRUE
pp416,child,121,bin_10,10,trial8,cheek,11.6188,TRUE
pp416,adult,131,bin_0,0,trial3,cheek,17.5018,TRUE
pp416,adult,131,bin_1,1,trial3,cheek,65.7897,TRUE
pp416,adult,131,bin_2,2,trial3,cheek,43.502,TRUE
pp416,adult,131,bin_3,3,trial3,cheek,24.7139,TRUE
pp416,adult,131,bin_4,4,trial3,cheek,23.8397,TRUE
pp416,adult,131,bin_5,5,trial3,cheek,31.0192,TRUE
pp416,adult,131,bin_6,6,trial3,cheek,23.0795,TRUE
pp416,adult,131,bin_7,7,trial3,cheek,16.768,TRUE
pp416,adult,131,bin_8,8,trial3,cheek,17.0585,TRUE
pp416,adult,131,bin_9,9,trial3,cheek,16.3839,TRUE
pp416,adult,131,bin_10,10,trial3,cheek,11.215,TRUE
pp416,adult,131,bin_0,0,trial6,brow,28.0653,TRUE
pp416,adult,131,bin_1,1,trial6,brow,27.0529,TRUE
pp416,adult,131,bin_2,2,trial6,brow,18.8684,TRUE
pp416,adult,131,bin_3,3,trial6,brow,23.1607,TRUE
pp416,adult,131,bin_4,4,trial6,brow,10.1193,TRUE
pp416,adult,131,bin_5,5,trial6,brow,14.8767,TRUE
pp416,adult,131,bin_6,6,trial6,brow,21.9213,TRUE
pp416,adult,131,bin_7,7,trial6,brow,17.3021,TRUE
pp416,adult,131,bin_8,8,trial6,brow,14.5409,TRUE
pp416,adult,131,bin_9,9,trial6,brow,34.3766,TRUE
pp416,adult,131,bin_10,10,trial6,brow,34.6316,TRUE
pp416,adult,232,bin_0,0,trial3,brow,61.1077,TRUE
pp416,adult,232,bin_1,1,trial3,brow,59.1926,TRUE
pp416,adult,232,bin_2,2,trial3,brow,52.435,TRUE
pp416,adult,232,bin_3,3,trial3,brow,66.0528,TRUE
pp416,adult,232,bin_4,4,trial3,brow,89.7205,TRUE
pp416,adult,232,bin_5,5,trial3,brow,84.9868,TRUE
pp416,adult,232,bin_6,6,trial3,brow,26.6559,TRUE
pp416,adult,232,bin_7,7,trial3,brow,48.452,TRUE
pp416,adult,232,bin_8,8,trial3,brow,71.1053,TRUE
pp416,adult,232,bin_9,9,trial3,brow,183.5608,TRUE
pp416,adult,232,bin_10,10,trial3,brow,147.3308,TRUE
pp416,adult,232,bin_0,0,trial3,cheek,20.1082,TRUE
pp416,adult,232,bin_1,1,trial3,cheek,60.2638,TRUE
pp416,adult,232,bin_2,2,trial3,cheek,22.217,TRUE
pp416,adult,232,bin_3,3,trial3,cheek,15.394,TRUE
pp416,adult,232,bin_4,4,trial3,cheek,50.3212,TRUE
pp416,adult,232,bin_5,5,trial3,cheek,26.5312,TRUE
pp416,adult,232,bin_6,6,trial3,cheek,12.0692,TRUE
pp416,adult,232,bin_7,7,trial3,cheek,48.4923,TRUE
pp416,adult,232,bin_8,8,trial3,cheek,39.3774,TRUE
pp416,adult,232,bin_9,9,trial3,cheek,64.3736,TRUE
pp416,adult,232,bin_10,10,trial3,cheek,117.6755,TRUE
pp416,child,323,bin_0,0,trial1,brow,45.0546,TRUE
pp416,child,323,bin_1,1,trial1,brow,55.0826,TRUE
pp416,child,323,bin_2,2,trial1,brow,21.2725,TRUE
pp416,child,323,bin_3,3,trial1,brow,32.3703,TRUE
pp416,child,323,bin_4,4,trial1,brow,32.6746,TRUE
pp416,child,323,bin_5,5,trial1,brow,25.1136,TRUE
pp416,child,323,bin_6,6,trial1,brow,26.1719,TRUE
pp416,child,323,bin_7,7,trial1,brow,18.5375,TRUE
pp416,child,323,bin_8,8,trial1,brow,37.3362,TRUE
pp416,child,323,bin_9,9,trial1,brow,44.9157,TRUE
pp416,child,323,bin_10,10,trial1,brow,53.5922,TRUE
pp416,child,323,bin_0,0,trial5,cheek,20.9562,TRUE
pp416,child,323,bin_1,1,trial5,cheek,16.0388,TRUE
pp416,child,323,bin_2,2,trial5,cheek,15.2514,TRUE
pp416,child,323,bin_3,3,trial5,cheek,10.2865,TRUE
pp416,child,323,bin_4,4,trial5,cheek,14.3599,TRUE
pp416,child,323,bin_5,5,trial5,cheek,10.325,TRUE
pp416,child,323,bin_6,6,trial5,cheek,10.4906,TRUE
pp416,child,323,bin_7,7,trial5,cheek,12.1146,TRUE
pp416,child,323,bin_8,8,trial5,cheek,6.8258,TRUE
pp416,child,323,bin_9,9,trial5,cheek,11.1241,TRUE
pp416,child,323,bin_10,10,trial5,cheek,8.941,TRUE
pp416,child,424,bin_0,0,trial3,brow,33.0681,TRUE
pp416,child,424,bin_1,1,trial3,brow,18.1095,TRUE
pp416,child,424,bin_2,2,trial3,brow,24.4084,TRUE
pp416,child,424,bin_3,3,trial3,brow,42.9358,TRUE
pp416,child,424,bin_4,4,trial3,brow,46.7372,TRUE
pp416,child,424,bin_5,5,trial3,brow,44.5175,TRUE
pp416,child,424,bin_6,6,trial3,brow,34.4561,TRUE
pp416,child,424,bin_7,7,trial3,brow,25.9809,TRUE
pp416,child,424,bin_8,8,trial3,brow,12.1488,TRUE
pp416,child,424,bin_9,9,trial3,brow,23.8652,TRUE
pp416,child,424,bin_10,10,trial3,brow,63.682,TRUE
pp416,child,424,bin_0,0,trial6,cheek,12.5524,TRUE
pp416,child,424,bin_1,1,trial6,cheek,35.8367,TRUE
pp416,child,424,bin_2,2,trial6,cheek,31.7054,TRUE
pp416,child,424,bin_3,3,trial6,cheek,21.8225,TRUE
pp416,child,424,bin_4,4,trial6,cheek,30.0756,TRUE
pp416,child,424,bin_5,5,trial6,cheek,39.7538,TRUE
pp416,child,424,bin_6,6,trial6,cheek,40.6942,TRUE
pp416,child,424,bin_7,7,trial6,cheek,152.3281,TRUE
pp416,child,424,bin_8,8,trial6,cheek,83.648,TRUE
pp416,child,424,bin_9,9,trial6,cheek,40.3819,TRUE
pp416,child,424,bin_10,10,trial6,cheek,27.0254,TRUE
pp416,adult,434,bin_0,0,trial2,cheek,15.0317,TRUE
pp416,adult,434,bin_1,1,trial2,cheek,4.682,TRUE
pp416,adult,434,bin_2,2,trial2,cheek,4.6517,TRUE
pp416,adult,434,bin_3,3,trial2,cheek,4.6392,TRUE
pp416,adult,434,bin_4,4,trial2,cheek,3.8809,TRUE
pp416,adult,434,bin_5,5,trial2,cheek,5.0532,TRUE
pp416,adult,434,bin_6,6,trial2,cheek,4.1635,TRUE
pp416,adult,434,bin_7,7,trial2,cheek,3.7349,TRUE
pp416,adult,434,bin_8,8,trial2,cheek,4.3713,TRUE
pp416,adult,434,bin_9,9,trial2,cheek,3.535,TRUE
pp416,adult,434,bin_10,10,trial2,cheek,3.3613,TRUE
pp416,child,525,bin_0,0,trial2,brow,63.197,TRUE
pp416,child,525,bin_1,1,trial2,brow,78.0295,TRUE
pp416,child,525,bin_2,2,trial2,brow,43.3328,TRUE
pp416,child,525,bin_3,3,trial2,brow,20.6758,TRUE
pp416,child,525,bin_4,4,trial2,brow,11.5448,TRUE
pp416,child,525,bin_5,5,trial2,brow,13.7887,TRUE
pp416,child,525,bin_6,6,trial2,brow,13.4261,TRUE
pp416,child,525,bin_7,7,trial2,brow,61.4362,TRUE
pp416,child,525,bin_8,8,trial2,brow,46.9081,TRUE
pp416,child,525,bin_9,9,trial2,brow,26.3567,TRUE
pp416,child,525,bin_10,10,trial2,brow,31.5327,TRUE
pp416,child,525,bin_0,0,trial5,cheek,23.9802,TRUE
pp416,child,525,bin_1,1,trial5,cheek,20.9056,TRUE
pp416,child,525,bin_2,2,trial5,cheek,20.258,TRUE
pp416,child,525,bin_3,3,trial5,cheek,12.2749,TRUE
pp416,child,525,bin_4,4,trial5,cheek,8.4815,TRUE
pp416,child,525,bin_5,5,trial5,cheek,10.2298,TRUE
pp416,child,525,bin_6,6,trial5,cheek,16.1744,TRUE
pp416,child,525,bin_7,7,trial5,cheek,21.7249,TRUE
pp416,child,525,bin_8,8,trial5,cheek,11.453,TRUE
pp416,child,525,bin_9,9,trial5,cheek,11.2204,TRUE
pp416,child,525,bin_10,10,trial5,cheek,16.7378,TRUE
pp416,adult,535,bin_0,0,trial2,brow,22.5018,TRUE
pp416,adult,535,bin_1,1,trial2,brow,60.2659,TRUE
pp416,adult,535,bin_2,2,trial2,brow,34.3478,TRUE
pp416,adult,535,bin_3,3,trial2,brow,24.4186,TRUE
pp416,adult,535,bin_4,4,trial2,brow,21.1915,TRUE
pp416,adult,535,bin_5,5,trial2,brow,16.2263,TRUE
pp416,adult,535,bin_6,6,trial2,brow,25.661,TRUE
pp416,adult,535,bin_7,7,trial2,brow,32.7433,TRUE
pp416,adult,535,bin_8,8,trial2,brow,29.0878,TRUE
pp416,adult,535,bin_9,9,trial2,brow,22.4412,TRUE
pp416,adult,535,bin_10,10,trial2,brow,17.5176,TRUE
pp416,adult,535,bin_0,0,trial2,cheek,9.4217,TRUE
pp416,adult,535,bin_1,1,trial2,cheek,48.4826,TRUE
pp416,adult,535,bin_2,2,trial2,cheek,34.5206,TRUE
pp416,adult,535,bin_3,3,trial2,cheek,22.6687,TRUE
pp416,adult,535,bin_4,4,trial2,cheek,26.3527,TRUE
pp416,adult,535,bin_5,5,trial2,cheek,16.5708,TRUE
pp416,adult,535,bin_6,6,trial2,cheek,48.6237,TRUE
pp416,adult,535,bin_7,7,trial2,cheek,15.5191,TRUE
pp416,adult,535,bin_8,8,trial2,cheek,11.3945,TRUE
pp416,adult,535,bin_9,9,trial2,cheek,6.9338,TRUE
pp416,adult,535,bin_10,10,trial2,cheek,6.9013,TRUE
pp417,child,121,bin_0,0,trial5,cheek,3.5349,TRUE
pp417,child,121,bin_1,1,trial5,cheek,2.8211,TRUE
pp417,child,121,bin_2,2,trial5,cheek,3.063,TRUE
pp417,child,121,bin_3,3,trial5,cheek,3.1011,TRUE
pp417,child,121,bin_4,4,trial5,cheek,2.6362,TRUE
pp417,child,121,bin_5,5,trial5,cheek,2.4241,TRUE
pp417,child,121,bin_6,6,trial5,cheek,3.8911,TRUE
pp417,child,121,bin_7,7,trial5,cheek,3.3427,TRUE
pp417,child,121,bin_8,8,trial5,cheek,2.6113,TRUE
pp417,child,121,bin_9,9,trial5,cheek,5.0709,TRUE
pp417,child,121,bin_10,10,trial5,cheek,4.1376,TRUE
pp417,adult,131,bin_0,0,trial1,brow,18.9858,TRUE
pp417,adult,131,bin_1,1,trial1,brow,10.7966,TRUE
pp417,adult,131,bin_2,2,trial1,brow,12.3832,TRUE
pp417,adult,131,bin_3,3,trial1,brow,10.4067,TRUE
pp417,adult,131,bin_4,4,trial1,brow,8.8651,TRUE
pp417,adult,131,bin_5,5,trial1,brow,14.387,TRUE
pp417,adult,131,bin_6,6,trial1,brow,12.6839,TRUE
pp417,adult,131,bin_7,7,trial1,brow,19.8965,TRUE
pp417,adult,131,bin_8,8,trial1,brow,10.8827,TRUE
pp417,adult,131,bin_9,9,trial1,brow,21.349,TRUE
pp417,adult,131,bin_10,10,trial1,brow,16.4505,TRUE
pp417,adult,131,bin_0,0,trial2,cheek,3.1636,TRUE
pp417,adult,131,bin_1,1,trial2,cheek,2.7769,TRUE
pp417,adult,131,bin_2,2,trial2,cheek,2.8325,TRUE
pp417,adult,131,bin_3,3,trial2,cheek,2.3077,TRUE
pp417,adult,131,bin_4,4,trial2,cheek,2.4901,TRUE
pp417,adult,131,bin_5,5,trial2,cheek,2.3095,TRUE
pp417,adult,131,bin_6,6,trial2,cheek,2.3126,TRUE
pp417,adult,131,bin_7,7,trial2,cheek,2.6616,TRUE
pp417,adult,131,bin_8,8,trial2,cheek,2.8213,TRUE
pp417,adult,131,bin_9,9,trial2,cheek,2.5091,TRUE
pp417,adult,131,bin_10,10,trial2,cheek,2.4661,TRUE
pp417,adult,232,bin_0,0,trial6,cheek,3.9024,TRUE
pp417,adult,232,bin_1,1,trial6,cheek,2.9211,TRUE
pp417,adult,232,bin_2,2,trial6,cheek,3.5405,TRUE
pp417,adult,232,bin_3,3,trial6,cheek,3.0594,TRUE
pp417,adult,232,bin_4,4,trial6,cheek,3.3917,TRUE
pp417,adult,232,bin_5,5,trial6,cheek,3.0032,TRUE
pp417,adult,232,bin_6,6,trial6,cheek,3.3888,TRUE
pp417,adult,232,bin_7,7,trial6,cheek,3.5266,TRUE
pp417,adult,232,bin_8,8,trial6,cheek,3.1791,TRUE
pp417,adult,232,bin_9,9,trial6,cheek,2.7487,TRUE
pp417,adult,232,bin_10,10,trial6,cheek,3.152,TRUE
pp417,child,323,bin_0,0,trial1,brow,42.6272,TRUE
pp417,child,323,bin_1,1,trial1,brow,22.0505,TRUE
pp417,child,323,bin_2,2,trial1,brow,25.6595,TRUE
pp417,child,323,bin_3,3,trial1,brow,22.2512,TRUE
pp417,child,323,bin_4,4,trial1,brow,19.916,TRUE
pp417,child,323,bin_5,5,trial1,brow,17.8477,TRUE
pp417,child,323,bin_6,6,trial1,brow,15.6992,TRUE
pp417,child,323,bin_7,7,trial1,brow,28.195,TRUE
pp417,child,323,bin_8,8,trial1,brow,19.3652,TRUE
pp417,child,323,bin_9,9,trial1,brow,38.3775,TRUE
