file_name,bin,bin_no,trial,muscle,rms
pp547_429.xlsx,bin_0,0,trial1,brow,12.8057
pp547_429.xlsx,bin_1,1,trial1,brow,12.9737
pp547_429.xlsx,bin_2,2,trial1,brow,17.2232
pp547_429.xlsx,bin_3,3,trial1,brow,14.2211
pp547_429.xlsx,bin_4,4,trial1,brow,12.9629
pp547_429.xlsx,bin_5,5,trial1,brow,16.1952
pp547_429.xlsx,bin_6,6,trial1,brow,12.7124
pp547_429.xlsx,bin_7,7,trial1,brow,9.3597
pp547_429.xlsx,bin_8,8,trial1,brow,46.1775
pp547_429.xlsx,bin_9,9,trial1,brow,40.3496
pp547_429.xlsx,bin_10,10,trial1,brow,41.5486
pp547_429.xlsx,bin_11,11,trial1,brow,41.8363
pp547_429.xlsx,bin_12,12,trial1,brow,36.6292
pp547_429.xlsx,bin_13,13,trial1,brow,18.8408
pp547_429.xlsx,bin_14,14,trial1,brow,11.7806
pp547_429.xlsx,bin_15,15,trial1,brow,6.3289
pp547_429.xlsx,bin_16,16,trial1,brow,5.5087
pp547_429.xlsx,bin_17,17,trial1,brow,7.3359
pp547_429.xlsx,bin_18,18,trial1,brow,9.1626
pp547_429.xlsx,bin_19,19,trial1,brow,21.6661
pp547_429.xlsx,bin_20,20,trial1,brow,6.4695
pp547_429.xlsx,bin_0,0,trial2,brow,9.1258
pp547_429.xlsx,bin_1,1,trial2,brow,8.9111
pp547_429.xlsx,bin_2,2,trial2,brow,6.6229
pp547_429.xlsx,bin_3,3,trial2,brow,8.262
pp547_429.xlsx,bin_4,4,trial2,brow,8.9771
pp547_429.xlsx,bin_5,5,trial2,brow,8.2614
pp547_429.xlsx,bin_6,6,trial2,brow,7.4535
pp547_429.xlsx,bin_7,7,trial2,brow,26.783
pp547_429.xlsx,bin_8,8,trial2,brow,60.4159
pp547_429.xlsx,bin_9,9,trial2,brow,36.4801
pp547_429.xlsx,bin_10,10,trial2,brow,43.2577
pp547_429.xlsx,bin_11,11,trial2,brow,63.6792
pp547_429.xlsx,bin_12,12,trial2,brow,44.625
pp547_429.xlsx,bin_13,13,trial2,brow,38.79
pp547_429.xlsx,bin_14,14,trial2,brow,52.1525
pp547_429.xlsx,bin_15,15,trial2,brow,58.5834
pp547_429.xlsx,bin_16,16,trial2,brow,52.3642
pp547_429.xlsx,bin_17,17,trial2,brow,54.1412
pp547_429.xlsx,bin_18,18,trial2,brow,39.1376
pp547_429.xlsx,bin_19,19,trial2,brow,46.5207
pp547_429.xlsx,bin_20,20,trial2,brow,55.8207
pp547_429.xlsx,bin_0,0,trial3,brow,7.3836
pp547_429.xlsx,bin_1,1,trial3,brow,7.8697
pp547_429.xlsx,bin_2,2,trial3,brow,6.4761
pp547_429.xlsx,bin_3,3,trial3,brow,9.0419
pp547_429.xlsx,bin_4,4,trial3,brow,9.9164
pp547_429.xlsx,bin_5,5,trial3,brow,10.9412
pp547_429.xlsx,bin_6,6,trial3,brow,6.8
pp547_429.xlsx,bin_7,7,trial3,brow,16.9388
pp547_429.xlsx,bin_8,8,trial3,brow,44.5322
pp547_429.xlsx,bin_9,9,trial3,brow,40.1201
pp547_429.xlsx,bin_10,10,trial3,brow,46.8565
pp547_429.xlsx,bin_11,11,trial3,brow,26.4739
pp547_429.xlsx,bin_12,12,trial3,brow,26.9826
pp547_429.xlsx,bin_13,13,trial3,brow,25.2227
pp547_429.xlsx,bin_14,14,trial3,brow,31.0828
pp547_429.xlsx,bin_15,15,trial3,brow,51.7519
pp547_429.xlsx,bin_16,16,trial3,brow,61.3577
pp547_429.xlsx,bin_17,17,trial3,brow,61.7815
pp547_429.xlsx,bin_18,18,trial3,brow,54.5028
pp547_429.xlsx,bin_19,19,trial3,brow,43.6949
pp547_429.xlsx,bin_20,20,trial3,brow,29.747
pp547_429.xlsx,bin_0,0,trial4,brow,16.3264
pp547_429.xlsx,bin_1,1,trial4,brow,16.1228
pp547_429.xlsx,bin_2,2,trial4,brow,16.5802
pp547_429.xlsx,bin_3,3,trial4,brow,13.3356
pp547_429.xlsx,bin_4,4,trial4,brow,15.392
