pp_no,muscle,condition,trial,bin,bin_no,rms
5410,brow,285,trial6,bin_11,11,14.6587
5410,brow,285,trial6,bin_12,12,22.4271
5410,brow,285,trial6,bin_13,13,13.2526
5410,brow,285,trial6,bin_14,14,18.9297
5410,brow,285,trial6,bin_15,15,13.5904
5410,brow,285,trial6,bin_16,16,10.8536
5410,brow,285,trial6,bin_17,17,10.8448
5410,brow,285,trial6,bin_18,18,8.199
5410,brow,285,trial6,bin_19,19,12.6436
5410,brow,285,trial6,bin_20,20,22.9272
5410,brow,285,trial7,bin_0,0,12.7565
5410,brow,285,trial7,bin_1,1,12.5203
5410,brow,285,trial7,bin_2,2,12.1055
5410,brow,285,trial7,bin_3,3,14.4989
5410,brow,285,trial7,bin_4,4,10.3371
5410,brow,285,trial7,bin_5,5,14.9815
5410,brow,285,trial7,bin_6,6,13.388
5410,brow,285,trial7,bin_7,7,16.284
5410,brow,285,trial7,bin_8,8,14.8091
5410,brow,285,trial7,bin_9,9,14.6071
5410,brow,285,trial7,bin_10,10,12.7459
5410,brow,285,trial7,bin_11,11,10.0944
5410,brow,285,trial7,bin_12,12,12.2489
5410,brow,285,trial7,bin_13,13,8.9221
5410,brow,285,trial7,bin_14,14,6.6514
5410,brow,285,trial7,bin_15,15,8.0233
5410,brow,285,trial7,bin_16,16,7.1922
5410,brow,285,trial7,bin_17,17,8.8123
5410,brow,285,trial7,bin_18,18,8.6944
5410,brow,285,trial7,bin_19,19,11.6177
5410,brow,285,trial7,bin_20,20,8.862
5410,brow,285,trial8,bin_0,0,16.4854
5410,brow,285,trial8,bin_1,1,15.0569
5410,brow,285,trial8,bin_2,2,14.9804
5410,brow,285,trial8,bin_3,3,12.4585
5410,brow,285,trial8,bin_4,4,11.1957
5410,brow,285,trial8,bin_5,5,12.4279
5410,brow,285,trial8,bin_6,6,11.7903
5410,brow,285,trial8,bin_7,7,10.2057
5410,brow,285,trial8,bin_8,8,11.7735
5410,brow,285,trial8,bin_9,9,10.1846
5410,brow,285,trial8,bin_10,10,10.9161
5410,brow,285,trial8,bin_11,11,7.8776
5410,brow,285,trial8,bin_12,12,4.5809
5410,brow,285,trial8,bin_13,13,6.1487
5410,brow,285,trial8,bin_14,14,5.2383
5410,brow,285,trial8,bin_15,15,5.2837
5410,brow,285,trial8,bin_16,16,5.5559
5410,brow,285,trial8,bin_17,17,5.5876
5410,brow,285,trial8,bin_18,18,6.7667
5410,brow,285,trial8,bin_19,19,5.9014
5410,brow,285,trial8,bin_20,20,6.7677
5410,cheek,285,trial1,bin_0,0,4.982
5410,cheek,285,trial1,bin_1,1,7.1065
5410,cheek,285,trial1,bin_2,2,7.3321
5410,cheek,285,trial1,bin_3,3,6.3116
5410,cheek,285,trial1,bin_4,4,9.6088
5410,cheek,285,trial1,bin_5,5,7.1991
5410,cheek,285,trial1,bin_6,6,6.9776
5410,cheek,285,trial1,bin_7,7,8.1261
5410,cheek,285,trial1,bin_8,8,7.7785
5410,cheek,285,trial1,bin_9,9,6.6016
5410,cheek,285,trial1,bin_10,10,4.7281
5410,cheek,285,trial1,bin_11,11,7.9534
5410,cheek,285,trial1,bin_12,12,10.745
5410,cheek,285,trial1,bin_13,13,8.163
5410,cheek,285,trial1,bin_14,14,7.3055
5410,cheek,285,trial1,bin_15,15,7.3281
5410,cheek,285,trial1,bin_16,16,6.6362
5410,cheek,285,trial1,bin_17,17,5.7782
5410,cheek,285,trial1,bin_18,18,3.9395
5410,cheek,285,trial1,bin_19,19,4.072
5410,cheek,285,trial1,bin_20,20,4.098
5410,cheek,285,trial2,bin_0,0,4.6485
5410,cheek,285,trial2,bin_1,1,3.9904
5410,cheek,285,trial2,bin_2,2,4.0595
5410,cheek,285,trial2,bin_3,3,3.7599
5410,cheek,285,trial2,bin_4,4,5.114
5410,cheek,285,trial2,bin_5,5,9.8358
5410,cheek,285,trial2,bin_6,6,9.436
5410,cheek,285,trial2,bin_7,7,10.8388
5410,cheek,285,trial2,bin_8,8,8.7632
5410,cheek,285,trial2,bin_9,9,7.1668
5410,cheek,285,trial2,bin_10,10,5.5129
5410,cheek,285,trial2,bin_11,11,6.2646
5410,cheek,285,trial2,bin_12,12,5.6561
5410,cheek,285,trial2,bin_13,13,4.3031
5410,cheek,285,trial2,bin_14,14,5.0222
5410,cheek,285,trial2,bin_15,15,3.567
5410,cheek,285,trial2,bin_16,16,4.1076
5410,cheek,285,trial2,bin_17,17,4.3774
5410,cheek,285,trial2,bin_18,18,4.587
5410,cheek,285,trial2,bin_19,19,3.7888
5410,cheek,285,trial2,bin_20,20,3.016
